Автоскло Сервіс	Автостекло Сервіс
Експрес перукарня	Експрес парикмахерська
Ива	Іва
Мир Дверей	Світ Дверей
Тепла оселя	Тепла оселю
ЗигЗаг	ЗігЗаг
Вкуся	Скуся
Памятник Шечкових	Пам'ятник Шечкових
Меблений магазин	Меблевий магазин
Уголёк	Вугілля
Дом творчества	Дім творчості
Магнит	Магніт
Загиблим в роки ВВВ	Загиблим у роки ВВВ
Тополя	Тополі
Коморка	Комірка
Бочка кави	Бочка кофе
Да Ладно!	Так Гаразд!
Мікс крамниця	Мікс магазинниця
Церков Армія спасіння	Церква Армія спасіння
Колиба "Полонинська ватра"	Коліба "Полонинська ватра"
Лiга-Нова	Ліга-Нова
Хобi Дiм	Хобі Дім
Економ пропозицiя	Економ пропозиція
Лісова Казка	Лісова Сказка
мікроАмпер	МікроАмпер
Присвячений Великій вітчизняній війні	Посвячення Великій вітчизняній війні
Опасный участок дороги	Небезпечна ділянка дороги
фан-шоп НФК Ураган	Фан-шоп НФК Ураган
дім Мулярових	Дім Мулярових
м-н "Черкащанка"	М-н "Черкащанка"
кафе"Кривий Ріг"	Кафе "Кривий Ріг"
м-н "Природа"	М-н "Природа"
"Все про Все"	"Все про все"
Аптечный пункт №2 «Народной аптеки» №208	Аптечний пункт №2 "Народної аптеки" №208
ГРП №105	ДРП №105
Мотузкове містечко	Мотузковий містечко
Мировая аптека	Світова аптека
вулиця Деміївська	Вулиця Деміївська
ст. м. «Славутич»	Ст. м. «Славутич»
Т.Г. Шевченко	Т.Г. Шевченка
Площадка для размещения	Майданчик для розміщення
тп-2672	Тп-2672
Рынок 3/4	Ринок 3/4
Глинисько (старий глиняний кар'єр)	Глинісько (старий глиняний кар'єр)
Город	Місто
Візит цент НПП "Подільські Товтри"	Візит цент НВП "Подільські Товтри"
Заповідна зона НПП "Подільські Товтри", відвідування заборонено	Заповідна зона НВП "Подільські Товтри", відвідування заборонено
Любистокй	Любистокий
Фонтан	Водограй
Дари стептого	Даруй стептого
Провулок Центральний	провулок Центральний
Детский городок	Дитяче містечко
Відпочинку вулиця	Відпочинок вулиця
Ливдарь-берег	Лівдар-берег
Парковый мост	Парковий міст
Шлях Господень Апостольської Об'єднаної церкви	Путь Господній Апостольської Об'єднаної церкви
Плакси вулиця	Плаксі вулиця
ЖК «Сирецькі сади»	ЖК «Сірецькі сади»
Церква Святого Іоана Богослова ПЦУ	Церковь Святого Іоанна Богослова ПЦУ
село Корнешти	село Корнешті
Колізей	Колизей
стоматологія гарного настрою	Стоматологія гарного настрою
м-н "Бонус+"	М-н "Бонус+"
Корзинка	Кошик
вулиця Чернишевського	Вулиця Чернишевського
Ґінкго дволопатеве	Ґінкго дволопати
Военторг	Військторг
Кодацька	Кодатика
Мороженое	Морозиво
вул.П.Орлика	Вул. П.Орлика
Піца-Тайм	Піца Тайм
Санэпидемстанция	Санепідемстанція
Вулиця Юнатів	вулиця Юнатів
Маруси Чурай	Марусі Чурай
Палац Гіжицьких	Дворець Гіжицьких
Вулиця Першотравнева	вулиця Першотравнева
З.Космодем’янської вулиця	З.Космодем'янської вулиця
Вулиця Виноградна	вулиця Виноградна
Дружбы	Дружби
Ювилейна	Ювілейна
Миколаєва вулиця	Миколаїва вулиця
Світлани вулиця	Світлані вулиця
Залишки колиби	Залишки колібі
КСЕМ	КСІМ
Церква Св. Апостола Іоана Богослова ПЦУ	Церковь Св. Апостола Іоана Богослова ПЦУ
Балканська вулиця	балканська вулиця
СШ №4	ЗОШ №4
Челлениця	Челєниця
Автобус 25: Національний музей історії України в Другій Світовій війні - Залізнична станція "Київ-Волинський"	Автобус 25: Національний музей історії України в Другій Світовій війні - Залізнична станція "Київ-Волінський"
Пам'ятник загинувшим в роки Другої світової війни	Пам'ятник погибшим у роки Другої світової війни
світ Сірків	Світ Сірків
Ведмідь	Медведь
АвтоМакс	Автомакс
Савченко і партнери	Савченко та партнери
Іван Святославович Черниш	Іван Святославович Черніш
Буфет вкусной еды	Буфет смачної їжі
Старовинний вітряний млин	Старовинна вітряна млина
Ковбасний ярморок	Колбасний ярмарк
Звезда	Зірка
Колиба	Коліба
Fishka -імопортні продукти та розивне пиво	Fishka -імпортні продукти та розивне пиво
Стройка 2	Будівництво 2
Пам’ятний знак воїнам I-ї Чехословацької бригади	Пам'ятний знак воїнам І-ї Чехословацької бригади
Оптика медтехника	Оптика медтехніка
Ритуальные услуги	Ритуальні послуги
сухий (2023)	Сухий (2023)
Воїнам-землякам, загиблим у Другій світовій	Воїнам-землякам, що загинули в Другій світовій
тарзанка	Тарзанка
Пенсионный фонд	Пенсійний фонд
Емех	Ємех
Фундаменти давньоруської церкви Дванадцяти Апостолів. 1197 р.	Фундаменти давньоруської церкви Двінадцяти Апостолів. 1197 р.
Городище давньоруського міста Білгород X - XIII ст.	Городище давньоруського міста Білгород X – XIII ст.
Автомойка самообслуживания	Автомийка самообслуговування
провулок Пролетарскій	провулок Пролетарський
КофеЛія	КаваЛія
Просто Перукарня	Просто Парикмахерська
Церква Вознесіння Господнього	Церковь Вознесіння Господнього
Ковбасна країна	Колбасна країна
кляуза Маріїн	Кляуза Маріїн
Одесская частная пивоварня	Одеська приватна пивоварня
N & L	N&L
Сімтник	Симтник
Рукавичка	Перчатка
Лягуміни	Лягуміні
Світ посуду	Світ посуд
Меридіан Travel	Мерідіан Travel
стоматологічні товари	Стоматологічні товари
Ева	Єва
Ковбасна мережа	Колбасна мережа
Яйцо	Яйце
Вулиця Циблівська	вулиця Циблівська
Вулиця Козинська	вулиця Козинська
Вулиця Абдршина	вулиця Абдршина
Вулиця Дніпровська	вулиця Дніпровська
Вулиця В'юнищанська	вулиця В'юнищанська
Вулиця Зарубенська	вулиця Зарубенська
Садівничне товариство "Садовод"	Садівниче товариство "Садівник"
Садівниче товвриство "Медик"	Садівниче товариство "Медик"
Іоано- Богословська церква рпц	Іоано-Богословська церква рпц
Заброшеній сельськой клуб	Закинутий сільський клуб
вулиця З. Космодемʼянської	вулиця З. Космодем'янської
Садівниче товариство Полісянка	Садівниче товариство Полисянка
вулиця Мілени Рудницької	вулиця Мілені Рудницької
Пам'ятник загиблим воїнам	Пам'ятник загиблим воякам
Маршрут "До Водяного млина"	Маршрут "До Водяної млинці"
дім юри дрималика	Дім юрі дрімаліка
Краєвидний провулокк	Краєвидний провулок
Заповідна зона НПП "Подільські Товтри"	Заповідна зона НВП "Подільські Товтри"
Вулиця Страдного	вулиця Страдного
Лази	Лазі
промаркована стежка помаранчевими стрічками	Промаркована стібка помаранчевими стрічками
Пан-гурман	Пангурман
вулиця Гарматна	Вулиця Гарматна
Експрес Перукарня	Експрес Парикмахерська
Пологи-Вергуни	Пологи-Вергуні
Магазин нижньої білизни - "Elegant"	Магазин нижнього білизни - "Elegant"
Кросівки Бровари	Кросівки Бровары
Вулиця Дейнеки	вулиця Дейнеки
Білківська горожанка	Білківська городянка
полонина Діл	Полонина Діл
Закинутий млин	Закинута млина
вулиця Комуни	вулиця Комуні
Магазин продуктов Голубь	Магазин продуктів Голуб
Ваши продукты	Ваші продукти
Садиба Синенців - Водяний млин	Садиба Синенців - Водяна млина
Заказник Чапля. Заповідна зона НПП "Подільські Товтри"	Замовник Чапля. Заповідна зона НВП "Подільські Товтри"
полонина Ґаджина Нижня	Полонина Ґаджина Нижня
Пам’ятник Тарасу Григоровичу Шевченко	Пам'ятник Тарасу Григоровичу Шевченку
Довіра-Фарм	Довіра-фарм
Шоколадний гулливер	Шоколадний гулівер
гуртові ціни алкоголь	Гуртові ціни алкоголь
Їх подвиг безсмертний. 1941-1945	Їхній подвиг безсмертний. 1941-1945
Сицилійський Дворик	Сіцілійський Дворик
Підпільникам, партизанам і радянським патріотам Костянтинівки, загиблим від рук німецько-фашистських окупантів. 1941-1943 рр.	Підпільникам, партизанам та радянським патріотам Костянтинівки, загиблим від рук німецько-фашистських окупантів. 1941-1943 рр.
Хрест "Пам`ятка про скасування панщини 1848"	Крест "Пам'ятка для скасування панщини 1848"
Копилочка	Скарбничка
вежа КФКРРТ	Башня КФКРРТ
Остра	Гостра
Козаку - захиснику Вітчизни	Козаку - захиснику Вітчизні
кілька сходинок до річки	Кілька сходинок до річки
«Сито» магазин-ресторан	«Сіто» магазин-ресторан
Салон Красоты	Салон краси
Могила неизвестного солдата	Могила невідомого солдата
Комп'ютерний Всесвіт	Комп'ютерна Всесвіт
Эконом стрижка	Економ стрижка
Церква Всіх Святих ПЦУ	Церква Усіх Святих ПЦУ
СтройБум	БудБум
Династия	Династія
Центральная городская библиотека	Центральна міська бібліотека
Перукарня для дітей	Парикмахерська для дітей
iСломал	IЗламав
Ленин	Ленін
Жовтий чемоданчик	Жовта валізка
Час кави	Час кофе
Белый Мишка	Білий ведмідь
4 Сезона	4 Сезони
Вулиця Приозерна	вулиця Приозерна
Хозяйственный магазин	Господарський магазин
Час до нас	Година до нас
Стар Сервіс	Старий Сервіс
Библиотека	Бібліотека
Чебуречная	Чебуречна
Отделение ПСБ	Відділення ПСБ
шаурма на углях	Шаурма на вугіллі
Магазин электроприборов "Водолей"	Магазин електроприладів "Водолій"
Корсунь-Енакиево	Корсунь-Єнакієве
Корсунь-Енакиеао	Корсунь-Єнакієао
Вышка "Феникс"	Вишка "Фенікс"
Суши мастер	Суші майстер
Киоск хлебный	Кіоск хлібний
Спорт товары	Спорт товари
Вещевой	Речовий
Социальный Фонд РФ Жовтневого района	Соціальний Фонд РФ Жовтневого району
С.Т.О у дядь Вовы.	С.Т.О у дядька Вови.
Александров	Олександров
Радянським воїнам, що загинули у 1941-1943 рр.	Радянським воякам, що загинули у 1941-1943 рр.
Окопи з каменю	Окопи з каміння
МаковеєваиОлена Вікторівна	МаковеєваїОлена Вікторівна
Скреп&ка	Скріпка
Винний Дворик	Вінний Дворик
Рембыттехника	Ремпобуттехніка
еврика	Єврика
Камінець з хорошим видом і написом знизу	Камінець з гарним виглядом і написом знизу
комплекс магазинів біля зупинки Універсам	Комплекс магазинів біля зупинки Універсам
Заец возле Магазина Рошен	Заєць біля Магазину Рошен
Головне управління статистики в Київській області	Головне управління статистики у Київській області
Zoo Мир	Zoo Світ
Місце для ночівлі з кострищем	Місце для ночівлі з вогнищем
Урожай	Врожай
Хороший новенький магазин	Гарний новенький магазин
Львівські круасани	Львівські круасані
Бери вари	Бери варі
админкорпус уао	Адмінкорпус уао
ГастрономЧик	ГастрономЧік
Мемориал славы погибших воинов в Великой Отечественной Войне	Меморіал слави загиблих воїнів у Великій Вітчизняній Війні
Чотири липи	Чотири ліпи
Питна вода лаб.№10	Питна вода лаб.
Тютюн від Кутямби	Тютюн від Кутямбі
Рижуля	Ріжуля
Дом пива	Будинок пива
ЖК "Казка"	ЖК "Сказка"
Кавова лавка	Кава лавка
Мега час	Мега година
Млинцева HOLY CREPE	Млинцова HOLY CREPE
БІЛЯ ДОМу	БІЛЯ ДОМУ
вулиця Чапаева	вулиця Сімоненка
вулиця Тіщенка	вулиця Тищенка
Ремонт турбин	Ремонт турбін
1 й Комсомольскій	1-й Комсомольський
2 й Комсомольскій	2-й Комсомольський
ЖК. Вишневий	РК. Вишневий
вулиця Маршала Васілевского	вулиця Маршала Васілевського
