1й-Згарський провулок                     	1-й Згарський провулок
1 провулок Першотравневий                 	1-й Першотравневий провулок
1-й 23-го Вересня провулок                	1-й провулок 23 Вересня
1-й Бойка провулок                        	1-й провулок Бойка
1-й Герцена провулок                      	1-й провулок Герцена
1-й Гоголя провулок                       	1-й провулок Гоголя
1-й Задніпровського провулок              	1-й провулок Задніпровського
1-й Івана Богуна провулок                 	1-й провулок Івана Богуна
1-й Лесі Українки провулок                	1-й провулок Лесі Українки
1-й Людмили Борисової провулок            	1-й провулок Людмили Борисової
1-й Маяковського провулок                 	1-й провулок Маяковського
1-й Миру провулок                         	1-й провулок Миру
1-й Тімірязєва провулок                   	1-й провулок Тімірязєва
1-й Чкалова провулок                      	1-й провулок Чкалова
1-й Шевченка провулок                     	1-й провулок Шевченка
1-й проєктний провулок                    	1-й Проєктний провулок
Проїзд 1                                  	1-й проїзд
Смілянський 1 провулок                    	1-й Смілянський провулок
Смілянський провулок 1                    	1-й Смілянський провулок
1-ый Спартаковский переулок               	1-й Спартаківський провулок
1-а Мурейки вулиця                        	1-ша вулиця Мурейки
Мурейки 1 вулиця                          	1-ша вулиця Мурейки
1-а Товщ вулиця                           	1-ша вулиця Товщ
Товщ 1 вулиця                             	1-ша вулиця Товщ
1-а Приміська вулиця                      	1-ша Приміська вулиця
1-а Яблунева вулиця                       	1-ша Яблунева вулиця
12-а Східна вулиця                        	12-та Східна вулиця
2-а Мурейки вулиця                        	2-га вулиця Мурейки
Мурейки 2 вулиця                          	2-га вулиця Мурейки
2-а Товщ вулиця                           	2-га вулиця Товщ
Товщ 2 вулиця                             	2-га вулиця Товщ
2-а Кар’єрна вулиця                       	2-га Карʼєрна вулиця
2-а Приміська вулиця                      	2-га Приміська вулиця
2-а Яблунева вулиця                       	2-га Яблунева вулиця
2й-Згарський провулок                     	2-й Згарський провулок
2-й 23-го Вересня провулок                	2-й провулок 23 Вересня
2-й Бойка провулок                        	2-й провулок Бойка
2-й Ватутіна провулок                     	2-й провулок Ватутіна
2-й Воронкова провулок                    	2-й провулок Воронкова
2-й Герцена провулок                      	2-й провулок Герцена
2-й Гоголя провулок                       	2-й провулок Гоголя
2-й Задніпровського провулок              	2-й провулок Задніпровського
2-й Лесі Українки провулок                	2-й провулок Лесі Українки
2-й Людмили Борисової провулок            	2-й провулок Людмили Борисової
2-й Маяковського провулок                 	2-й провулок Маяковського
2-й Миру провулок                         	2-й провулок Миру
