1 Загребельний провулок                                                                                   	1-й Загребельний провулок
1 Травня вулиця                                                                                           	вулиця 1 Травня
1 Травня провулок                                                                                         	провулок 1 Травня
1 Юрченків провулок                                                                                       	1-й провулок Юрченків
1-а Бабушкіна вулиця                                                                                      	1-ша вулиця Бабушкіна
1-а Дзержинського вулиця                                                                                  	1-ша вулиця Дзержинського
1-а Заливна вулиця                                                                                        	1-ша Заливна вулиця
1-а Кордівка вулиця                                                                                       	1-ша вулиця Кордівка
1-а Радіозаводська вулиця                                                                                 	1-ша Радіозаводська вулиця
1-а вулиця                                                                                                	1-ша вулиця
1-а лінія                                                                                                 	1-ша лінія
1-го Травня вулиця                                                                                        	вулиця 1 Травня
1-го Травня провулок                                                                                      	провулок 1 Травня
1-го травня вулиця                                                                                        	вулиця 1 Травня
1-й 1-го Травня провулок                                                                                  	1-й провулок 1 Травня
1-й 8-го Березня провулок                                                                                 	1-й провулок 8 Березня
1-й Івана Чирки провулок                                                                                  	1-й провулок Івана Чирки
1-й Бахмацьких дивізій провулок                                                                           	1-й провулок Бахмацьких Дивізій
1-й Борисівки провулок                                                                                    	1-й провулок Борисівки
1-й Весняна вулиця                                                                                        	1-ша Весняна вулиця
1-й Воровського провулок                                                                                  	1-й провулок Воровського
1-й Ворошилова провулок                                                                                   	1-й провулок Ворошилова
1-й Відпочинку провулок                                                                                   	1-й провулок Відпочинку
1-й Гагаріна провулок                                                                                     	1-й провулок Гагаріна
1-й Гайдара вулиця                                                                                        	1-ша вулиця Гайдара
1-й Гайдара провулок                                                                                      	1-й провулок Гайдара
1-й Гоголя провулок                                                                                       	1-й провулок Гоголя
1-й Горького провулок                                                                                     	1-й провулок Горького
1-й Гостинний в'їзд                                                                                       	1-й Гостинний вʼїзд
1-й Довженка провулок                                                                                     	1-й провулок Довженка
1-й Енергетиків провулок                                                                                  	1-й провулок Енергетиків
1-й Загребелля провулок                                                                                   	1-й провулок Загребелля
1-й Кривоноса провулок                                                                                    	1-й провулок Кривоноса
1-й Лермонтова провулок                                                                                   	1-й провулок Лермонтова
1-й Лесі Українки провулок                                                                                	1-й провулок Лесі Українки
1-й Ломоносова провулок                                                                                   	1-й провулок Ломоносова
1-й Механізаторів провулок                                                                                	1-й провулок Механізаторів
1-й Миру провулок                                                                                         	1-й провулок Миру
1-й Мєчнікова провулок                                                                                    	1-й провулок Мєчнікова
1-й Міщенка провулок                                                                                      	1-й провулок Міщенка
1-й Надії провулок                                                                                        	1-й провулок Надії
1-й Незалежності провулок                                                                                 	1-й провулок Незалежності
1-й Некрасова провулок                                                                                    	1-й провулок Некрасова
1-й Нове Життя провулок                                                                                   	1-й провулок Нове Життя
1-й Олекси Десняка провулок                                                                               	1-й провулок Олекси Десняка
1-й Орджонікідзе провулок                                                                                 	1-й провулок Орджонікідзе
1-й Пархоменка провулок                                                                                   	1-й провулок Пархоменка
1-й Перемоги провулок                                                                                     	1-й провулок Перемоги
1-й Пирогова провулок                                                                                     	1-й провулок Пирогова
1-й Просужого провулок                                                                                    	1-й провулок Просужого
1-й Рахматуліна провулок                                                                                  	1-й провулок Рахматуліна
1-й Свердлова провулок                                                                                    	1-й провулок Свердлова
1-й Свободи провулок                                                                                      	1-й провулок Свободи
1-й Семена Палія провулок                                                                                 	1-й провулок Семена Палія
1-й Суворова провулок                                                                                     	1-й провулок Суворова
1-й Чехова провулок                                                                                       	1-й провулок Чехова
1-й Шевченка провулок                                                                                     	1-й провулок Шевченка
1-й Шевченка проїзд                                                                                       	1-й проїзд Шевченка
1-й Ющенка провулок                                                                                       	1-й провулок Ющенка
1-й приуданський провулок                                                                                 	1-й Приуданський провулок
1-ї Гвардійської Армії вулиця                                                                             	вулиця 1-ї Гвардійської Армії
102-й Кілометр вулиця                                                                                     	вулиця 102-й Кілометр
12-ї Гвардійської Дивізії вулиця                                                                          	вулиця 12-ї Гвардійської Дивізії
13 Років Жовтня вулиця                                                                                    	вулиця 13 років Жовтня
18-го Партз’їзду вулиця                                                                                   	вулиця XVIII Партзʼїзду
2 Юрченків провулок                                                                                       	2-й провулок Юрченків
2-а Бабушкіна вулиця                                                                                      	2-га вулиця Бабушкіна
2-а Заливна вулиця                                                                                        	2-га Заливна вулиця
2-а Кордівка вулиця                                                                                       	2-га вулиця Кордівка
2-а Набережна вулиця                                                                                      	2-га Набережна вулиця
2-а Новоселівка вулиця                                                                                    	2-га вулиця Новоселівка
2-а Радіозаводська вулиця                                                                                 	2-га Радіозаводська вулиця
2-а Садова вулиця                                                                                         	2-га Садова вулиця
2-а вулиця                                                                                                	2-га вулиця
2-а лінія                                                                                                 	2-га лінія
2-й 1-го Травня провулок                                                                                  	2-й провулок 1 Травня
2-й 8-го Березня провулок                                                                                 	2-й провулок 8 Березня
2-й 9-го Вересня провулок                                                                                 	2-й провулок 9 Вересня
2-й Борисівки провулок                                                                                    	2-й провулок Борисівки
2-й Воровського провулок                                                                                  	2-й провулок Воровського
2-й Ворошилова провулок                                                                                   	2-й провулок Ворошилова
2-й Відпочинку провулок                                                                                   	2-й провулок Відпочинку
