1 Ірпіньський провулок                                          	1-й Ірпінський провулок
1 Покровський провулок                                          	1-й Покровський провулок
1 Травня вулиця                                                 	вулиця 1 Травня
1-а Приміська вулиця                                            	1-ша Приміська вулиця
1-го Травня вулиця                                              	вулиця 1 Травня
1-ий Мазепи провулок                                            	1-й провулок Мазепи
1-й Васіле Александрі провулок                                  	1-й провулок Васіле Александрі
1-й Героїв України провулок                                     	1-й провулок Героїв України
1-й Данила Галицького провулок                                  	1-й провулок Данила Галицького
1-й Дениса Квітковського провулок                               	1-й провулок Дениса Квітковського
1-й Івана Мазепи провулок                                       	1-й провулок Івана Мазепи
1-й Івана Підкови провулок                                      	1-й провулок Івана Підкови
1-й Іларія Карбулицького провулок                               	1-й провулок Іларія Карбулицького
1-й Ковалевської провулок                                       	1-й провулок Ковалевської
1-й Козацької Слави провулок                                    	1-й провулок Козацької Слави
1-й Коновальця провулок                                         	1-й провулок Коновальця
1-й Леоніда Каденюка провулок                                   	1-й провулок Леоніда Каденюка
1-й Миру провулок                                               	1-й провулок Миру
1-й Моріса Тореза провулок                                      	1-й провулок Моріса Тореза
1-й Олександра Герцена провулок                                 	1-й провулок Олександра Герцена
1-й Олеся Гончара провулок                                      	1-й провулок Олеся Гончара
1-й Петра Сагайдачного провулок                                 	1-й провулок Петра Сагайдачного
1-й Сагайдачного провулок                                       	1-й провулок Сагайдачного
1-й Семена Галицького провулок                                  	1-й провулок Семена Галицького
1-й Тараса Шевченка провулок                                    	1-й провулок Тараса Шевченка
1-й Устима Кармелюка провулок                                   	1-й провулок Устима Кармелюка
1-й Фурманова провулок                                          	1-й провулок Фурманова
1-й Юрія Гагаріна провулок                                      	1-й провулок Юрія Гагаріна
1-й Якова Степового провулок                                    	1-й провулок Якова Степового
1-й Ярослава Мудрого провулок                                   	1-й провулок Ярослава Мудрого
10-ї річниці Незалежності України вулиця                        	вулиця 10-ї річниці Незалежності України
10-ї річниця Незалежності України вулиця                        	вулиця 10-ї річниці Незалежності України
10-р Незалежності України вулиця                                	вулиця 10-річчя Незалежності України
16 Липня вулиця                                                 	вулиця 16 Липня
16-го Липня вулиця                                              	вулиця 16 Липня
18 квартал                                                      	18-й квартал
2 Ірпіньський провулок                                          	2-й Ірпіньський провулок
2 Покровський провулок                                          	2-й Покровський провулок
2-а Приміська вулиця                                            	2-га Приміська вулиця
2-й 30-ччя Перемоги провулок                                    	2-й провулок 30-річчя Перемоги
2-й Василя Чапаєва провулок                                     	2-й провулок Василя Чапаєва
2-й Васіле Александрі провулок                                  	2-й провулок Васіле Александрі
2-й Героїв України провулок                                     	2-й провулок Героїв України
2-й Данила Галицького провулок                                  	2-й провулок Данила Галицького
2-й Дениса Квітковського провулок                               	2-й провулок Дениса Квітковського
2-й Івана Підкови провулок                                      	2-й провулок Івана Підкови
2-й Іларія Карбулицького провулок                               	2-й провулок Іларія Карбулицького
2-й Ковалевської провулок                                       	2-й провулок Ковалевської
2-й Козацької Слави провулок                                    	2-й провулок Козацької Слави
2-й Коновальця провулок                                         	2-й провулок Коновальця
2-й Михайла Кутузова провулок                                   	2-й провулок Михайла Кутузова
2-й Моріса Тореза провулок                                      	2-й провулок Моріса Тореза
2-й Надрічної провулок                                          	2-й провулок Надрічної
2-й Олександра Герцена провулок                                 	2-й провулок Олександра Герцена
2-й Олександра Можайського провулок                             	2-й провулок Олександра Можайського
2-й Петра Сагайдачного провулок                                 	2-й провулок Петра Сагайдачного
2-й Сагайдачного провулок                                       	2-й провулок Сагайдачного
2-й Семена Галицького провулок                                  	2-й провулок Семена Галицького
2-й Січових Стрільців провулок                                  	2-й провулок Січових Стрільців
2-й Тараса Шевченка провулок                                    	2-й провулок Тараса Шевченка
2-й Устима Кармелюка провулок                                   	2-й провулок Устима Кармелюка
2-й Федьковича провулок                                         	2-й провулок Федьковича
2-й Фурманова провулок                                          	2-й провулок Фурманова
2-й Шевченка провулок                                           	2-й провулок Шевченка
2-й Юрія Гагаріна провулок                                      	2-й провулок Юрія Гагаріна
2-й Якова Степового провулок                                    	2-й провулок Якова Степового
2-й Ярослава Мудрого провулок                                   	2-й провулок Ярослава Мудрого
2-тий Сагайдачного провулок                                     	2-й провулок Сагайдачного
24-го Серпня вулиця                                             	вулиця 24 Серпня
26-ти Бакинських Комісарів вулиця                               	вулиця 26-ти Бакинських Комісарів
28 Червня вулиця                                                	вулиця 28 Червня
28 Червня провулок                                              	провулок 28 Червня
28-го Червня вулиця                                             	вулиця 28 Червня
29-го Березня вулиця                                            	вулиця 29 Березня
3 Покровський провулок                                          	3-й Покровський провулок
3-й Воїнів-Визволителів провулок                                	3-й провулок Воїнів-Визволителів
3-й Героїв України провулок                                     	3-й провулок Героїв України
3-й Грушевського провулок                                       	3-й провулок Грушевського
3-й Іларія Карбулицького провулок                               	3-й провулок Іларія Карбулицького
3-й Козацької Слави провулок                                    	3-й провулок Козацької Слави
3-й Михайла Кутузова провулок                                   	3-й провулок Михайла Кутузова
3-й Моріса Тореза провулок                                      	3-й провулок Моріса Тореза
3-й Олександра Герцена провулок                                 	3-й провулок Олександра Герцена
