700-річчя Перегінська вулиця	вулиця 700-річчя Перегінська
1 Грудня вулиця	вулиця 1 Грудня
1 Листопада вулиця	вулиця 1 Листопада
1 Травня вулиця	вулиця 1 Травня
1 Травня провулок	провулок 1 Травня
вулиця Полицька	Полицька вулиця
1-го Листопада вулиця	вулиця 1 Листопада
1-го Травня вулиця	вулиця 1 Травня
100 років Нафтовиків вулиця	вулиця 100 років Нафтовиків
100-річчя Червоного Хреста вулиця	вулиця 100-річчя Червоного Хреста
16 Липня вулиця	вулиця 16 Липня
16-го Липня вулиця	вулиця 16 Липня
17-вересня вулиця	вулиця 17 Вересня
17-го Вересня вулиця	вулиця 17 Вересня
2-й Олени Степанівни провулок	2-й провулок Олени Степанівни
200-річчя Яремча вулиця	вулиця 200-річчя Яремчі
200-річчя Яремче вулиця	вулиця 200-річчя Яремчі
200-річчя Яремчі вулиця	вулиця 200-річчя Яремчі
2000-ліття Різдва Христового вулиця	вулиця 2000-ліття Різдва Христового
2000-річчя Різдва Христового вулиця	вулиця 2000-річчя Різдва Христового
22 Січня вулиця	вулиця 22 Січня
22-го Січня вулиця	вулиця 22 Січня
24 Серпня вулиця	вулиця 24 Серпня
24-го Серпня вулиця	вулиця 24 Серпня
3-й Олени Степанівни провулок	3-й провулок Олени Степанівни
30-річчя Перемоги вулиця	вулиця 30-річчя Перемоги
4-й Олени Степанівни провулок	4-й провулок Олени Степанівни
40-річчя Перемоги вулиця	вулиця 40-річчя Перемоги
400-річчя Надвірної вулиця	вулиця 400-річчя Надвірної
5-ї Річниці Незалежності вулиця	вулиця 5-ї Річниці Незалежності
5-й Олени Степанівни провулок	5-й провулок Олени Степанівни
50-річчя УПА вулиця	вулиця 50-річчя УПА
550-річчя Богородчан вулиця	вулиця 550-річчя Богородчан
600-річчя Голиня вулиця	вулиця 600-річчя Голиня
8 Березня вулиця	вулиця 8 Березня
8 Лютого вулиця	вулиця 8 Лютого
8-го Березня вулиця	вулиця 8 Березня
9 Травня вулиця	вулиця 9 Травня
9-го Травня вулиця	вулиця 9 Травня
Августина Волошина вулиця	вулиця Августина Волошина
Августо Донніні вулиця	вулиця Августо Донніні
Агафії Степаняк вулиця	вулиця Агафії Степаняк
Адама Міцкевича вулиця	вулиця Адама Міцкевича
Академіка Богомольця вулиця	вулиця Академіка Богомольця
Академіка Гнатюка вулиця	вулиця Академіка Гнатюка
Академіка Данилюка вулиця	вулиця Академіка Данилюка
Академіка Корольова вулиця	вулиця Академіка Корольова
Академіка Сахарова вулиця	вулиця Академіка Сахарова
Алея казок	алея Казок
Америка вулиця	вулиця Америка
Анатолія Вахнянина вулиця	вулиця Анатолія Вахнянина
Анатолія Кос-Анатольського вулиця	вулиця Анатолія Кос-Анатольського
Андрея Шептицького вулиця	вулиця Андрея Шептицького
Андрія Войнаровського вулиця	вулиця Андрія Войнаровського
Андрія Красовського вулиця	вулиця Андрія Красовського
Андрія Малишка вулиця	вулиця Андрія Малишка
Андрія Мельника вулиця	вулиця Андрія Мельника
Андрія Палія вулиця	вулиця Андрія Палія
Андрія Сахарова вулиця	вулиця Андрія Сахарова
Андрія Чайковського вулиця	вулиця Андрія Чайковського
Андрія Шептицького вулиця	вулиця Андрія Шептицького
Андрусяка вулиця	вулиця Андрусяка
Антіна Головатого вулиця	вулиця Антіна Головатого
Антіна Лотоцького вулиця	вулиця Антіна Лотоцького
Антіна Онищука вулиця	вулиця Антіна Онищука
Антона Княжинського вулиця	вулиця Антона Княжинського
Антона Лотоцького вулиця	вулиця Антона Лотоцького
Антона Макаренка вулиця	вулиця Антона Макаренка
Антона Онищука вулиця	вулиця Антона Онищука
Антона Петрушевича вулиця	вулиця Антона Петрушевича
Антона Чехова вулиця	вулиця Антона Чехова
Антоненка-Давидовича вулиця	вулиця Антоненка-Давидовича
Антоновича вулиця	вулиця Антоновича
Аркаса вулиця	вулиця Аркаса
Аркаса-Подільського вулиця	вулиця Аркаса-Подільського
Артема Веделя вулиця	вулиця Артема Веделя
Артемовського вулиця	вулиця Артемовського
Архипа Тесленка вулиця	вулиця Архипа Тесленка
Архітектора Романа Грицая вулиця	вулиця Архітектора Романа Грицая
Атаманюка вулиця	вулиця Атаманюка
