1 Грудня вулиця                                                                      	вулиця 1 Грудня
1 Травня вулиця                                                                      	вулиця 1 Травня
1 Травня провулок                                                                    	провулок 1 Травня
1-а Ентузіастів вулиця                                                               	1-ша вулиця Ентузіастів
1-а Житомирська вулиця                                                               	1-ша Житомирська вулиця
1-а Лугова вулиця                                                                    	1-ша Лугова вулиця
1-а Нова вулиця                                                                      	1-ша Нова вулиця
1-а Отрадна вулиця                                                                   	1-ша Отрадна вулиця
1-а Садибна вулиця                                                                   	1-ша Садибна вулиця
1-го Травня вулиця                                                                   	вулиця 1 Травня
1-й Автомобілістів проїзд                                                            	1-й проїзд Автомобілістів
1-й Верейського проїзд                                                               	1-й проїзд Верейського
1-й Кам’янецький проїзд                                                              	1-й Камʼянецький проїзд
1-й Котляревського провулок                                                          	1-й провулок Котляревського
1-й Крупської провулок                                                               	1-й провулок Крупської
1-й Купайла проїзд                                                                   	1-й проїзд Купайла
1-й Меліораторів проїзд                                                              	1-й проїзд Меліораторів
1-й Мрії проїзд                                                                      	1-й проїзд Мрії
1-й Пушкіна провулок                                                                 	1-й провулок Пушкіна
1-й Симона Петлюри провулок                                                          	1-й провулок Симона Петлюри
1-й Технологів проїзд                                                                	1-й проїзд Технологів
10-а Садова вулиця                                                                   	10-та Садова вулиця
151-ї Стрілецької Дивізії вулиця                                                     	вулиця 151-ї Стрілецької Дивізії
2-а Виноградна вулиця                                                                	2-га Виноградна вулиця
2-а Вишнева вулиця                                                                   	2-га Вишнева вулиця
2-а Ентузіастів вулиця                                                               	2-га вулиця Ентузіастів
2-а Житомирська вулиця                                                               	2-га Житомирська вулиця
2-а Лугова вулиця                                                                    	2-га Лугова вулиця
2-а Нова вулиця                                                                      	2-га Нова вулиця
2-а Отрадна вулиця                                                                   	2-га Отрадна вулиця
2-й Автомобілістів проїзд                                                            	2-й проїзд Автомобілістів
2-й Богдана Хмельницького провулок                                                   	2-й провулок Богдана Хмельницького
2-й Верейського проїзд                                                               	2-й проїзд Верейського
2-й Гонти провулок                                                                   	2-й провулок Гонти
2-й Ентузіастів провулок                                                             	2-й провулок Ентузіастів
2-й Калініна провулок                                                                	2-й провулок Калініна
2-й Кам’янецький проїзд                                                              	2-й Камʼянецький проїзд
2-й Котляревського провулок                                                          	2-й провулок Котляревського
2-й Крупської провулок                                                               	2-й провулок Крупської
2-й Купайла проїзд                                                                   	2-й проїзд Купайла
2-й Меліораторів проїзд                                                              	2-й проїзд Меліораторів
2-й Мрії проїзд                                                                      	2-й проїзд Мрії
2-й Мічуріна провулок                                                                	2-й провулок Мічуріна
2-й Пушкіна провулок                                                                 	2-й провулок Пушкіна
2-й Симона Петлюри провулок                                                          	2-й провулок Симона Петлюри
2-й Технологів проїзд                                                                	2-й проїзд Технологів
2-ї П'ятирічки вулиця                                                                	вулиця 2-ї Пʼятирічки
200-річчя Шевченка вулиця                                                            	вулиця 200-річчя Шевченка
200-річчя Шевченка провулок                                                          	провулок 200-річчя Шевченка
26 Бакинських комісарів вулиця                                                       	вулиця 26-ти Бакинських Комісарів
3 Інтернаціоналу вулиця                                                              	вулиця 3-го Інтернаціоналу
3-го Тисячоліття вулиця                                                              	вулиця 3-го Тисячоліття
3-й Автомобілістів проїзд                                                            	3-й проїзд Автомобілістів
3-й Верейського проїзд                                                               	3-й проїзд Верейського
3-й Кам’янецький проїзд                                                              	3-й Камʼянецький проїзд
3-й Купайла проїзд                                                                   	3-й проїзд Купайла
3-й Мрії проїзд                                                                      	3-й проїзд Мрії
3-й Надії проїзд                                                                     	3-й проїзд Надії
3-й Пушкіна провулок                                                                 	3-й провулок Пушкіна
3-й Симона Петлюри провулок                                                          	3-й провулок Симона Петлюри
3-й Технологів проїзд                                                                	3-й проїзд Технологів
3-я Лугова вулиця                                                                    	3-тя Лугова вулиця
3-я Нова вулиця                                                                      	3-тя Нова вулиця
3-я Отрадна вулиця                                                                   	3-тя Отрадна вулиця
3-я Садибна вулиця                                                                   	3-тя Садибна вулиця
3-я Садова вулиця                                                                    	3-тя Садова вулиця
30 років Перемоги вулиця                                                             	вулиця 30 років Перемоги
30-річчя Перемоги вулиця                                                             	вулиця 30-річчя Перемоги
317-ї Дивізії вулиця                                                                 	вулиця 317-ї Дивізії
4-а Нова вулиця                                                                      	4-та Нова вулиця
4-а Садова вулиця                                                                    	4-та Садова вулиця
4-й Верейського проїзд                                                               	4-й проїзд Верейського
4-й Мрії проїзд                                                                      	4-й проїзд Мрії
4-й Слов'янський проїзд                                                              	4-й Словʼянський проїзд
40 років Жовтня провулок                                                             	провулок 40 років Жовтня
40 років Перемоги вулиця                                                             	вулиця 40 років Перемоги
40-річчя Жовтня вулиця                                                               	вулиця 40-річчя Жовтня
40-річчя Перемоги вулиця                                                             	вулиця 40-річчя Перемоги
5 Березня вулиця                                                                     	вулиця 5 Березня
5-а Садова вулиця                                                                    	5-та Садова вулиця
5-й Верейського проїзд                                                               	5-й проїзд Верейського
5-й Мрії проїзд                                                                      	5-й проїзд Мрії
5-й Слов'янський проїзд                                                              	5-й Словʼянський проїзд
