1-ий Колгоспний провулок	1-й Колгоспний провулок
Перша вулиця	1-ша вулиця
1-а Залізнична вулиця	1-ша Залізнична вулиця
1-а Поперечна вулиця	1-ша Поперечна вулиця
1-а Проектна вулиця	1-ша Проектна вулиця
1-а Робітнича вулиця	1-ша Робітнича вулиця
Друга вулиця	2-га вулиця
2-а Залізнична вулиця	2-га Залізнична вулиця
Набережна-2 вулиця	2-га Набережна вулиця
2-а Проектна вулиця	2-га Проектна вулиця
2-а Робітнича вулиця	2-га Робітнича вулиця
2-а Роздільна вулиця	2-га Роздільна вулиця
Друга садова вулиця	2-га Садова вулиця
Садова-2 вулиця	2-га Садова вулиця
2-а Світлогірська вулиця	2-га Світлогірська вулиця
Третя вулиця	3-тя вулиця
3-я Об’їздна вулиця	3-тя Обʼїздна вулиця
3-я Проектна вулиця	3-тя Проектна вулиця
3-я Робітнича вулиця	3-тя Робітнича вулиця
Четверта вулиця	4-та вулиця
4-а Проектна вулиця	4-та Проектна вулиця
4-а Робітнича вулиця	4-та Робітнича вулиця
5-а Робітнича вулиця	5-та Робітнича вулиця
6-а Робітнича вулиця	6-та Робітнича вулиця
7-а Робітнича вулиця	7-ма Робітнича вулиця
8-а Лінія вулиця	вулиця 8-ма Лінія
Алея визволителів міста	алея Визволителів Міста
провулок Банківський	Банківський провулок
Карла Маркса бульвар	бульвар Карла Маркса
Перемоги бульвар	бульвар Перемоги
Верхня П’ятихатська вулиця	Верхня Пʼятихатська вулиця
ВІдродження	Відродження
Волочаївський провулок;Волочаєвський провулок	Волочаївський провулок
1 Травня вулиця	вулиця 1 Травня
1 Травня вулиця;1 Travnia Street;ulica 1 Мaja	вулиця 1 Травня
1-го Травня вулиця	вулиця 1 Травня
Перше Травня вулиця	вулиця 1 Травня
Першого Травня вулиця	вулиця 1 Травня
1-ї П’ятирічки вулиця	вулиця 1-ї Пʼятирічки
1-а Лінія вулиця	вулиця 1-ша Лінія
10-а Лінія вулиця	вулиця 10-та Лінія
116 Дивізії вулиця	вулиця 116-ї Дивізії
16 Березня вулиця	вулиця 16 Березня
16-го Березня вулиця	вулиця 16 Березня
2-а Лінія вулиця	вулиця 2-га Лінія
2-го Українського Фронту вулиця	вулиця 2-го Українського Фронту
2-ї П’ятирічки вулиця	вулиця 2-ї Пʼятирічки
20 років Жовтня вулиця	вулиця 20 років Жовтня
20 років Міліції вулиця	вулиця 20 років Міліції
21-го Жовтня вулиця	вулиця 21 Жовтня
223-ї стрілецької дивізії вулиця	вулиця 223-ї Стрілецької Дивізії
вулиця 223-ї стрілецької дивізії	вулиця 223-ї Стрілецької Дивізії
3 Грудня вулиця	вулиця 3 Грудня
3-го Грудня вулиця	вулиця 3 Грудня
3-ї П’ятирічки вулиця	вулиця 3-ї Пʼятирічки
3-й Комінтерн вулиця	вулиця 3-й Комінтерн
3-я Лінія вулиця	вулиця 3-тя Лінія
30 років ВЛКСМ вулиця	вулиця 30 років ВЛКСМ
30 років Перемоги вулиця	вулиця 30 років Перемоги
4-а Лінія вулиця	вулиця 4-та Лінія
40 років Жовтня вулиця	вулиця 40 років Жовтня
40 років Перемоги вулиця	вулиця 40 років Перемоги
40 Років Перемоги вулиця	вулиця 40 років Перемоги
40 років Радянської Армії вулиця	вулиця 40 років Радянської Армії
40 років України вулиця	вулиця 40 років України
40-річчя Перемоги вулиця	вулиця 40-річчя Перемоги
5 грудня вулиця	вулиця 5 Грудня
5-го Грудня вулиця	вулиця 5 Грудня
5-а Лінія вулиця	вулиця 5-та Лінія
50 років Жовтня вулиця	вулиця 50 років Жовтня
