.Сонячна вулиця                                                         	Сонячна вулиця
1 лінія Сави Освященного вулиця                                         	1-ша лінія Сави Освященного
1 Травня вулиця                                                         	вулиця 1 Травня
1 Травня вулиця ;1 Мая улица                                            	вулиця 1 Травня
1 Травня вулиця; 1 Maya Street;1 Travnia Street                         	вулиця 1 Травня
1 Травня провулок                                                       	провулок 1 Травня
1 Travnia Lane;1 Травня провулок;переулок 1 Мая;1 Maya Lane             	провулок 1 Травня
1 Travnia Street;1 Maya Street;1 Травня вулиця                          	вулиця 1 Травня
1-а А Озерна вулиця                                                     	1-ша Озерна вулиця А
1-а Будівельників вулиця                                                	1-ша вулиця Будівельників
1-а Вишнева вулиця                                                      	1-ша Вишнева вулиця
1-а вулиця                                                              	1-ша вулиця
1-а Дачна вулиця                                                        	1-ша Дачна вулиця
1-а Деснянська вулиця                                                   	1-ша Деснянська вулиця
1-а Заозерна вулиця                                                     	1-ша Заозерна вулиця
1-а Кільцева вулиця                                                     	1-ша Кільцева вулиця
1-а Левада вулиця                                                       	1-ша Левада вулиця
1-а лінія                                                               	1-ша лінія
1-а Лінія вулиця                                                        	вулиця 1-ша Лінія
1-а Лісна вулиця                                                        	1-ша Лісна вулиця
1-а Лісова вулиця                                                       	1-ша Лісова вулиця
1-а Лугова вулиця                                                       	1-ша Лугова вулиця
1-а Лучиста вулиця                                                      	1-ша Лучиста вулиця
1-а Набережна вулиця                                                    	1-ша Набережна вулиця
1-а Озерна вулиця                                                       	1-ша Озерна вулиця
1-а Південна вулиця                                                     	1-ша Південна вулиця
1-а Північна вулиця                                                     	1-ша Північна вулиця
1-а Піщана вулиця                                                       	1-ша Піщана вулиця
1-а Польова вулиця                                                      	1-ша Польова вулиця
1-а Приозерна вулиця                                                    	1-ша Приозерна вулиця
1-а Проїзна вулиця                                                      	1-ша Проїзна вулиця
1-а Радгоспна вулиця                                                    	1-ша Радгоспна вулиця
1-а Садова вулиця                                                       	1-ша Садова вулиця
1-а Садовая вулиця                                                      	1-ша Садовая вулиця
1-а Центральна вулиця                                                   	1-ша Центральна вулиця
1-а Юрʼївська вулиця                                                    	1-ша Юрʼївська вулиця
1-го Грудня вулиця                                                      	вулиця 1 Грудня
1-го Грудня провулок                                                    	провулок 1 Грудня
1-го Травня вулиця                                                      	вулиця 1 Травня
1-го Травня провулок                                                    	провулок 1 Травня
1-й Відродження провулок                                                	1-й провулок Відродження
1-й Гризодубової провулок                                               	1-й провулок Гризодубової
1-й Дніпрельстан провулок                                               	1-й провулок Дніпрельстан
1-й Калініна провулок                                                   	1-й провулок Калініна
1-й Леваневського провулок                                              	1-й провулок Леваневського
1-й Марії Примаченко провулок                                           	1-й провулок Марії Примаченко
1-й Матросова провулок                                                  	1-й провулок Матросова
1-й Миру провулок                                                       	1-й провулок Миру
1-й Мічуріна провулок                                                   	1-й провулок Мічуріна
1-й Петера Новотні провулок                                             	1-й провулок Петера Новотні
1-й Професора Голуба провулок                                           	1-й провулок Професора Голуба
1-й Раскової провулок                                                   	1-й провулок Раскової
1-й Січових стрільців провулок                                          	1-й провулок Січових Стрільців
1-Травня вулиця                                                         	вулиця 1 Травня
1-ша Лінія вулиця                                                       	вулиця 1-ша Лінія
10 лінія Сави Освященного вулиця                                        	10-та лінія Сави Освященного
10-а А лінія                                                            	10-та лінія А
10-а Вишнева вулиця                                                     	10-та Вишнева вулиця
10-а Дачна вулиця                                                       	10-та Дачна вулиця
10-а Ірпінська вулиця                                                   	10-та Ірпінська вулиця
10-а лінія                                                              	10-та лінія
10-а Лінія вулиця                                                       	вулиця 10-та Лінія
10-а Лугова вулиця                                                      	10-та Лугова вулиця
10-а Південна вулиця                                                    	10-та Південна вулиця
10-а Північна вулиця                                                    	10-та Північна вулиця
10-а Садова вулиця                                                      	10-та Садова вулиця
10-а Центральна вулиця                                                  	10-та Центральна вулиця
10-та Лінія вулиця                                                      	вулиця 10-та Лінія
10а Ірпінська вулиця                                                    	10-та Ірпінська вулиця А
10б Ірпінська вулиця                                                    	10-та Ірпінська вулиця Б
11-а А лінія                                                            	11-та лінія А
11-а Вишнева вулиця                                                     	11-та Вишнева вулиця
11-а Дачна вулиця                                                       	11-та Дачна вулиця
11-а лінія                                                              	11-та лінія
11-а Лінія вулиця                                                       	вулиця 11-та Лінія
11-а Лугова вулиця                                                      	11-та Лугова вулиця
11-а Південна вулиця                                                    	11-та Південна вулиця
11-а Садова вулиця                                                      	11-та Садова вулиця
11-а Центральна вулиця                                                  	11-та Центральна вулиця
11-та Лінія вулиця                                                      	вулиця 11-та Лінія
12-а Вишнева вулиця                                                     	12-та Вишнева вулиця
12-а Дачна вулиця                                                       	12-та Дачна вулиця
12-а лінія                                                              	12-та лінія
12-а Лінія вулиця                                                       	вулиця 12-та Лінія
12-а Лугова вулиця                                                      	12-та Лугова вулиця
12-а Південна вулиця                                                    	12-та Південна вулиця
12-а Садова вулиця                                                      	12-та Садова вулиця
12-а Центральна вулиця                                                  	12-та Центральна вулиця
13-а Вишнева вулиця                                                     	13-та Вишнева вулиця
13-а Дачна вулиця                                                       	13-та Дачна вулиця
13-а лінія                                                              	13-та лінія
13-а Лінія вулиця                                                       	вулиця 13-та Лінія
13-а Лугова вулиця                                                      	13-та Лугова вулиця
13-а Південна вулиця                                                    	13-та Південна вулиця
13-а Садова вулиця                                                      	13-та Садова вулиця
13-а Центральна вулиця                                                  	13-та Центральна вулиця
13-го Липня вулиця                                                      	вулиця 13 Липня
14-а Вишнева вулиця                                                     	14-та Вишнева вулиця
14-а лінія                                                              	14-та лінія
