Перша вулиця                                                                  	1-ша вулиця
2-а Білогорська вулиця                                                        	2-га Білогорська вулиця
Друга вулиця                                                                  	2-га вулиця
Нова ІІ вулиця                                                                	2-га Нова вулиця
3-я Білогорська вулиця                                                        	3-тя Білогорська вулиця
4-а Білогорська вулиця                                                        	4-та Білогорська вулиця
5-а Білогорська вулиця                                                        	5-та Білогорська вулиця
6-а Білогорська вулиця                                                        	6-та Білогорська вулиця
7-а Білогорська вулиця                                                        	7-ма Білогорська вулиця
Алея артилеристів                                                             	алея Артилеристів
Алея героїв                                                                   	алея Героїв
Алея Героїв                                                                   	алея Героїв
Алея Героїв Небесної Сотні                                                    	алея Героїв Небесної Сотні
Лесі Українки алея                                                            	алея Лесі Українки
Небесної Сотні алея                                                           	алея Небесної Сотні
Петра Сагайдачного алея                                                       	алея Петра Сагайдачного
Шевченка алея                                                                 	алея Шевченка
Берегова вулиця;Береговая улица                                               	Берегова вулиця
Бродівська бічна вулиця                                                       	Бічна Бродівська вулиця
Бродівська Бічна вулиця                                                       	Бічна Бродівська вулиця
Будівельна Бічна вулиця                                                       	Бічна Будівельна вулиця
Весела-Бічна вулиця                                                           	Бічна Весела вулиця
Бічна вишнева вулиця                                                          	Бічна Вишнева вулиця
Бічна вулиця;БОковая улица                                                    	Бічна вулиця
вулиця Бічна                                                                  	Бічна вулиця
1-го Листопада Бічна вулиця                                                   	бічна вулиця 1 Листопада
Адама Міцкевича-Бічна вулиця                                                  	бічна вулиця Адама Міцкевича
Бічна Богдана Хмельницького вулиця                                            	бічна вулиця Богдана Хмельницького
Братів Бережницьких Бічна вулиця                                              	бічна вулиця Братів Бережницьких
Бічна Виговського вулиця                                                      	бічна вулиця Виговського
Бічна Володимира Великого вулиця                                              	бічна вулиця Володимира Великого
В’ячеслава Чорновола Бічна вулиця                                             	бічна вулиця Вʼячеслава Чорновола
Геофізиків бічна вулиця                                                       	бічна вулиця Геофізиків
Бічна Гонти вулиця                                                            	бічна вулиця Гонти
Бічна Григорія Сковороди вулиця                                               	бічна вулиця Григорія Сковороди
Євгена Коновальця Бічна вулиця                                                	бічна вулиця Євгена Коновальця
Бічна Івана Ґонти вулиця                                                      	бічна вулиця Івана Ґонти
Бічна Івана Котляревського вулиця                                             	бічна вулиця Івана Котляревського
Бічна Івана Миколайчука вулиця                                                	бічна вулиця Івана Миколайчука
Івана Франка бічна вулиця                                                     	бічна вулиця Івана Франка
Колісники Бічна вулиця                                                        	бічна вулиця Колісники
Бічна Леоніда Глібова вулиця                                                  	бічна вулиця Леоніда Глібова
Лесі Українки-Бічна вулиця                                                    	бічна вулиця Лесі Українки
Бічна Мазепи вулиця                                                           	бічна вулиця Мазепи
Бічна Макаренка вулиця                                                        	бічна вулиця Макаренка
Бічна Маркіяна Шашкевича вулиця                                               	бічна вулиця Маркіяна Шашкевича
Бічна Миколи Аркаса вулиця                                                    	бічна вулиця Миколи Аркаса
Бічна Миру вулиця                                                             	бічна вулиця Миру
Михайла Грушевського Бічна вулиця                                             	бічна вулиця Михайла Грушевського
Бічна Олекси Довбуша вулиця                                                   	бічна вулиця Олекси Довбуша
Бічна Отця Іздрика вулиця                                                     	бічна вулиця Отця Іздрика
Павла Полуботка Бічна вулиця                                                  	бічна вулиця Павла Полуботка
Перемоги Бічна вулиця                                                         	бічна вулиця Перемоги
Бічна Петра Дорошенка вулиця                                                  	бічна вулиця Петра Дорошенка
Петра Дорошенка Бічна вулиця                                                  	бічна вулиця Петра Дорошенка
Поляна-Бічна вулиця                                                           	бічна вулиця Поляна
Бічна привокзальної вулиця                                                    	Бічна Привокзальна вулиця
Бічна Симоненка вулиця                                                        	бічна вулиця Симоненка
Січових Срільців Бічна вулиця                                                 	бічна вулиця Січових Срільців
Бічна Сотника Василя Панаса вулиця                                            	бічна вулиця Сотника Василя Панаса
Степана Бандери Бічна вулиця                                                  	бічна вулиця Степана Бандери
Степана Бандери-Бічна вулиця                                                  	бічна вулиця Степана Бандери
Бічна Тараса Шевченка                                                         	бічна вулиця Тараса Шевченка
Бічна Тараса Шевченка вулиця                                                  	бічна вулиця Тараса Шевченка
Тараса Шевченка (бічна) вулиця                                                	бічна вулиця Тараса Шевченка
Тараса Шевченка бічна вулиця                                                  	бічна вулиця Тараса Шевченка
Тараса Шевченка Бічна вулиця                                                  	бічна вулиця Тараса Шевченка
Тараса Шевченка-Бічна вулиця                                                  	бічна вулиця Тараса Шевченка
Федуска-Бічна вулиця                                                          	бічна вулиця Федуска
Бічна Шевченка вулиця                                                         	бічна вулиця Шевченка
Бічна Юридика вулиця                                                          	бічна вулиця Юридика
Городня-Бічна вулиця                                                          	Бічна Городня вулиця
Бічна дитяча вулиця                                                           	Бічна Дитяча вулиця
Дрогобицька Бічна вулиця                                                      	Бічна Дрогобицька вулиця
Заводська-Бічна вулиця                                                        	Бічна Заводська вулиця
Залізнична бічна вулиця                                                       	Бічна Залізнична вулиця
Залізнична Бічна вулиця                                                       	Бічна Залізнична вулиця
Залізнична-Бічна вулиця                                                       	Бічна Залізнична вулиця
