Юрія Тимошенка („Тарапуньки”) вулиця                               	вулиця Юрія Тимошенка «Тарапуньки»
Газети Зоря вулиця                                                 	вулиця Газети «Зоря»
Василя Стусаа вулиця                                               	вулиця Василя Стуса
Івана Кожедуба провулок                                            	провулок Івана Кожедуба
Івана Кожедуба вулиця                                              	вулиця Івана Кожедуба
Патріарха Мстислава вулиця                                         	вулиця Патріарха Мстислава
Бестужева провулок;Bestuzheva Lane                                 	провулок Бестужева
Тімірязева вулиця                                                  	вулиця Тімірязева
Perwomajskaja;Pervomaiskaya                                        	Першотравнева
Генерала Родімцева вулиця                                          	вулиця Генерала Родімцева
Юрія Побєдоносцева бульвар                                         	бульвар Юрія Побєдоносцева
Дикопольцева вулиця                                                	вулиця Дикопольцева
Петрашева вулиця                                                   	вулиця Петрашева
Куйбишева провулок                                                 	провулок Куйбишева
Куйбишева вулиця                                                   	вулиця Куйбишева
Генерала Карбишева тупик                                           	тупик Генерала Карбишева
Генерала Карбишева вулиця                                          	вулиця Генерала Карбишева
Малишева вулиця                                                    	вулиця Малишева
Латишева провулок                                                  	провулок Латишева
Постишева провулок                                                 	провулок Постишева
Постишева вулиця                                                   	вулиця Постишева
Олександра Радищева провулок                                       	провулок Олександра Радищева
Олександра Радищева вулиця                                         	вулиця Олександра Радищева
вулиця радіщева                                                    	вулиця Радіщева
Радіщева вулиця                                                    	вулиця Радіщева
Ажінбаєва вулиця                                                   	вулиця Ажінбаєва
Джохара Дудаєва провулок                                           	провулок Джохара Дудаєва
Балаєва вулиця                                                     	вулиця Балаєва
Сілаєва вулиця                                                     	вулиця Сілаєва
Ніколаєва вулиця                                                   	вулиця Ніколаєва
М. Чапаєва провулок;M. Chapaieva Lane                              	провулок М. Чапаєва
Чапаєва провулок                                                   	провулок Чапаєва
Василя Чапаєва вулиця                                              	вулиця Василя Чапаєва
чапаєва вулиця                                                     	вулиця Чапаєва
Чапаєва вулиця                                                     	вулиця Чапаєва
Чапаєва вулиця;Chapaieva Street;Chapaeva Street                    	вулиця Чапаєва
Докучаєва провулок                                                 	провулок Докучаєва
Докучаєва вулиця                                                   	вулиця Докучаєва
Фадеєва провулок                                                   	провулок Фадеєва
Рилеєва провулок                                                   	провулок Рилеєва
Андреєва вулиця                                                    	вулиця Андреєва
Архітектора Сергєєва вулиця                                        	вулиця Архітектора Сергєєва
Менделєєва вулиця                                                  	вулиця Менделєєва
Рилєєва вулиця                                                     	вулиця Рилєєва
Генерала Іринєєва вулиця                                           	вулиця Генерала Іринєєва
Петра Алексєєва провулок                                           	провулок Петра Алексєєва
Алєксєєва провулок                                                 	провулок Алєксєєва
Алєксєєва вулиця                                                   	вулиця Алєксєєва
Тимірязєва провулок                                                	провулок Тимірязєва
Тимірязєва вулиця                                                  	вулиця Тимірязєва
Тімірязєва провулок                                                	провулок Тімірязєва
Тімірязєва вулиця                                                  	вулиця Тімірязєва
Миколи Дмітрієва вулиця                                            	вулиця Миколи Дмітрієва
Скобєлева провулок;Skobieleva Lane                                 	провулок Скобелєва
Тевелєва вулиця                                                    	вулиця Тевелєва
Руднєва вулиця                                                     	вулиця Руднєва
Тургенєва вулиця                                                   	вулиця Тургенєва
Тургєнєва провулок                                                 	провулок Тургєнєва
Маршала Конєва бульвар                                             	бульвар Маршала Конєва
Писарєва вулиця                                                    	вулиця Писарєва
Станіслава Горєва вулиця                                           	вулиця Станіслава Горєва
Петра Балабуєва вулиця                                             	вулиця Петра Балабуєва
Перфильєва вулиця                                                  	вулиця Перфильєва
Щепотьєва бульвар                                                  	бульвар Щепотьєва
Глібова вулиця                                                     	вулиця Глібова
Приглібова вулиця                                                  	вулиця Приглібова
Добролюбова провулок                                               	провулок Добролюбова
Добролюбова вулиця                                                 	вулиця Добролюбова
Желябова вулиця;Zheliabova Street                                  	вулиця Желябова
Пирогова провулок                                                  	провулок Пирогова
Генерала Жадова вулиця                                             	вулиця Генерала Жадова
Жадова вулиця                                                      	вулиця Жадова
Лейтенанта Покладова вулиця                                        	вулиця Лейтенанта Покладова
Грибоєдова вулиця                                                  	вулиця Грибоєдова
Мясоєдова провулок                                                 	провулок Мясоєдова
Мясоєдова вулиця                                                   	вулиця Мʼясоєдова
М'ясоєдова вулиця                                                  	вулиця Мʼясоєдова
Сєдова проїзд                                                      	проїзд Сєдова
Сєдова провулок                                                    	провулок Сєдова
Сєдова вулиця                                                      	вулиця Сєдова
Лідова вулиця;Lidova Street                                        	вулиця Лідова
Леоніда Бразова вулиця                                             	вулиця Леоніда Бразова
Павлика Морозова провулок                                          	провулок Павлика Морозова
Павлика Морозова вулиця                                            	вулиця Павлика Морозова
Кутузова тупик                                                     	тупик Кутузова
Кутузова провулок                                                  	провулок Кутузова
Кутузова вулиця                                                    	вулиця Кутузова
Маршала Бірюзова вулиця                                            	вулиця Маршала Бірюзова
Бірюзова вулиця                                                    	вулиця Бірюзова
Муравйова провулок;Muraviova Lane                                  	провулок Муравйова
Желвакова вулиця                                                   	вулиця Желвакова
Желвакова вулиця;Zhelvakova Street                                 	вулиця Желвакова
Козакова вулиця                                                    	вулиця Козакова
Примакова вулиця                                                   	вулиця Примакова
Ушакова провулок                                                   	провулок Ушакова
Ушакова вулиця                                                     	вулиця Ушакова
Грекова вулиця                                                     	вулиця Грекова
Бумажкова вулиця                                                   	вулиця Бумажкова
Масленникова вулиця                                                	вулиця Масленникова
Мечникова вулиця                                                   	вулиця Мечникова
Миколи Молочникова вулиця                                          	вулиця Миколи Молочникова
Гліба Котельникова вулиця                                          	вулиця Гліба Котельникова
Котельникова провулок                                              	провулок Котельникова
Котельникова вулиця                                                	вулиця Котельникова
Рикова вулиця                                                      	вулиця Рикова
Івана Четверикова вулиця                                           	вулиця Івана Четверикова
Сурикова вулиця                                                    	вулиця Сурикова
Солодовнікова вулиця                                               	вулиця Солодовнікова
Роднікова вулиця                                                   	вулиця Роднікова
вулиця овсяннікова                                                 	вулиця Овсяннікова
Мєчнікова вулиця                                                   	вулиця Мєчнікова
Стрельнікова вулиця                                                	вулиця Стрельнікова
Сурікова вулиця                                                    	вулиця Сурікова
Бабенкова вулиця                                                   	вулиця Бабенкова
Яркова вулиця                                                      	вулиця Яркова
Дербукова вулиця                                                   	вулиця Дербукова
Маршала Жукова провулок                                            	провулок Маршала Жукова
Маршала Жукова вулиця                                              	вулиця Маршала Жукова
1-й Жукова провулок                                                	1-й провулок Жукова
2-й Жукова провулок                                                	2-й провулок Жукова
Жукова вулиця                                                      	вулиця Жукова
Микити Клєцкова провулок                                           	провулок Микити Клєцкова
Бірюкова вулиця                                                    	вулиця Бірюкова
Петруся Якова провулок                                             	провулок Петруся Якова
Полякова вулиця                                                    	вулиця Полякова
