Підгаєцький-1 провулок                                                                        	1-й Підгаєцький провулок
Перша вулиця                                                                                  	1-ша вулиця
1-а Віли вулиця                                                                               	1-ша вулиця Віли
Віли 1 вулиця                                                                                 	1-ша вулиця Віли
Застав'я-1 вулиця                                                                             	1-ша вулиця Заставʼя
Друга вулиця                                                                                  	2-га вулиця
2-а Віли вулиця                                                                               	2-га вулиця Віли
Застав'я-2 вулиця                                                                             	2-га вулиця Заставʼя
Центральна-2 вулиця                                                                           	2-га Центральна вулиця
Першотравневий-2 провулок                                                                     	2-й Першотравневий провулок
Третя вулиця                                                                                  	3-тя вулиця
3-я Віли вулиця                                                                               	3-тя вулиця Віли
Застав'я-3 вулиця                                                                             	3-тя вулиця Заставʼя
Четверта вулиця                                                                               	4-та вулиця
4-а Віли вулиця                                                                               	4-та вулиця Віли
5-а Віли вулиця                                                                               	5-та вулиця Віли
6-а Віли вулиця                                                                               	6-та вулиця Віли
6-а Гвардійська вулиця                                                                        	6-та Гвардійська вулиця
7-а Віли вулиця                                                                               	7-ма вулиця Віли
7-а лінія                                                                                     	7-ма лінія
8-а Віли вулиця                                                                               	8-ма вулиця Віли
8-а лінія                                                                                     	8-ма лінія
9-а лінія                                                                                     	9-та лінія
Антоніо Бланко алея                                                                           	алея Антоніо Бланко
Алея Афганців                                                                                 	алея Афганців
Алея Героїв                                                                                   	алея Героїв
Дробоцького алея                                                                              	алея Дробоцького
Алея Козацької Слави                                                                          	алея Козацької Слави
Перемоги алея                                                                                 	алея Перемоги
Чапленка алея                                                                                 	алея Чапленка
Богдана Хмельницького бульвар                                                                 	бульвар Богдана Хмельницького
Черняка бульвар                                                                               	бульвар Черняка
Першого Грудня вулиця                                                                         	вулиця 1 Грудня
1 Травня вулиця                                                                               	вулиця 1 Травня
1 Травня вулиця;1 Мая улица                                                                   	вулиця 1 Травня
1-го Травня вулиця                                                                            	вулиця 1 Травня
Першого Травня вулиця                                                                         	вулиця 1 Травня
1-а Лінія вулиця                                                                              	вулиця 1-ша Лінія
Перша Лінія вулиця                                                                            	вулиця 1-ша Лінія
10-го Липня вулиця                                                                            	вулиця 10 Липня
1000-ліття Дубровиці вулиця                                                                   	вулиця 1000-ліття Дубровиці
16-го Липня вулиця                                                                            	вулиця 16 Липня
17 Березня вулиця                                                                             	вулиця 17 Березня
17-го Березня вулиця                                                                          	вулиця 17 Березня
17 вересня вулиця                                                                             	вулиця 17 Вересня
17 Вересня вулиця                                                                             	вулиця 17 Вересня
17 Veresnia Street;17 Sentiabria Street;17 Вересня вулиця;17 Сентября улица                   	вулиця 17 Вересня
17-го Вересня вулиця                                                                          	вулиця 17 Вересня
19 Березня вулиця                                                                             	вулиця 19 Березня
2 Лютого вулиця                                                                               	вулиця 2 Лютого
2-а Лінія вулиця                                                                              	вулиця 2-га Лінія
Друга Лінія вулиця                                                                            	вулиця 2-га Лінія
24 Серпня вулиця                                                                              	вулиця 24 Серпня
24-го Серпня вулиця                                                                           	вулиця 24 Серпня
3-я Лінія вулиця                                                                              	вулиця 3-тя Лінія
30 років Перемоги вулиця                                                                      	вулиця 30 років Перемоги
вулиця 4-ої Річниці Незалежності                                                              	вулиця 4-ї Річниці Незалежності
40 років Перемоги вулиця                                                                      	вулиця 40 років Перемоги
40 ряччя Перемоги вулиця                                                                      	вулиця 40-річчя Перемоги
40-річчя Перемоги вулиця                                                                      	вулиця 40-річчя Перемоги
50-річчя Перемоги вулиця                                                                      	вулиця 50-річчя Перемоги
6-а Лінія вулиця                                                                              	вулиця 6-та Лінія
7 Серпня вулиця                                                                               	вулиця 7 Серпня
8 Березня вулиця                                                                              	вулиця 8 Березня
8-го Березня вулиця                                                                           	вулиця 8 Березня
9 Травня вулиця                                                                               	вулиця 9 Травня
9-го Травня вулиця                                                                            	вулиця 9 Травня
А. Карпюк вулиця                                                                              	вулиця А. Карпюк
А. Мельника вулиця                                                                            	вулиця А. Мельника
Абрамова і Голикова вулиця                                                                    	вулиця Абрамова і Голикова
Коломийця Авеніра вулиця                                                                      	вулиця Авеніра Коломийця
Авіаторів вулиця                                                                              	вулиця Авіаторів
Агапова вулиця                                                                                	вулиця Агапова
Айвазовського вулиця                                                                          	вулиця Айвазовського
Академіка Грушевського вулиця                                                                 	вулиця Академіка Грушевського
Академіка Кримського вулиця                                                                   	вулиця Академіка Кримського
Академіка Малиновського вулиця                                                                	вулиця Академіка Малиновського
Академіка Сахарова вулиця                                                                     	вулиця Академіка Сахарова
Анатолія Грицая вулиця                                                                        	вулиця Анатолія Грицая
Анатолія Криловця вулиця                                                                      	вулиця Анатолія Криловця
Анатолія Лабунського вулиця                                                                   	вулиця Анатолія Лабунського
Анатолія Яндали вулиця                                                                        	вулиця Анатолія Яндали
Анатоля Довгопільського вулиця                                                                	вулиця Анатоля Довгопільського
Андрєєва вулиця                                                                               	вулиця Андрєєва
Андрія Барана вулиця                                                                          	вулиця Андрія Барана
Андрія Лайка вулиця                                                                           	вулиця Андрія Лайка
Андрія Лозюка вулиця                                                                          	вулиця Андрія Лозюка
Андрія Мельника вулиця                                                                        	вулиця Андрія Мельника
Андрія Нечипорука вулиця                                                                      	вулиця Андрія Нечипорука
Андрія Покровського вулиця                                                                    	вулиця Андрія Покровського
Андрія Римші вулиця                                                                           	вулиця Андрія Римші
Андрія Степасюка вулиця                                                                       	вулиця Андрія Степасюка
Андрухова вулиця                                                                              	вулиця Андрухова
Анни Валентинович вулиця                                                                      	вулиця Анни Валентинович
Антона Нивинського вулиця                                                                     	вулиця Антона Нивинського
Антона Павлюка вулиця                                                                         	вулиця Антона Павлюка
Антоніни Горохович вулиця                                                                     	вулиця Антоніни Горохович
Антоніо-Бланко вулиця                                                                         	вулиця Антоніо-Бланко
Антоновича вулиця                                                                             	вулиця Антоновича
Артеменка вулиця                                                                              	вулиця Артеменка
Архітектора Бургіньйона вулиця                                                                	вулиця Архітектора Бургіньйона
Архітектора Покришкіна вулиця                                                                 	вулиця Архітектора Покришкіна
Атерлея вулиця                                                                                	вулиця Атерлея
Б. Хмельницкого вулиця                                                                        	вулиця Б. Хмельницького
Б.Хмельницького вулиця                                                                        	вулиця Б. Хмельницького
Байди вулиця                                                                                  	вулиця Байди
Байди-Вишневецького вулиця                                                                    	вулиця Байди-Вишневецького
Балки вулиця                                                                                  	вулиця Балки
Бальзака вулиця                                                                               	вулиця Бальзака
Барона Штейнгеля вулиця                                                                       	вулиця Барона Штейнгеля
Бахарєва вулиця                                                                               	вулиця Бахарєва
Бегми вулиця                                                                                  	вулиця Бегми
Brhmy Street;Begmy Street;Бегми вулиця;Бегмы улица;Бэгмы улица                                	вулиця Бегми
Белінського вулиця                                                                            	вулиця Белінського
Бельмаж вулиця                                                                                	вулиця Бельмаж
Берегового вулиця                                                                             	вулиця Берегового
Березина вулиця                                                                               	вулиця Березина
Бєляєва вулиця                                                                                	вулиця Бєляєва
Біла Криниця вулиця                                                                           	вулиця Біла Криниця
Білогородка вулиця                                                                            	вулиця Білогородка
Біляшівського вулиця                                                                          	вулиця Біляшівського
Блока вулиця                                                                                  	вулиця Блока
Блюхера вулиця                                                                                	вулиця Блюхера
Богдана Хмельницького вулиця                                                                  	вулиця Богдана Хмельницького
Хмельницького Богдана вулиця                                                                  	вулиця Богдана Хмельницького
Боголюбова вулиця                                                                             	вулиця Боголюбова
Богуна вулиця                                                                                 	вулиця Богуна
Боженова вулиця                                                                               	вулиця Боженова
Бойка вулиця                                                                                  	вулиця Бойка
Бондаренка вулиця                                                                             	вулиця Бондаренка
Бориса Квашенка вулиця                                                                        	вулиця Бориса Квашенка
Бориса Магеровського вулиця                                                                   	вулиця Бориса Магеровського
Бориса Патона вулиця                                                                          	вулиця Бориса Патона
Бориса Тена вулиця                                                                            	вулиця Бориса Тена
