1 Махнівський провулок                                               	1-й Махнівський провулок
1 Травня вулиця                                                      	вулиця 1 Травня
1-а Вінницька вулиця                                                 	1-ша Вінницька вулиця
1-а Польова вулиця                                                   	1-ша Польова вулиця
1-а Садова вулиця                                                    	1-ша Садова вулиця
1-а вулиця                                                           	1-ша вулиця
1-го Грудня вулиця                                                   	вулиця 1 Грудня
1-го Травня вулиця                                                   	вулиця 1 Травня
1-го Травня провулок                                                 	провулок 1 Травня
1-й 12-го Грудня провулок                                            	1-й провулок 12 Грудня
1-й Євгена Чикаленка провулок                                        	1-й провулок Євгена Чикаленка
1-й Івана Пулюя проїзд                                               	1-й проїзд Івана Пулюя
1-й Івана Хоменка провулок                                           	1-й провулок Івана Хоменка
1-й Ігоря Костецького провулок                                       	1-й провулок Ігоря Костецького
1-й Автомобілістів проїзд                                            	1-й проїзд Автомобілістів
1-й Академіка Вернадського проїзд                                    	1-й проїзд Академіка Вернадського
1-й Антона Турчановича провулок                                      	1-й провулок Антона Турчановича
1-й Аріадни Стебельської провулок                                    	1-й провулок Аріадни Стебельської
1-й Бестужева провулок                                               	1-й провулок Бестужева
1-й Блюхера провулок                                                 	1-й провулок Блюхера
1-й Бориса Гмирі провулок                                            	1-й провулок Бориса Гмирі
1-й Бориса Грінченка провулок                                        	1-й провулок Бориса Грінченка
1-й Бориса Шкляра провулок                                           	1-й провулок Бориса Шкляра
1-й Василя Сліпака провулок                                          	1-й провулок Василя Сліпака
1-й Василя Стефаника провулок                                        	1-й провулок Василя Стефаника
1-й Ватутіна провулок                                                	1-й провулок Ватутіна
1-й Високовича провулок                                              	1-й провулок Високовича
1-й Вишневського провулок                                            	1-й провулок Вишневського
1-й Володимира Івасюка провулок                                      	1-й провулок Володимира Івасюка
1-й Володимира Свідзінського провулок                                	1-й провулок Володимира Свідзінського
1-й Ворошилова провулок                                              	1-й провулок Ворошилова
1-й Віктора Блащука проїзд                                           	1-й проїзд Віктора Блащука
1-й Г.Морозової провулок                                             	1-й провулок Г. Морозової
