I-й Благовіщенський провулок                                                                                                                      	1-й Благовіщенський провулок
1-й Кар’єрний провулок                                                                                                                            	1-й Карʼєрний провулок
1-й Мар’янівський провулок                                                                                                                        	1-й Марʼянівський провулок
1-й 1-го Травня провулок                                                                                                                          	1-й провулок 1 Травня
1-й 8-го Березня провулок                                                                                                                         	1-й провулок 8 Березня
1-й Академіка Корольова провулок                                                                                                                  	1-й провулок Академіка Корольова
1-й Б. Хмельницького провулок                                                                                                                     	1-й провулок Богдана Хмельницького
1-й Богдана Хмельницького провулок                                                                                                                	1-й провулок Богдана Хмельницького
1-й Будьонного провулок                                                                                                                           	1-й провулок Будьонного
1-й Будьонного провулок ;1-й Будьоного провулок ;1-й Буденного переулок                                                                           	1-й провулок Будьонного
1-й Ватутіна провулок                                                                                                                             	1-й провулок Ватутіна
1-й Віктора Горіна провулок                                                                                                                       	1-й провулок Віктора Горіна
1-й Віктора Мирутенка провулок                                                                                                                    	1-й провулок Віктора Мирутенка
1-й Воровського провулок                                                                                                                          	1-й провулок Воровського
1-й провулок В'ячеслава Чорновола                                                                                                                 	1-й провулок Вʼячеслава Чорновола
1-й Гагаріна провулок                                                                                                                             	1-й провулок Гагаріна
1-й Гайдара провулок                                                                                                                              	1-й провулок Гайдара
1-й Гастелло провулок                                                                                                                             	1-й провулок Гастелло
1-й Герцена провулок                                                                                                                              	1-й провулок Герцена
1-й Гетьмана Скоропадського провулок                                                                                                              	1-й провулок Гетьмана Скоропадського
1-й Гоголя провулок                                                                                                                               	1-й провулок Гоголя
1-й Горького провулок                                                                                                                             	1-й провулок Горького
1-й Добролюбова провулок                                                                                                                          	1-й провулок Добролюбова
1-й Дружби провулок                                                                                                                               	1-й провулок Дружби
1-й Єдності провулок                                                                                                                              	1-й провулок Єдності
1-ий Захарченка провулок                                                                                                                          	1-й провулок Захарченка
1-й Злагоди провулок                                                                                                                              	1-й провулок Злагоди
1-й І.Франка провулок                                                                                                                             	1-й провулок І. Франка
1-й Івана Виговського провулок                                                                                                                    	1-й провулок Івана Виговського
1-ий К. Цеткін провулок                                                                                                                           	1-й провулок К. Цеткін
1-й Карла Маркса провулок                                                                                                                         	1-й провулок Карла Маркса
1-й Кармелюка провулок                                                                                                                            	1-й провулок Кармелюка
1-й Кірова провулок                                                                                                                               	1-й провулок Кірова
1-й Комарова провулок                                                                                                                             	1-й провулок Комарова
1-й Короленка провулок                                                                                                                            	1-й провулок Короленка
1-й Корольова провулок                                                                                                                            	1-й провулок Корольова
1-й Котляревського провулок                                                                                                                       	1-й провулок Котляревського
1-й Коцюбинського провулок                                                                                                                        	1-й провулок Коцюбинського
1-й Кривий Брід провулок                                                                                                                          	1-й провулок Кривий Брід
1-й Кузьмінського провулок                                                                                                                        	1-й провулок Кузьмінського
1-й Леваневського провулок                                                                                                                        	1-й провулок Леваневського
1-ий Леніна провулок                                                                                                                              	1-й провулок Леніна
1-й Лесі УКраїнки провулок                                                                                                                        	1-й провулок Лесі Українки
1-й Лисенка провулок                                                                                                                              	1-й провулок Лисенка
1-й Ломоносова провулок                                                                                                                           	1-й провулок Ломоносова
1-й Льва Толстого провулок                                                                                                                        	1-й провулок Льва Толстого
1-й Максютова провулок                                                                                                                            	1-й провулок Максютова
1-й Мануїльського провулок                                                                                                                        	1-й провулок Мануїльського
1-й Матросова провулок                                                                                                                            	1-й провулок Матросова
1-й Маяковського провулок;1st aiakovskoho Lane                                                                                                    	1-й провулок Маяковського
1-й Менделєєва провулок                                                                                                                           	1-й провулок Менделєєва
1-й Миколи Романенка провулок                                                                                                                     	1-й провулок Миколи Романенка
1-й Миру провулок                                                                                                                                 	1-й провулок Миру
1-й Михайла Грищенка провулок                                                                                                                     	1-й провулок Михайла Грищенка
1-й Михайла Грушевського провулок                                                                                                                 	1-й провулок Михайла Грушевського
1-й Мічуріна провулок                                                                                                                             	1-й провулок Мічуріна
1-й Н. Сосніної провулок                                                                                                                          	1-й провулок Н. Сосніної
1-й Незалежності провулок                                                                                                                         	1-й провулок Незалежності
1-й Незнайка провулок                                                                                                                             	1-й провулок Незнайка
1-й Некрасова провулок                                                                                                                            	1-й провулок Некрасова
1-й Олега Кошового провулок                                                                                                                       	1-й провулок Олега Кошового
1-й провулок Олексія Дем'янюка                                                                                                                    	1-й провулок Олексія Демʼянюка
1-й Осипенко провулок                                                                                                                             	1-й провулок Осипенко
1-й Остапа Вишні провулок                                                                                                                         	1-й провулок Остапа Вишні
1-й Островського провулок                                                                                                                         	1-й провулок Островського
1-й Панаса Мирного провулок                                                                                                                       	1-й провулок Панаса Мирного
1-й Пилипа Орлика провулок                                                                                                                        	1-й провулок Пилипа Орлика
1-й Піонтковського провулок                                                                                                                       	1-й провулок Піонтковського
провулок 1-й Праці                                                                                                                                	1-й провулок Праці
1-й Пушкіна провулок                                                                                                                              	1-й провулок Пушкіна
1-й Радищева провулок                                                                                                                             	1-й провулок Радищева
1-й Рози Люксембург провулок                                                                                                                      	1-й провулок Рози Люксембург
1-й Саєнка провулок                                                                                                                               	1-й провулок Саєнка
1-й Свердлова провулок                                                                                                                            	1-й провулок Свердлова
1-й Січових Стрільців провулок                                                                                                                    	1-й провулок Січових Стрільців
1-й Старий Шлях провулок                                                                                                                          	1-й провулок Старий Шлях
1-й Степанюка провулок                                                                                                                            	1-й провулок Степанюка
1-й Суворова провулок                                                                                                                             	1-й провулок Суворова
1-й Танкістів провулок                                                                                                                            	1-й провулок Танкістів
1-й Тараса Шевченка провулок                                                                                                                      	1-й провулок Тараса Шевченка
1-й Терешкової провулок ; 1-й Терешковой переулок                                                                                                 	1-й провулок Терешкової
1-й Толстого провулок                                                                                                                             	1-й провулок Толстого
1-й Труда провулок                                                                                                                                	1-й провулок Труда
1-й Тухачевського провулок                                                                                                                        	1-й провулок Тухачевського
1-й Фабриціуса провулок                                                                                                                           	1-й провулок Фабриціуса
1-й Фабріціуса провулок                                                                                                                           	1-й провулок Фабріціуса
1-й Фурманова провулок                                                                                                                            	1-й провулок Фурманова
1-й Чехова провулок                                                                                                                               	1-й провулок Чехова
1-й Чкалова провулок                                                                                                                              	1-й провулок Чкалова
1-й Шевченка провулок                                                                                                                             	1-й провулок Шевченка
1-й Шелушкова провулок                                                                                                                            	1-й провулок Шелушкова
1-й Штепіна провулок                                                                                                                              	1-й провулок Штепіна
1-й Щорса провулок                                                                                                                                	1-й провулок Щорса
1-й Ярослава Мудрого провулок                                                                                                                     	1-й провулок Ярослава Мудрого
1-й Польового Майдану проїзд                                                                                                                      	1-й проїзд Польового Майдану
Перша вулиця                                                                                                                                      	1-ша вулиця
1 Кірова вулиця                                                                                                                                   	1-ша вулиця Кірова
1-а Переселенці вулиця                                                                                                                            	1-ша вулиця Переселенці
Панський Шлях (перша лінія)                                                                                                                       	1-ша лінія Панський Шлях
1-а Лісна вулиця                                                                                                                                  	1-ша Лісна вулиця
1-а Мар’янівська лінія                                                                                                                            	1-ша Марʼянівська лінія
1-а Набережна вулиця                                                                                                                              	1-ша Набережна вулиця
1-а Партизанська вулиця                                                                                                                           	1-ша Партизанська вулиця
Південна 1 вулиця                                                                                                                                 	1-ша Південна вулиця
2-а Березівська вулиця                                                                                                                            	2-га Березівська вулиця
2-а Переселенці вулиця                                                                                                                            	2-га вулиця Переселенці
2-а Зелена вулиця                                                                                                                                 	2-га Зелена вулиця
Панський Шлях (друга лінія)                                                                                                                       	2-га лінія Панський Шлях
2-а Лісна вулиця                                                                                                                                  	2-га Лісна вулиця
2-а Мар’янівська лінія                                                                                                                            	2-га Марʼянівська лінія
Друга Молодіжна вулиця                                                                                                                            	2-га Молодіжна вулиця
2-а Набережна вулиця                                                                                                                              	2-га Набережна вулиця
2-а Східна вулиця                                                                                                                                 	2-га Східна вулиця
II-й Благовіщенський провулок                                                                                                                     	2-й Благовіщенський провулок
2-й іршанський тунель                                                                                                                             	2-й Іршанський тунель
2-й Кар’єрний провулок                                                                                                                            	2-й Карʼєрний провулок
2-ий Комсомольський провулок                                                                                                                      	2-й Комсомольський провулок
2-й Мар’янівський провулок                                                                                                                        	2-й Марʼянівський провулок
2-й 1-го Травня провулок                                                                                                                          	2-й провулок 1 Травня
2-й 8 Березня провулок                                                                                                                            	2-й провулок 8 Березня
2-й Академіка Корольова провулок                                                                                                                  	2-й провулок Академіка Корольова
2-й Алли Горської провулок                                                                                                                        	2-й провулок Алли Горської
2-й Арзамакіна провулок                                                                                                                           	2-й провулок Арзамакіна
2-й Б. Хмельницького провулок                                                                                                                     	2-й провулок Б. Хмельницького
2-й Богдана Хмельницького провулок                                                                                                                	2-й провулок Богдана Хмельницького
2-й Боженка провулок                                                                                                                              	2-й провулок Боженка
2-й Будьонного провулок                                                                                                                           	2-й провулок Будьонного
2-й Василя Стуса провулок                                                                                                                         	2-й провулок Василя Стуса
2-й Віктора Мирутенка провулок                                                                                                                    	2-й провулок Віктора Мирутенка
2-й Воровського провулок                                                                                                                          	2-й провулок Воровського
2-й Гагаріна провулок                                                                                                                             	2-й провулок Гагаріна
2-й Гайдара провулок                                                                                                                              	2-й провулок Гайдара
2-й Гастелло провулок                                                                                                                             	2-й провулок Гастелло
2-й Герцена провулок                                                                                                                              	2-й провулок Герцена
2-й Гетьмана Скоропадського провулок                                                                                                              	2-й провулок Гетьмана Скоропадського
2-й Гоголя провулок                                                                                                                               	2-й провулок Гоголя
2-й Горького провулок                                                                                                                             	2-й провулок Горького
2-й Добролюбова провулок                                                                                                                          	2-й провулок Добролюбова
2-й Дружби провулок                                                                                                                               	2-й провулок Дружби
2-й Дубрівське шосе провулок                                                                                                                      	2-й провулок Дубрівське Шосе
2-й Єдності провулок                                                                                                                              	2-й провулок Єдності
2-й Захарченка провулок                                                                                                                           	2-й провулок Захарченка
2-й Злагоди провулок                                                                                                                              	2-й провулок Злагоди
2-й І. Франка провулок                                                                                                                            	2-й провулок І. Франка
2-й Івана Виговського провулок                                                                                                                    	2-й провулок Івана Виговського
2-й Карла Маркса провулок                                                                                                                         	2-й провулок Карла Маркса
2-й Кармелюка провулок                                                                                                                            	2-й провулок Кармелюка
2 Кірова провулок                                                                                                                                 	2-й провулок Кірова
2-й Комарова провулок                                                                                                                             	2-й провулок Комарова
2-й Короленка провулок                                                                                                                            	2-й провулок Короленка
2-й Коцюбинського провулок                                                                                                                        	2-й провулок Коцюбинського
2-й Кривий Брід провулок                                                                                                                          	2-й провулок Кривий Брід
2-й Кузьмінського провулок                                                                                                                        	2-й провулок Кузьмінського
