Автомобілістів вулиця	вулиця Автомобілістів
Автомобілістів провулок	провулок Автомобілістів
Активістів вулиця	вулиця Активістів
Альпіністів вулиця	вулиця Альпіністів
Альпіністів провулок	провулок Альпіністів
Артилеристів вулиця	вулиця Артилеристів
Артилерістів вулиця	вулиця Артилеристів
Архітекторів Шольців провулок	провулок Архітекторів Шольців
Афганців алея	алея Афганців
Афганців вулиця	вулиця Афганців
Борців вулиця	вулиця Борців
Борців За Незалежність вулиця	вулиця Борців За Незалежність
Борців провулок	провулок Борців
Борців Революції вулиця	вулиця Борців Революції
Борців Революції площа	площа Борців Революції
Братів Коломійців вулиця	вулиця Братів Коломійців
Братів Левенців вулиця	вулиця Братів Левенців
Братів Лісовців вулиця	вулиця Братів Лісовців
Братів Лопушанів вулиця	вулиця Братів Лопушанів
Братів Лузанів вулиця	вулиця Братів Лузанів
Братів Лясковців вулиця	вулиця Братів Лясковців
Братів Роговців вулиця	вулиця Братів Роговців
Братів Шапранів провулок	провулок Братів Шапранів
Братства Тарасівців вулиця	вулиця Братства Тарасівців
Ветеранів алея	алея Ветеранів
Ветеранів Афганістану вулиця	вулиця Ветеранів Афганістану
Ветеранів вулиця	вулиця Ветеранів
Ветеранів праці вулиця	вулиця Ветеранів Праці
Ветеранів Праці вулиця	вулиця Ветеранів Праці
Ветеранів провулок	провулок Ветеранів
Військових Ветеранів вулиця	вулиця Військових Ветеранів
Воїнів Афганців вулиця	вулиця Воїнів Афганців
Воїнів інтернаціоналістів вулиця	вулиця Воїнів Інтернаціоналістів
Воїнів Інтернаціоналістів вулиця	вулиця Воїнів Інтернаціоналістів
Воїнів Інтернаціоналістів провулок	провулок Воїнів Інтернаціоналістів
Воїнів Повстанців вулиця	вулиця Воїнів Повстанців
Воїнів-Афганців бульвар	бульвар Воїнів-Афганців
Воїнів-афганців вулиця	вулиця Воїнів-Афганців
Воїнів-Афганців вулиця	вулиця Воїнів-Афганців
Воїнів-добровольців вулиця	вулиця Воїнів-Добровольців
Воїнів-інтернаціоналістів вулиця	вулиця Воїнів-Інтернаціоналістів
Воїнів-Інтернаціоналістів вулиця	вулиця Воїнів-Інтернаціоналістів
Воїнів-інтернаціоналістів провулок	провулок Воїнів-Інтернаціоналістів
Воїнів-миротворців вулиця	вулиця Воїнів-Миротворців
Галицьких Стрільців вулиця	вулиця Галицьких Стрільців
Гараганів тупик	тупик Гараганів
Гвардійців дивізії вулиця	вулиця Дивізії Гвардійців
Гвардійців Кантемирівців вулиця	вулиця Гвардійців Кантемирівців
