1-й Благовіщенської вулиці провулок	1-й провулок Благовіщенської вулиці
1-й Бойківської вулиці провулок	1-й провулок Бойківської вулиці
1-й Вишневої вулиці провулок	1-й провулок Вишневої вулиці
1-й Георгіївської вулиці провулок	1-й провулок Георгіївської вулиці
1-й Жовтневої вулиці провулок	1-й провулок Жовтневої вулиці
1-й Залізничної вулиці провулок	1-й провулок Залізничної вулиці
1-й Іллінської вулиці провулок	1-й провулок Іллінської вулиці
1-й Кавалерідзе вулиці провулок	1-й провулок вулиці Кавалерідзе
1-й Київської вулиці провулок	1-й провулок Київської вулиці
1-й Комсомольської вулиці провулок	1-й провулок Комсомольської вулиці
1-й Кононівської вулиці провулок	1-й провулок Кононівської вулиці
1-й Лікарняної вулиці провулок	1-й провулок Лікарняної вулиці
1-й Миру вулиці провулок	1-й провулок вулиці Миру
1-й Молодіжної вулиці провулок	1-й провулок Молодіжної вулиці
1-й Оболоньської вулиці провулок	1-й провулок Оболоньської вулиці
1-й Покровської вулиці провулок	1-й провулок Покровської вулиці
1-й Полтавської вулиці провулок	1-й провулок Полтавської вулиці
1-й провулок Радянської вулиці	1-й провулок Радянської вулиці
1-й Радянської вулиці провулок	1-й провулок Радянської вулиці
1-й Роменської вулиці провулок	1-й провулок Роменської вулиці
1-й Русанівської вулиці провулок	1-й провулок Русанівської вулиці
1-й Світанкової вулиці провулок	1-й провулок Світанкової вулиці
1-й Суворова вулиці провулок	1-й провулок Суворова вулиці
1-й Тракторної вулиці провулок	1-й провулок Тракторної вулиці
1-й Центральної вулиці тупик	1-й тупик Центральної вулиці
1-й Чернишевського вулиці провулок	1-й провулок вулиці Чернишевського
1-й Шевченка вулиці провулок	1-й провулок вулиці Шевченка
1-й Шкільної вулиці провулок	1-й провулок Шкільної вулиці
1-й Щасливої вулиці провулок	1-й провулок Щасливої вулиці
1-й Щепкіна вулиці провулок	1-й провулок вулиці Щепкіна
2-й Благовіщенської вулиці провулок	2-й провулок Благовіщенської вулиці
2-й Бойківської вулиці провулок	2-й провулок Бойківської вулиці
2-й Вишневої вулиці провулок	2-й провулок Вишневої вулиці
2-й Жовтневої вулиці провулок	2-й провулок Жовтневої вулиці
2-й Залізничної вулиці провулок	2-й провулок Залізничної вулиці
2-й Кавалерідзе вулиці провулок	2-й провулок вулиці Кавалерідзе
2-й Комсомольської вулиці провулок	2-й провулок Комсомольської вулиці
2-й Кононівської вулиці провулок	2-й провулок Кононівської вулиці
2-й Лікарняної вулиці провулок	2-й провулок Лікарняної вулиці
2-й Молодіжної вулиці провулок	2-й провулок Молодіжної вулиці
2-й Оболоньської вулиці провулок	2-й провулок Оболоньської вулиці
2-й Покровської вулиці провулок	2-й провулок Покровської вулиці
2-й Полтавської вулиці провулок	2-й провулок Полтавської вулиці
2-й провулок Комсомольської вулиці	2-й провулок Комсомольської вулиці
2-й провулок Леніна вулиці	2-й провулок Леніна вулиці
