1 Красноградського Механічного Корпусу вулиця	вулиця 1-го Красноградського Механічного Корпусу
1-а Набережна р. Стрілка вулиця	1-ша Набережна вулиця річки Стрілка
1-й Григорія Сковороди вулиці провулок	1-й провулок вулиці Григорія Сковороди
1-й провулок Грушевського 	1-й провулок Грушевського
10 лінія Сави Освященного вулиця	10-та лінія вулиці Сави Освяченого
10-а Лінія Дачі Ковалевського вулиця	10-та лінія вулиці Дачі Ковалевського
10-ї Окремої Гірсько-Штурмової Бригади вулиця	вулиця 10-ї Окремої Гірсько-Штурмової Бригади
10-ї річниці Незалежності України вулиця	вулиця 10-ї річниці Незалежності України
10-ї річниця Незалежності України вулиця	вулиця 10-ї річниці Незалежності України
100 років Червоного Хреста вулиця	вулиця 100 років Червоного Хреста
128-ї Окремої Гірсько-Піхотної Бригади вулиця	вулиця 128-ї Окремої Гірсько-Піхотної Бригади
14 Гвардійської Стрілецької Дивізії вулиця	вулиця 14-ї Гвардійської Стрілецької Дивізії
14 героїв Соціалістичної праці вулиця	вулиця 14 Героїв Соціалістичної Праці
14-ї Гвардійської Стрілецької Дивізії вулиця	вулиця 14-ї Гвардійської Стрілецької Дивізії
14-ї ОМБ Князя Романа Великого вулиця	вулиця 14-ї ОМБ Князя Романа Великого
14-ї ОМБ Князя Романа Великого провулок	провулок 14-ї ОМБ Князя Романа Великого
2 лінія Сави Освященного вулиця	2-га лінія вулиці Сави Освященного
2-а Набережна р. Стрілка вулиця	2-га Набережна вулиця річки Стрілка
2-й 30 років Перемоги провулок	2-й провулок 30 років Перемоги
2-й Григорія Сковороди вулиці провулок	2-й провулок вулиці Григорія Сковороди
2-й провулок Грушевського 	2-й провулок Грушевського 
20 років Незалежності України вулиця	вулиця 20 років Незалежності України
21-ї бригади Національної гвардії України вулиця	вулиця 21-ї Бригади Національної Гвардії України
26-й  квартал	26-й квартал
295-ї Херсонської Стрілецької Дивізії вулиця	вулиця 295-ї Херсонської Стрілецької Дивізії
30 - Років Перемоги вулиця	вулиця 30 років Перемоги
36-ї Гвардійської Стрілецької Дивізії вулиця	вулиця 36-ї Гвардійської Стрілецької Дивізії
4-го Гвардійського Кубанського Кавалерійського Козачого Корпусу вулиця	вулиця 4-го Гвардійського Кубанського Кавалерійського Козачого Корпусу
40 років Визволення України вулиця	вулиця 40 років Визволення України
40 років Радянської Армії вулиця	вулиця 40 років Радянської Армії
40 років Радянської України вулиця	вулиця 40 років Радянської України
44-ї Окремої Артилерійської Бригади вулиця	вулиця 44-ї Окремої Артилерійської Бригади
44-ї Окремої Артилерійської Бригади провулок	провулок 44-ї Окремої Артилерійської Бригади
5 Гвардійської Повітряно-десантної Дивізії вулиця	вулиця 5-ї Гвардійської Повітряно-десантної Дивізії
50 - річчя Перемоги вулиця	вулиця 50-річчя Перемоги
50 років визволення Синельниковщини вулиця	вулиця 50 років Визволення Синельниковщини
50 років Радянської Армії вулиця	вулиця 50 років Радянської Армії
50 років утворення СРСР вулиця	вулиця 50 років Утворення СРСР
60 років колгоспу ім.Леніна вулиця	вулиця 60 років Колгоспу імені Леніна
60 років утворення СРСР вулиця	вулиця 60 років Утворення СРСР
60 років Утворення СРСР вулиця	вулиця 60 років Утворення СРСР
60 років Утворення СРСР квартал	квартал 60 років Утворення СРСР
70 років Радянської влади вулиця	вулиця 70 років Радянської Влади
80-ї Гвардійської Стрілкової Дивізії вулиця	вулиця 80-ї Гвардійської Стрілкової Дивізії
93-ї Бригади Холодний Яр вулиця	вулиця 93-ї Бригади Холодний Яр
95-ї Молдавської Стрілкової Дивізії вулиця	вулиця 95-ї Молдавської Стрілкової Дивізії
Вулиці 21-го МЮДу 3-й провулок	3-й провулок вулиці 21-го МЮДу
Карла Маркса вулиця (20 лiнiя)	20-та лінія вулиці Карла Маркса
Рози Люксембург (18 лінія) вулиця	18 лінія вулиці Рози Люксембург
Рози Люксембург вулиця (29 лiнiя)	29 лінія вулиці Рози Люксембург
