Авіаторів Касяненків вулиця	вулиця Авіаторів Касяненків
Брата і сестри Ткаченків вулиця	вулиця Брата і сестри Ткаченків
Братів Бойчуків вулиця	вулиця Братів Бойчуків
Братів Грощенків вулиця	вулиця Братів Грощенків
Братів Давиденків вулиця	вулиця Братів Давиденків
Братів Дяченків вулиця	вулиця Братів Дяченків
Братів Ємченків вулиця	вулиця Братів Ємченків
Братів Кириченків вулиця	вулиця Братів Кириченків
Братів Козленків вулиця	вулиця Братів Козленків
Братів Коломійченків вулиця	вулиця Братів Коломійченків
Братів Конончуків вулиця	вулиця Братів Конончуків
Братів Котенків вулиця	вулиця Братів Котенків
Братів Котенків провулок	провулок Братів Котенків
Братів Кузьменків вулиця	вулиця Братів Кузьменків
Братів Кучеренків вулиця	вулиця Братів Кучеренків
Братів Кучеренків провулок	провулок Братів Кучеренків
Братів Левчуків вулиця	вулиця Братів Левчуків
Братів Липовенків вулиця	вулиця Братів Липовенків
Братів Лисенків вулиця	вулиця Братів Лисенків
Братів Моренків вулиця	вулиця Братів Моренків
Братів Павленків вулиця	вулиця Братів Павленків
Братів Пнівчуків вулиця	вулиця Братів Пнівчуків
Братів Радченків вулиця	вулиця Братів Радченків
Братів Савченків вулиця	вулиця Братів Савченків
Братів Сидоренків вулиця	вулиця Братів Сидоренків
Братів Тимошенків вулиця	вулиця Братів Тимошенків
Братів Ткаченків вулиця	вулиця Братів Ткаченків
Братів Шевченків вулиця	вулиця Братів Шевченків
Братів Якимчуків вулиця	вулиця Братів Якимчуків
Братів Яхненків провулок	провулок Братів Яхненків
Братів Ященків вулиця	вулиця Братів Ященків
Бровченків вулиця	вулиця Бровченків
Гайдуків вулиця	вулиця Гайдуків
Голубенків вулиця	вулиця Голубенків
Гончаренків вулиця	вулиця Гончаренків
Грінчуків вулиця	вулиця Грінчуків
Денисенків провулок	провулок Денисенків
Дорошенків вулиця	вулиця Дорошенків
Дорошенків провулок	провулок Дорошенків
Дуденків вулиця	вулиця Дуденків
Карпенків вулиця	вулиця Карпенків
Кирийчуків вулиця	вулиця Кирийчуків
Лещуків вулиця	вулиця Лещуків
Марчуків вулиця	вулиця Марчуків
Михальченків вулиця	вулиця Михальченків
Нестеренків вулиця	вулиця Нестеренків
Осипенків вулиця	вулиця Осипенків
Охріменків вулиця	вулиця Охріменків
Павлущенків провулок	провулок Павлущенків
Піщенків вулиця	вулиця Піщенків
Покальчуків вулиця	вулиця Покальчуків
Проскаченків вулиця	вулиця Проскаченків
Рибченків вулиця	вулиця Рибченків
Родини Гамченків вулиця	вулиця Родини Гамченків
Родини Онищенків вулиця	вулиця Родини Онищенків
Родини Онищенків провулок	провулок Родини Онищенків
Родини Семиренків провулок	провулок Родини Семиренків
Родини Симиренків вулиця	вулиця Родини Симиренків
Родини Ханенків вулиця	вулиця Родини Ханенків
Родини Харченків вулиця	вулиця Родини Харченків
Савченків провулок	провулок Савченків
Самосенків вулиця	вулиця Самосенків
Симиренків вулиця	вулиця Симиренків
Симиренків провулок	провулок Симиренків
Сім'ї Клименків вулиця	вулиця Сімʼї Клименків
Сім'ї Сидоренків вулиця	вулиця Сімʼї Сидоренків
Сім’ї Кульженків вулиця	вулиця Сімʼї Кульженків
Сім’ї Стешенків вулиця	вулиця Сімʼї Стешенків
Сім’ї Ханенків вулиця	вулиця Сімʼї Ханенків
Терещенків вулиця	вулиця Терещенків
Шевченків шлях вулиця	вулиця Шевченків Шлях
Шевчуків вулиця	вулиця Шевчуків
Юрченків вулиця	вулиця Юрченків
Яремчуків вулиця	вулиця Яремчуків
