Авєріна вулиця	вулиця Авєріна
Азбукіна вулиця	вулиця Азбукіна
Азіна вулиця	вулиця Азіна
Академіка Бєлянкіна вулиця	вулиця Академіка Бєлянкіна
Академіка Весніна вулиця	вулиця Академіка Весніна
Академіка Вєркіна вулиця	вулиця Академіка Вєркіна
Академіка Крип’якевича вулиця	вулиця Академіка Крипʼякевича
Академіка Лисіна вулиця	вулиця Академіка Лисіна
Академіка Лисіна провулок	провулок Академіка Лисіна
Алгазіна вулиця	вулиця Алгазіна
Алехновича вулиця	вулиця Алехновича
Аношкіна проспект	проспект Аношкіна
Антіна Могильницького вулиця	вулиця Антіна Могильницького
Антіпіна вулиця	вулиця Антіпіна
Анюткіна вулиця	вулиця Анюткіна
Арзамакіна вулиця	вулиця Арзамакіна
Архиповича провулок	провулок Архиповича
Архітектора Нємкіна провулок	провулок Архітектора Нємкіна
Асташкіна вулиця	вулиця Асташкіна
Асташкіна провулок	провулок Асташкіна
Бабаріна вулиця	вулиця Бабаріна
Бабкевича вулиця	вулиця Бабкевича
Бадигіна вулиця	вулиця Бадигіна
Бадигіна провулок	провулок Бадигіна
Баєевича вулиця	вулиця Баєевича
Баклагіна вулиця	вулиця Баклагіна
Барболіна вулиця	вулиця Барболіна
Бардіна вулиця	вулиця Бардіна
Бахуріна вулиця	вулиця Бахуріна
Белавіна вулиця	вулиця Белавіна
Бенедиктовича вулиця	вулиця Бенедиктовича
Берзаріна вулиця	вулиця Берзаріна
Билкіна вулиця	вулиця Билкіна
Білівіна вулиця	вулиця Білівіна
Білютіна вулиця	вулиця Білютіна
Біна Суховільскої вулиця	вулиця Бічна Суховільська
Блажевича вулиця	вулиця Блажевича
Блюменталь-Тамаріна вулиця	вулиця Блюменталь-Тамаріна
Бобикевича вулиця	вулиця Бобикевича
Богушевича вулиця	вулиця Богушевича
Боролича вулиця	вулиця Боролича
Бороховича вулиця	вулиця Бороховича
Ботвіна вулиця	вулиця Ботвіна
Ботвіна вулицяё	вулиця Ботвіна
Бочковича вулиця	вулиця Бочковича
Бочковича провулок	провулок Бочковича
Бредихіна вулиця	вулиця Бредихіна
Брусиловича вулиця	вулиця Брусиловича
Брускіна вулиця	вулиця Брускіна
Буваліна провулок	провулок Буваліна
Будівнича вулиця	вулиця Будівнича
Будкевича вулиця	вулиця Будкевича
Буздаліна вулиця	вулиця Буздаліна
Буковича вулиця	вулиця Буковича
Буреніна вулиця	вулиця Буреніна
Бутиріна вулиця	вулиця Бутиріна
Буховича вулиця	вулиця Буховича
Буховича провулок	провулок Буховича
В’ячеслава Тютіна провулок	провулок Вʼячеслава Тютіна
Варанкіна провулок	провулок Варанкіна
Васяніна вулиця	вулиця Васяніна
Ватуніна вулиця	вулиця Ватуніна
Ватутiна вулиця	вулиця Ватутіна
Вашкевича вулиця	вулиця Вашкевича
Веденіна вулиця	вулиця Веденіна
