Абельханова провулок	провулок Абельханова
Авер’янова провулок	провулок Аверʼянова
Аширбекова провулок	провулок Аширбекова
Байдукова провулок	провулок Байдукова
Балукова провулок	провулок Балукова
Бараннікова провулок	провулок Бараннікова
Башкірова провулок	провулок Башкірова
Башкiрова провулок	провулок Башкірова
Бендерова провулок	провулок Бендерова
Берегова провулок	провулок Берегова
Болотникова провулок	провулок Болотникова
Болотнікова провулок	провулок Болотнікова
Бровар провулок	провулок Бровар
Броварний провулок	Броварний провулок
Буцикова провулок	провулок Буцикова
Васнєцова провулок	провулок Васнєцова
Веретьянова провулок	провулок Веретьянова
Водоп’янова провулок	провулок Водопʼянова
Водопьянова спуск	спуск Водопʼянова
Войкова провулок	провулок Войкова
Глушенкова провулок	провулок Глушенкова
Грязнова провулок	провулок Грязнова
Гудованцева в’їзд	вʼїзд Гудованцева
Дежньова провулок	провулок Дежньова
Деманова провулок	провулок Деманова
Євплова провулок	провулок Євплова
Желєзнякова в’їзд	вʼїзд Желєзнякова
Інзова провулок	провулок Інзова
Калинова провулок	провулок Калинова
Катанова провулок	провулок Катанова
Каурова провулок	провулок Каурова
Кимова провулок	провулок Кимова
Кирова проспект	проспект Кірова
Ковальский провулок	Ковальський провулок
Ковганова провулок	провулок Ковганова
Команова провулок	провулок Команова
Копцова провулок	провулок Копцова
Коробейнікова провулок	провулок Коробейнікова
Котєльнікова провулок	провулок Котєльнікова
Котлова провулок	провулок Котлова
Кривомазова провулок	провулок Кривомазова
Курасова провулок	провулок Курасова
Ласкова провулок	провулок Ласкова
Лескова провулок	провулок Лескова
Литвінова провулок	провулок Литвінова
Ліскова провулок	провулок Ліскова
М’ясникова провулок	провулок Мʼясникова
Майкова в’їзд	вʼїзд Майкова
Маланова провулок	провулок Маланова
матросова провулок	провулок Матросова
Мерецкова провулок	провулок Мерецкова
Митракова провулок	провулок Митракова
Молокова провулок	провулок Молокова
Молоткова провулок	провулок Молоткова
Мудрова провулок	провулок Мудрова
Нахимова проспект	проспект Нахимова
Недоступова провулок	провулок Недоступова
Нєкрасова провулок	провулок Нєкрасова
Новаторів провулок	провулок Новаторів
Орешкова в’їзд	вʼїзд Орешкова
Орєшкова провулок	провулок Орєшкова
Орликова провулок	провулок Орликова
Островерхова провулок	провулок Островерхова
Ощепкова провулок	провулок Ощепкова
Папулова провулок	провулок Папулова
Парфірова провулок	провулок Парфірова
Пасова бульвар	бульвар Пасова
Пєрова провулок	провулок Пєрова
Пивоварний провулок	Пивоварний провулок
Платова провулок	провулок Платова
Плахова провулок	провулок Плахова
Полєнова провулок	провулок Полєнова
Пузирьова провулок	провулок Пузирьова
Размислова провулок	провулок Размислова
Рейтузова провулок	провулок Рейтузова
Сазанова провулок	провулок Сазанова
Саліхова провулок	провулок Саліхова
Самбурова провулок	провулок Самбурова
Свєрдлова провулок	провулок Свєрдлова
Світлова провулок	провулок Світлова
Седашова провулок	провулок Седашова
Сєрікова провулок	провулок Сєрікова
Сєчєнова провулок	провулок Сєчєнова
Сиворонова провулок	провулок Сиворонова
Сильникова спуск	спуск Сильникова
Скребцова провулок	провулок Скребцова
Словацького провулок	провулок Словацького
Смакова провулок	провулок Смакова
Солодилова провулок	провулок Солодилова
Старова провулок	провулок Старова
Сурікова провулок	провулок Сурікова
Сухинова провулок	провулок Сухинова
Табунова провулок	провулок Табунова
Таранцова провулок	провулок Таранцова
Теплова провулок	провулок Теплова
Терезова провулок	провулок Терезова
Терханова провулок	провулок Терханова
Тікунова провулок	провулок Тікунова
Товарний провулок	Товарний провулок
Уколова провулок	провулок Уколова
Феоктістова провулок	провулок Феоктістова
Чалова провулок	провулок Чалова
Чикирисова провулок	провулок Чикирисова
Чуйкова в’їзд	вʼїзд Чуйкова
Чурілова провулок	провулок Чурілова
Шелохова провулок	провулок Шелохова
Шикунова провулок	провулок Шикунова
Ширшова в`їзд	вʼїзд Ширшова
Ширшова провулок	провулок Ширшова
Ширшова тупик	тупик Ширшова
Юрова провулок	провулок Юрова
Яблочкова провулок	провулок Яблочкова
Cуворова провулок	провулок Суворова
Абельханова вулиця	вулиця Абельханова
Авер’янова вулиця	вулиця Аверʼянова
Аширбекова вулиця	вулиця Аширбекова
Байдукова вулиця	вулиця Байдукова
Балукова вулиця	вулиця Балукова
Бендерова вулиця	вулиця Бендерова
Берегова вулиця	Берегова вулиця
Болотникова вулиця	вулиця Болотникова
Болотнікова вулиця	вулиця Болотнікова
