Адмірала Лозівського вулиця	вулиця Адмірала Лозівського
Азовського козацтва вулиця	вулиця Азовського Козацтва
Азовської воєнної флотилії вулиця	вулиця Азовської Воєнної Флотилії
Айвозовського вулиця	вулиця Айвозовського
Академіка Байраківського вулиця	вулиця Академіка Байраківського
Академіка Белелюбського вулиця	вулиця Академіка Белелюбського
Академіка Дністрянського вулиця	вулиця Академіка Дністрянського
Академіка Кисловського вулиця	вулиця Академіка Кисловського
Академіка Кононського вулиця	вулиця Академіка Кононського
Академіка Лавровського вулиця	вулиця Академіка Лавровського
Академіка Михайлевського вулиця	вулиця Академіка Михайлевського
Академіка Неговського вулиця	вулиця Академіка Неговського
Академіка Омелянського проїзд	проїзд Академіка Омелянського
Алея ім. Ленінського Комсомолу	алея імені Ленінського Комсомолу
Альвінського вулиця	вулиця Альвінського
Ананіївського Полку вулиця	вулиця Ананіївського Полку
Анджиєвського вулиця	вулиця Анджиєвського
Андреєвського вулиця	вулиця Андреєвського
Андрели Оросвиговського вулиця	вулиця Андрели Оросвиговського
Антіна Кущинського провулок	провулок Антіна Кущинського
Антокольського вулиця	вулиця Антокольського
Антокольського провулок	провулок Антокольського
Аренського вулиця	вулиця Аренського
Арженевського вулиця	вулиця Арженевського
Архітектора Лишневського вулиця	вулиця Архітектора Лишневського
Атамановського вулиця	вулиця Атамановського
Атамановського провулок	провулок Атамановського
Атаманського вулиця	вулиця Атаманського
Бабанського вулиця	вулиця Бабанського
Бабинського вулиця	вулиця Бабинського
Бажанського вулиця	вулиця Бажанського
Бакуринського вулиця	вулиця Бакуринського
Балавенського провулок	провулок Балавенського
Балудянського вулиця	вулиця Балудянського
Балудянського провулок	провулок Балудянського
Баратинського вулиця	вулиця Баратинського
Бахмутського вулиця	вулиця Бахмутського
Бахмутського Козацтва вулиця	вулиця Бахмутського Козацтва
Безименського провулок	провулок Безименського
Бельського вулиця	вулиця Бельського
Бельського проїзд	проїзд Бельського
Бернадського провулок	провулок Бернадського
Бєлелюбського вулиця	вулиця Бєлелюбського
Бичковського вулиця	вулиця Бичковського
Білль-Білоцерківського вулиця	вулиця Білль-Білоцерківського
Біловодського вулиця	вулиця Біловодського
Біловського вулиця	вулиця Біловського
Білозерського вулиця	вулиця Білозерського
Білопольського вулиця	вулиця Білопольського
Білошкурського вулиця	вулиця Білошкурського
Бобинського вулиця	вулиця Бобинського
Богінського провулок	провулок Богінського
Богучарського вулиця	вулиця Богучарського
Бодаревського провулок	провулок Бодаревського
Боємського вулиця	вулиця Боємського
Божанського вулиця	вулиця Божанського
Боклевського вулиця	вулиця Боклевського
Болудянського вулиця	вулиця Болудянського
Боричевського вулиця	вулиця Боричевського
Боровіковського бульвар	бульвар Боровіковського
Бочневського вулиця	вулиця Бочневського
Бочневського провулок	провулок Бочневського
Брагінського вулиця	вулиця Брагінського
Бразульського вулиця	вулиця Бразульського
Бразульського провулок	провулок Бразульського
Бринського вулиця	вулиця Бринського
Брусилівського вулиця	вулиця Брусилівського
Брусиловського вулиця	вулиця Брусиловського
Бруховського проїзд	проїзд Бруховського
Бугорської вулиця	вулиця Бугорської
Будзинського вулиця	вулиця Будзинського
Будинського вулиця	вулиця Будинського
Бузовського вулиця	вулиця Бузовського
Буковинського Віче вулиця	вулиця Буковинського Віче
Буського Братства вулиця	вулиця Буського Братства
Бутовського провулок	провулок Бутовського
В’яземського вулиця	вулиця Вʼяземського
Венгеровського вулиця	вулиця Венгеровського
Венгеровського провулок	провулок Венгеровського
Вердовського вулиця	вулиця Вердовського
Верейського вулиця	вулиця Верейського
Верейського провулок	провулок Верейського
Верстовського вулиця	вулиця Верстовського
Верстовського провулок	провулок Верстовського
Вигодовського вулиця	вулиця Вигодовського
Видинівського вулиця	вулиця Видинівського
Винявського вулиця	вулиця Винявського
Вишнеградського вулиця	вулиця Вишнеградського
Вікторовського вулиця	вулиця Вікторовського
Віленського вулиця	вулиця Віленського
Вільшанського вулиця	вулиця Вільшанського
Вітошинського вулиця	вулиця Вітошинського
Вознесенського вулиця	вулиця Вознесенського
Вознесенського провулок	провулок Вознесенського
Воробйовського вулиця	вулиця Воробйовського
Воронянського вулиця	вулиця Воронянського
Вороського вулиця	вулиця Вороського
вулиця Хотинського Повстання	вулиця Хотинського Повстання
Галанського провулок	провулок Галанського
Галковського вулиця	вулиця Галковського
Галущинського вулиця	вулиця Галущинського
Гальчевського провулок	провулок Гальчевського
Ганської вулиця	вулиця Ганської
Гвоздовського вулиця	вулиця Гвоздовського
Генерала Гвоздовського вулиця	вулиця Генерала Гвоздовського
Генерала Радієвського вулиця	вулиця Генерала Радієвського
Гербенського вулиця	вулиця Гербенського
Героїв Брестської Крепості квартал	квартал Героїв Брестської Крепості
Героїв Брестської Фортеці вулиця	вулиця Героїв Брестської Фортеці
Героїв Малинського Підпілля вулиця	вулиця Героїв Малинського Підпілля
Героїв Миколаєва вулиця / Дзівінського вулиця	вулиця Героїв Миколаєва / вулиця Дзівінського
Гірського вулиця	вулиця Гірського
Главинського вулиця	вулиця Главинського
Глимбовського вулиця	вулиця Глимбовського
Гнаровської вулиця	вулиця Гнаровської
Гнезненського повіту вулиця	вулиця Гнезненського Повіту
Гніровського вулиця	вулиця Гніровського
Гожельського вулиця	вулиця Гожельського
Гойської вулиця	вулиця Гойської
Голімбієвського вулиця	вулиця Голімбієвського
Головського вулиця	вулиця Головського
Горлівської Дивізії вулиця	вулиця Горлівської Дивізії
Городнянського в’їзд	вʼїзд Городнянського
Гославського провулок	провулок Гославського
Гошинського вулиця	вулиця Гошинського
Грабівського вулиця	вулиця Грабівського
Графа Ілінського вулиця	вулиця Графа Ілінського
Графа Ілінського провулок	провулок Графа Ілінського
Гренджі-Донського вулиця	вулиця Гренджі-Донського
Григорівського Десанту проспект	проспект Григорівського Десанту
Гродзиського повіту вулиця	вулиця Гродзиського Повіту
Гродського вулиця	вулиця Гродського
Грущинського вулиця	вулиця Грущинського
Гунашевського вулиця	вулиця Гунашевського
Гутовського вулиця	вулиця Гутовського
Гуцульського повстання вулиця	вулиця Гуцульського Повстання
Давидовського провулок	провулок Давидовського
Дашевського провулок	провулок Дашевського
Демінського вулиця	вулиця Демінського
Джержинського вулиця	вулиця Джержинського
Дзерджинського вулиця	вулиця Дзерджинського
Дзигунського вулиця	вулиця Дзигунського
Дзівінського вулиця	вулиця Дзівінського
Дишинського вулиця	вулиця Дишинського
Длужнєвського вулиця	вулиця Длужнєвського
Длужнєвського провулок	провулок Длужнєвського
Дніпровського вулиця	вулиця Дніпровського
Должанського вулиця	вулиця Должанського
Доновського вулиця	вулиця Доновського
Донського вулиця	вулиця Донського
Доренського вулиця	вулиця Доренського
Другого Українського фронту вулиця	вулиця 2-го Українського Фронту
Дубовського вулиця	вулиця Дубовського
Дубровінського вулиця	вулиця Дубровінського
Душинського вулиця	вулиця Душинського
Є. Овсієвського вулиця	вулиця Є. Овсієвського
Є. Петрушевського вулиця	вулиця Є. Петрушевського
Жабинського вулиця	вулиця Жабинського
Жадановського вулиця	вулиця Жадановського
Жарчинського вулиця	вулиця Жарчинського
Жданівського вулиця	вулиця Жданівського
Желваківського вулиця	вулиця Желваківського
Желваківського провулок	провулок Желваківського
Жизнєвського вулиця	вулиця Жизнєвського
Жовтовського провулок	провулок Жовтовського
Жуквоського вулиця	вулиця Жуквоського
Заборського вулиця	вулиця Заборського
Завидовського вулиця	вулиця Завидовського
Завойського вулиця	вулиця Завойського
Загревського вулиця	вулиця Загревського
Задунайської Січі вулиця	вулиця Задунайської Січі
Зазулинського вулиця	вулиця Зазулинського
Зазулінського вулиця	вулиця Зазулінського
Заїнчківського вулиця	вулиця Заїнчківського
Зайковського вулиця	вулиця Зайковського
Заливанського вулиця	вулиця Заливанського
Замедянського вулиця	вулиця Замедянського
Зарайської вулиця	вулиця Зарайської
Збарського вулиця	вулиця Збарського
Збарського провулок	провулок Збарського
Звягильського вулиця	вулиця Звягильського
Зеньковського проїзд	проїзд Зеньковського
Зимовського вулиця	вулиця Зимовського
Зміївської в'їзд	вʼїзд Зміївської
Зозулинського вулиця	вулиця Зозулинського
Зубінського вулиця	вулиця Зубінського
Зубковського вулиця	вулиця Зубковського
Зубковського провулок	провулок Зубковського
Зюльковського вулиця	вулиця Зюльковського
І. Бажанського вулиця	вулиця І. Бажанського
Ізмаільського провулок	провулок Ізмаїльського
Ілляшевської вулиця	вулиця Ілляшевської
Ісаковського вулиця	вулиця Ісаковського
Ісаковського провулок	провулок Ісаковського
Їжаківського вулиця	вулиця Їжаківського
Йоахима Волошиновського вулиця	вулиця Йоахима Волошиновського
Йосафати Гордашевської вулиця	вулиця Йосафати Гордашевської
Кабалюк-Тисянської вулиця	вулиця Кабалюк-Тисянської
Казарського вулиця	вулиця Казарського
Калачевського вулиця	вулиця Калачевського
Канського вулиця	вулиця Канського
Капельгородського вулиця	вулиця Капельгородського
Кастальського вулиця	вулиця Кастальського
Кастуся Каліневського вулиця	вулиця Кастуся Каліневського
Каховського вулиця	вулиця Каховського
Каховського провулок	провулок Каховського
Качуєвського вулиця	вулиця Качуєвського
Кашинського вулиця	вулиця Кашинського
Квітинського вулиця	вулиця Квітинського
Кемського вулиця	вулиця Кемського
Київської провулок	провулок Київської
Кисилевської вулиця	вулиця Кисилевської
Кистяковського вулиця	вулиця Кистяковського
Клинківського вулиця	вулиця Клинківського
Ковського вулиця	вулиця Ковського
Козельського вулиця	вулиця Козельського
Козубського провулок	провулок Козубського
Козюменського вулиця	вулиця Козюменського
Коковського вулиця	вулиця Коковського
Колачевського вулиця	вулиця Колачевського
Колачевського провулок	провулок Колачевського
Колодзінського вулиця	вулиця Колодзінського
Командовського вулиця	вулиця Командовського
Комісаржевської вулиця	вулиця Комісаржевської
Коміссаржевської вулиця	вулиця Коміссаржевської
Комсомольської провулок	провулок Комсомольської
Конотопської вулиці провулок	провулок Конотопської вулиці
Копайгородського вулиця	вулиця Копайгородського
Кореневського вулиця	вулиця Кореневського
Коритовського вулиця	вулиця Коритовського
Коробчанського вулиця	вулиця Коробчанського
Коробчевського вулиця	вулиця Коробчевського
Коровчинського вулиця	вулиця Коровчинського
Корсіковського провулок	провулок Корсіковського
Корсунського вулиця	вулиця Корсунського
Корчовського вулиця	вулиця Корчовського
Космодем’янської вулиця	вулиця Космодемʼянської
Космодем’янської провулок	провулок Космодемʼянської
Космодемʼянської вулиця	вулиця Космодемʼянської
Котляренвського вулиця	вулиця Котляренвського
Котлярської вулиця	вулиця Котлярської
Коцюбінського вулиця	вулиця Коцюбінського
Кочубинського вулиця	вулиця Кочубинського
Кошарського вулиця	вулиця Кошарського
Кошарського провулок	провулок Кошарського
Красінського вулиця	вулиця Красінського
Красносільського вулиця	вулиця Красносільського
Кремінського вулиця	вулиця Кремінського
Кремінського провулок	провулок Кремінського
Кристаловського вулиця	вулиця Кристаловського
Кропив’янського вулиця	вулиця Кропивʼянського
Круглутської тупик	тупик Круглутської
Крупенського вулиця	вулиця Крупенського
Крупінського провулок	провулок Крупінського
Крупcької провулок	провулок Крупської
Кручковського вулиця	вулиця Кручковського
Кудиєвського вулиця	вулиця Кудиєвського
Куземського вулиця	вулиця Куземського
Куликівського вулиця	вулиця Куликівського
Кучевського вулиця	вулиця Кучевського
Кшемінського вулиця	вулиця Кшемінського
Кшенського вулиця	вулиця Кшенського
Лаховського вулиця	вулиця Лаховського
Лейпунського вулиця	вулиця Лейпунського
Лейпунського провулок	провулок Лейпунського
Ленізи Бугорської вулиця	вулиця Ленізи Бугорської
Ленінського Комсомолу вулиця	вулиця Ленінського Комсомолу
Ленінського комсомолу квартал	квартал Ленінського Комсомолу
Ленінського Комсомолу квартал	квартал Ленінського Комсомолу
Лео Пасвольського вулиця	вулиця Лео Пасвольського
Лепешинського провулок	провулок Лепешинського
Лепешинської вулиця	вулиця Лепешинської
Лепорського вулиця	вулиця Лепорського
Личаківського вулиця	вулиця Личаківського
Лікаря Богаєвського вулиця	вулиця Лікаря Богаєвського
Лікаря Миропольського вулиця	вулиця Лікаря Миропольського
Ліщеновського вулиця	вулиця Ліщеновського
Логановського вулиця	вулиця Логановського
Логієвського вулиця	вулиця Логієвського
Логозінського вулиця	вулиця Логозінського
Лунчарського вулиця	вулиця Лунчарського
Лучаківського вулиця	вулиця Лучаківського
Людвінської вулиця	вулиця Людвінської
Ляпідевського вулиця	вулиця Ляпідевського
Ляховського вулиця	вулиця Ляховського
Лeваневського вулиця	вулиця Леваневського
Магдебургського Права майдан	майдан Магдебургського Права
Майборського вулиця	вулиця Майборського
Майковського вулиця	вулиця Майковського
Макаєвської вулиця	вулиця Макаєвської
Макієвського вулиця	вулиця Макієвського
Малевинського вулиця	вулиця Малевинського
Малевінського вулиця	вулиця Малевінського
Малидовського вулиця	вулиця Малидовського
Малишевського вулиця	вулиця Малишевського
Малієвського вулиця	вулиця Малієвського
Маловського вулиця	вулиця Маловського
Мандичевського вулиця	вулиця Мандичевського
Мануільського вулиця	вулиця Мануільського
Маньківського вулиця	вулиця Маньківського
Маньовського вулиця	вулиця Маньовського
Марачевського вулиця	вулиця Марачевського
Мариновського вулиця	вулиця Мариновського
Марцелія Високінського вулиця	вулиця Марцелія Високінського
Маршала Красновського вулиця	вулиця Маршала Красновського
Масельського вулиця	вулиця Масельського
Меленського провулок	провулок Меленського
Мендичевського вулиця	вулиця Мендичевського
Менжинського вулиця	вулиця Менжинського
Менжинського провулок	провулок Менжинського
Мереф'янської Фортеці вулиця	вулиця Мерефʼянської Фортеці
Метропольського вулиця	вулиця Метропольського
Мислінського вулиця	вулиця Мислінського
Мізайлевського вулиця	вулиця Мізайлевського
Мікульського вулиця	вулиця Мікульського
Міневського вулиця	вулиця Міневського
Міського Лісу вулиця	вулиця Міського Лісу
