1-й Адмірала Лозівського провулок	1-й провулок Адмірала Лозівського
1-й Академіка Вернадського проїзд	1-й проїзд Академіка Вернадського
1-й Академіка Корольова провулок	1-й провулок Академіка Корольова
1-й Академіка Пирогова провулок	1-й провулок Академіка Пирогова
1-й Антона Турчановича провулок	1-й провулок Антона Турчановича
1-й Аріадни Стебельської провулок	1-й провулок Аріадни Стебельської
1-й Б. Хмельницького провулок	1-й провулок Богдана Хмельницького
1-й Бадаєва Павла провулок	1-й провулок Павла Бадаєва
1-й Бахмацьких дивізій провулок	1-й провулок Бахмацьких Дивізій
1-й Богдана Хмельницького провулок	1-й провулок Богдана Хмельницького
1-й Бориса Гмирі провулок	1-й провулок Бориса Гмирі
1-й Бориса Грінченка провулок	1-й провулок Бориса Грінченка
1-й Бориса Шкляра провулок	1-й провулок Бориса Шкляра
1-й В’ячеслава Чорновола провулок	1-й провулок Вʼячеслава Чорновола
1-й Вадима Пузирьова провулок	1-й провулок Вадима Пузирьова
1-й Василенкове Поле провулок	1-й провулок Василенкове Поле
1-й Василя Кандинського провулок	1-й провулок Василя Кандинського
1-й Василя Сліпака провулок	1-й провулок Василя Сліпака
1-й Василя Стефаника провулок	1-й провулок Василя Стефаника
1-й Васіле Александрі провулок	1-й провулок Васіле Александрі
1-й Верхній Вокзальний провулок	1-й провулок Верхній Вокзальний
1-й Віктора Блащука проїзд	1-й проїзд Віктора Блащука
1-й Віктора Горіна провулок	1-й провулок Віктора Горіна
1-й Віктора Мирутенка провулок	1-й провулок Віктора Мирутенка
1-й Володимира Великого провулок	1-й провулок Володимира Великого
1-й Володимира Івасюка провулок	1-й провулок Володимира Івасюка
1-й Володимира Свідзінського провулок	1-й провулок Володимира Свідзінського
1-й Генерала Арабея проїзд	1-й проїзд Генерала Арабея
1-й Героїв України провулок	1-й провулок Героїв України
1-й Героїв Чорнобиля провулок	1-й провулок Героїв Чорнобиля
1-й Гетьмана Дорошенка провулок	1-й провулок Гетьмана Дорошенка
