Бариська Бічна вулиця	Бічна Бариська вулиця
Білозірська Бічна вулиця	Бічна Білозірська вулиця
Бічна Бродівська вулиця	Бічна Бродівська вулиця
Бічна Зимноводівська вулиця	Бічна Зимноводівська вулиця
Бічна Інститутська вулиця	Бічна Інститутська вулиця
Бічна Львівська вулиця	Бічна Львівська вулиця
Бічна Мисливська вулиця	Бічна Мисливська вулиця
Бічна Наварійська вулиця	Бічна Наварійська вулиця
Бічна Суховільська вулиця	Бічна Суховільська вулиця
Бічна Успенська вулиця	Бічна Успенська вулиця
Бічна Шахтарська вулиця	Бічна Шахтарська вулиця
Бродівська бічна вулиця	Бічна Бродівська вулиця
Бродівська Бічна вулиця	Бічна Бродівська вулиця
вулиця Бічна Львівська	Бічна Львівська вулиця
Київська бічна вулиця	Бічна Київська вулиця
Кукезівська бічна вулиця	Бічна Кукезівська вулиця
Львівська бічна вулиця	Бічна Львівська вулиця
Львівська Бічна вулиця	Бічна Львівська вулиця
Монастирська бічна вулиця	Бічна Монастирська вулиця
Слов’янська Бічна вулиця	Бічна Словʼянська вулиця
Стрийська бічна вулиця	Бічна Стрийська вулиця
Теребовлянська Бічна вулиця	Бічна Теребовлянська вулиця
Тернопільська бічна вулиця	Бічна Тернопільська вулиця
Тернопільська Бічна вулиця	Бічна Тернопільська вулиця
Українська бічна вулиця	Бічна Українська вулиця
