
Балківський I провулок	1-й Балківський провулок
Великий Данилівський провулок	Великий Данилівський провулок
вулиця Київський Шлях	вулиця Київський Шлях
Другий Володимирівський провулок	2-й Володимирівський провулок
Другий Проскурівський провулок	2-й Проскурівський провулок
житловий масив Крошенський	Крошенський житловий масив
Куликівський шлях провулок	провулок Куликівський Шлях
Малий Гончарівський провулок	Малий Гончарівський провулок
Мар’ янівський провулок	Марʼянівський провулок
Ніженський шлях провулок	провулок Ніженський Шлях
Новий Ковельський провулок	Новий Ковельський провулок
Обухівський ключ мікрорайон	мікрорайон Обухівський Ключ
П'ятий Проскурівський провулок	5-й Проскурівський провулок
Панський Шлях (друга лінія)	2-га лінія Панський Шлях
Панський Шлях (п'ята лінія)	5-та лінія Панський Шлях
Панський Шлях (перша лінія)	1-ша лінія Панський Шлях
Панський Шлях (сьома лінія)	7-ма лінія Панський Шлях
Панський Шлях (третя лінія)	3-тя лінія Панський Шлях
Панський Шлях (четверта лінія)	4-та лінія Панський Шлях
Панський Шлях (шоста лінія)	6-та лінія Панський Шлях
Перший Олімпійський провулок	1-й Олімпійський провулок
Перший Проскурівський провулок	1-й Проскурівський провулок
Подільський Узвіз провулок	провулок Подільський Узвіз
Покровський житловий масив	Покровський житловий масив
Посульський Узвіз провулок	провулок Посульський Узвіз
Пушкінський спуск провулок	провулок Пушкінський Спуск
Спаський  провулок	Спаський  провулок
Тисянський тупик провулок	провулок Тисянський Тупик
Третій Дніпровський провулок	3-й Дніпровський провулок
Третій Проскурівський провулок	3-й Проскурівський провулок
Третій Український провулок	3-й Український провулок
Четвертий Проскурівський провулок	4-й Проскурівський провулок
Шостий Проскурівський провулок	6-й Проскурівський провулок
I-й Благовіщенський провулок	1-й Благовіщенський провулок
II-й Благовіщенський провулок	2-й Благовіщенський провулок
