Будьоного 3-й провулок	3-й провулок Будьоного
Вахрамеєва 4-й провулок	4-й провулок Вахрамеєва
Військове містечко-2 вулиця	вулиця Військове Містечко 2
Вознесенської 1-й провулок	1-й провулок Вознесенської
Всіхсвятської 1-й провулок	1-й провулок Всіхсвятської
Вчительської 2-й вулиця	2-й провулок Вчительської вулиці
Дальницький 1-й провулок	1-й Дальницький провулок
Дальницький 2-й провулок	2-й Дальницький провулок
Дальницький 3-й провулок	3-й Дальницький провулок
Дальницький 4-й провулок	4-й Дальницький провулок
Дальницький 5-й провулок	5-й Дальницький провулок
Дзержинського 1-й провулок	1-й провулок Дзержинського
Дзержинського 2-й провулок	2-й провулок Дзержинського
Дзержинського 3-й провулок	3-й провулок Дзержинського
Дзержинського 4-й провулок	4-й провулок Дзержинського
Западинської 1-й провулок	1-й провулок Западинської
Западинської 2-й провулок	2-й провулок Западинської
Імені 105-ти вулиця	вулиця імені 105-ти
Кірова 1-й провулок	1-й провулок Кірова
Клубної 1-й провулок	1-й провулок Клубної
Комінтерна 1-й провулок	1-й провулок Комінтерна
Комінтерна 2-й провулок	2-й провулок Комінтерна
Комсомольський 1-й провулок	1-й Комсомольський провулок
Комсомольської 1-й провулок	1-й провулок Комсомольської
Комсомольської 2-й провулок	2-й провулок Комсомольської
Крупської 1-й провулок	1-й провулок Крупської
Крупської 2-й провулок	2-й провулок Крупської
Леніна 1-й провулок	1-й провулок Леніна
Леніна 2-й провулок	2-й провулок Леніна
Луценка 1-й провулок	1-й провулок Луценка
Луценка 2-й провулок	2-й провулок Луценка
Матеріальний 2-й провулок	2-й Матеріальний провулок
Матеріальний 3-й провулок	3-й Матеріальний провулок
Маяковського 6-й провулок	6-й провулок Маяковського
Маякський 1-й провулок	1-й Маякський провулок
Маякський 2-й провулок	2-й Маякський провулок
Маякський 3-й провулок	3-й Маякський провулок
Маякський 4-й провулок	4-й Маякський провулок
Мирошниченка 1-й в'їзд	1-й вʼїзд Мирошниченка
Мирошниченко 2-й в'їзд	2-й вʼїзд Мирошниченко
Мирошниченко 3-й в'їзд	3-й вʼїзд Мирошниченко
Пересипський 2-й провулок	2-й Пересипський провулок
Постишева 1-й провулок	1-й провулок Постишева
Приміський 5-й проїзд	5-й Приміський проїзд
Садова 2-га вулиця	2-га Садова вулиця
Свердлова 1-й провулок	1-й провулок Свердлова
Тираспольский 1-й провулок	1-й Тираспольский провулок
Фрунзе 1-й провулок	1-й провулок Фрунзе
Фрунзе 3-й провулок	3-й провулок Фрунзе
Центральної 1-й провулок	1-й провулок Центральної
Центральної 4-й провулок	4-й провулок Центральної
Чапаєва 1-й провулок	1-й провулок Чапаєва
Щорса 1-й провулок	1-й провулок Щорса
Щорса 4-й провулок	4-й провулок Щорса 
