Борівецька вулиця	Борівецька вулиця
Вербицька вулиця	Вербицька вулиця
Вишнівецька вулиця	Вишнівецька вулиця
Владивостоцька вулиця	Владивостоцька вулиця
Гайдамацька вулиця	Гайдамацька вулиця
Грицька Коваленка вулиця	вулиця Грицька Коваленка
Грицька Чубая вулиця	вулиця Грицька Чубая
Дацька вулиця	вулиця Дацька
Домницька вулиця	вулиця Домницька
Дубровицька вулиця	Дубровицька вулиця
Дунаєцька вулиця	Дунаєцька вулиця
Зарубинецька вулиця	Зарубинецька вулиця
Івана Дуцька вулиця	вулиця Івана Дуцька
Івановицька вулиця	Івановицька вулиця
Іллінецька вулиця	Іллінецька вулиця
Кобеляцька вулиця	Кобеляцька вулиця
Колісницька вулиця	Колісницька вулиця
Коцюбинецька вулиця	Коцюбинецька вулиця
Кудринецька вулиця	Кудринецька вулиця
Куклинецька вулиця	Куклинецька вулиця
Лемацька вулиця	Лемацька вулиця
Локацька вулиця	Локацька вулиця
Лукавецька вулиця	Лукавецька вулиця
Луцька вулиця	Луцька вулиця
Малиницька вулиця	Малиницька вулиця
Микитинецька вулиця	 Микитинецька вулиця
Микулинецька вулиця	 Микулинецька вулиця
Микулицька вулиця	 Микулицька вулиця
Опришівецька вулиця	 Опришівецька вулиця
Половицька вулиця	 Половицька вулиця
Поморецька Гора вулиця	вулиця Поморецька Гора
Серединецька вулиця	 Серединецька вулиця
Сосницька вулиця	 Сосницька вулиця
Стецька вулиця	вулиця Стецька
Федора Дацька вулиця	вулиця Федора Дацька
Шишацька вулиця	 Шишацька вулиця
Щекавицька вулиця	 Щекавицька вулиця
Юнацька вулиця	 Юнацька вулиця
Ярослава Стецька вулиця	вулиця Ярослава Стецька
