Берестовецький Яр вулиця	вулиця Берестовецький Яр
Берестовецький Яр провулок	провулок Берестовецький Яр
Бічна Прилбицька вулиця	Бічна Прилбицька вулиця
Бобринецький шлях вулиця	вулиця Бобринецький Шлях
Велика Лутовецька вулиця	Велика Лутовецька вулиця
Велика Токмацька вулиця	Велика Токмацька вулиця
Велика Хустецька вулиця	Велика Хустецька вулиця
Великий Троїцький провулок	Великий Троїцький провулок
Галицька бічна вулиця	Бічна Галицька вулиця
Галицька Бічна вулиця	Бічна Галицька вулиця
Галицька-бічна вулиця	Бічна Галицька вулиця
Галицький Шлях вулиця	вулиця Галицький Шлях
Дрогобицька Бічна вулиця	Бічна Дрогобицька вулиця
Зіньковецька Набережна вулиця	Зіньковецька Набережна вулиця
Кайдацький Шлях вулиця	вулиця Кайдацький Шлях
Козацький Вал вулиця	вулиця Козацький Вал
Козацький шлях вулиця	вулиця Козацький Шлях
Козацький Шлях вулиця	вулиця Козацький Шлях
Крем’янецький Квартал вулиця	вулиця Кремʼянецький Квартал
Кривчицька Дорога вулиця	вулиця Кривчицька Дорога
Кропивницька Верхня вулиця	Верхня Кропивницька вулиця
Кубліцький Яр вулиця	вулиця Кубліцький Яр
Майдан Козацький вулиця	вулиця Козацький майдан
Малий Троїцький провулок	Малий Троїцький провулок
Нижня Сокільницька вулиця	Нижня Сокільницька вулиця
П’ятницька Гірка вулиця	вулиця Пʼятницька Гірка
провулок Боцька І	1-й провулок Боцька
провулок Боцька ІІ	2-й провулок Боцька
Середня Сокільницька вулиця	Середня Сокільницька вулиця
Сторонецький потік вулиця	вулиця Сторонецький Потік
Турецький вал вулиця	вулиця Турецький Вал
Чумацький шлях вулиця	вулиця Чумацький шлях
Чумацький Шлях вулиця	вулиця Чумацький Шлях
Чумацький Шлях провулок	провулок Чумацький Шлях
