Вісімнадцята вулиця	18-та вулиця
Восьма вулиця	8-ма вулиця
вулиця Вісімнадцята	18-та вулиця
Героїв Крут другий провулок	2-й провулок Героїв Крут
Героїв Крут перший провулок	1-й провулок Героїв Крут
Двадцать восьма вулиця	28-ма вулиця
Двадцать сьома вулиця	27-ма вулиця
Двадцята вулиця	20-та вулиця
Двадцять восьма вулиця	28-ма вулиця
Двадцять дев'ята вулиця	29-та вулиця
Двадцять дев’ята вулиця	29-та вулиця
Двадцять Дев’ята вулиця	29-та вулиця
Двадцять друга вулиця	22-га вулиця
Двадцять п'ята вулиця	25-та вулиця
Двадцять п’ята вулиця	25-та вулиця
Двадцять перша вулиця	21-ша вулиця
Двадцять сьома вулиця	27-ма вулиця
Двадцять третя вулиця	23-тя вулиця
Двадцять четверта вулиця	24-та вулиця
Двадцять шоста вулиця	26-та вулиця
Дванадцята вулиця	12-та вулиця
Дев'ята вулиця	9-та вулиця
Дев'ятнадцята вулиця	19-та вулиця
Дев’ятнадцята вулиця	19-та вулиця
Дев`ята вулиця	9-та вулиця
Десята вулиця	10-та вулиця
Друга Висока вулиця	2-га Висока вулиця
Друга вулиця	2-га вулиця
Друга Галатовка вулиця	2-га вулиця Галатовка
Друга Липовиця вулиця	2-га вулиця Липовиця
Друга Лінія вулиця	вулиця 2-га Лінія
Друга Плитниця вулиця	2-га вулиця Плитниця
Друга Слободка вулиця	2-га вулиця Слободка
Другий Верх вулиця	вулиця Другий Верх
Другий Потік вулиця	вулиця Другий Потік
Другий провулок	2-й провулок
Одинадцята вулиця	11-та вулиця
П'ята вулиця	5-та вулиця
П'ятнадцята вулиця	15-та вулиця
П’ята вулиця	5-та вулиця
П’ятнадцята вулиця	15-та вулиця
П`ята вулиця	5-та вулиця
Перша Висока вулиця	1-ша Висока вулиця
Перша вулиця	1-ша вулиця
Перша лінія	1-ша лінія
Перша Лінія вулиця	вулиця 1-ша Лінія
Перша п’ятирічка вулиця	вулиця Перша Пʼятирічка
Перша Плитниця вулиця	1-ша вулиця Плитниця
Перша Слободка вулиця	1-ша вулиця Слободка
Перший Верх вулиця	вулиця Перший Верх
Перший Потік вулиця	вулиця Перший Потік
Перший провулок	1-й провулок
Перший промінь вулиця	вулиця Перший Промінь
Піщана друга вулиця	2-га Піщана вулиця
Розтока Перша вулиця	1-ша вулиця Розтока
Сімнадцята вулиця	17-та вулиця
Сорок друга вулиця	42-га вулиця
Сорок четверта вулиця	44-та вулиця
Сьома вулиця	7-ма вулиця
Третій провулок	3-й провулок
Третя вулиця	3-тя вулиця
Третя Лінія вулиця	вулиця 3-тя Лінія
Третя сотня вулиця	вулиця Третя Сотня
Тридцята вулиця	30-та вулиця
Тридцять друга вулиця	32-га вулиця
Тридцять перша вулиця	31-ша вулиця
Тридцять третя вулиця	33-тя вулиця
Тринадцята вулиця	13-та вулиця
Четверта вулиця	4-та вулиця
Четвертий провулок	4-й провулок
Чотирнадцята вулиця	14-та вулиця
Шістнадцята вулиця	16-та вулиця
Шоста вулиця	6-та вулиця
Шостий гон вулиця	вулиця Шостий Гон
