Абай проспект	проспект Абай
Авіації площа	площа Авіації
Аеродромне шосе	Аеродромне шосе
Азов'я квартал	квартал Азовʼя
Аляб’єва в’їзд	вʼїзд Аляб’єва
Антоніо Бланко алея	алея Антоніо Бланко
Бабушкина тупик	тупик Бабушкина
Бакинських Комісарів площа	площа Бакинських Комісарів
Беркоса в’їзд	вʼїзд Беркоса
Білокоровицьке шосе	Білокоровицьке шосе
Біляївка в'їзд	вʼїзд Біляївка
Боричів узвіз	Боричів узвіз
Брезаноці площа	площа Брезаноці
Бровків тупик	тупик Бровків
Будівельника Забурдаєва проспект	проспект Будівельника Забурдаєва
Ванцетті тупик	тупик Ванцетті
Вараш мікрорайон	мікрорайон Вараш
Варошдерек площа	площа Варошдерек
Василенкове Поле тупик	тупик Василенкове Поле
Ватутина квартал	квартал Ватутина
Верке тупик	тупик Верке
Верхній в’їзд	Верхній вʼїзд
Верхній тупик	Верхній тупик
Верхня алея	Верхня алея
Веселий в’їзд	Веселий вʼїзд
Веселий проїзд	Веселий проїзд
Вечірній бульвар	Вечірній бульвар
Визволення Донбасу проспект	проспект Визволення Донбасу
Визволення майдан	майдан Визволення
Визволення площа	площа Визволення
Визволителів бульвар	бульвар Визволителів
Визволителів в’їзд	вʼїзд Визволителів
Визволителів Донбасу проспект	проспект Визволителів Донбасу
Визволителів проспект	проспект Визволителів
Відважних тупик	тупик Відважних
Відродження в'їзд	вʼїзд Відродження
Відродження площа	площа Відродження
Відродження проспект	проспект Відродження
Вінницьке шосе	Вінницьке шосе
Возз’єднання бульвар	бульвар Воззʼєднання
Возз’єднання проспект	проспект Воззʼєднання
Воззʼєднання площа	площа Воззʼєднання
Гагарина квартал	квартал Гагарина
Гагарина проспект	проспект Гагарина
Газети «Правда» проспект	проспект Газети «Правда»
Ганопільске шосе	Ганопільске шосе
Гарбарів тупик	тупик Гарбарів
Гастелло тупик	тупик Гастелло
Генерала Плієва площа	площа Генерала Плієва
Геологів проїзд	проїзд Геологів
Геологів проспект	проспект Геологів
Героїв алея	алея Героїв
Героїв АТО проспект	проспект Героїв АТО
Героїв Бреста площа	площа Героїв Бреста
Героїв бульвар	бульвар Героїв
Героїв ВВВ майдан	майдан Героїв ВВВ
Героїв Дніпра алея	алея Героїв Дніпра
