1-ї Лікарні проїзд	проїзд 1-ї Лікарні
1-ї П’ятирічки вулиця	вулиця 1-ї Пʼятирічки 
1-ї Ради провулок	провулок 1-ї Ради
10-ї Дивізії вулиця	вулиця 10-ї Дивізії
10-ї П’ятирічки провулок	провулок 10-ї Пʼятирічки
116-ї Дивізії вулиця	вулиця 116-ї Дивізії
128-ї бригади вулиця	вулиця 128-ї Бригади
152-ї Дивізії вулиця	вулиця 152-ї Дивізії
18-ї Армії вулиця	вулиця 18-ї Армії
2-ї П'ятирічки вулиця	вулиця 2-ї Пʼятирічки
2-ї П’ятирічки вулиця	вулиця 2-ї Пʼятирічки
2-ї П’ятірічки вулиця	вулиця 2-ї Пʼятірічки
203-ї Дивізії вулиця	вулиця 203-ї Дивізії
206-ї Дивізії вулиця	вулиця 206-ї Дивізії
25-ї Дивізії вулиця	вулиця 25-ї Дивізії
279-ї дивізії вулиця	вулиця 279-ї Дивізії
279-ї дівізії вулиця	вулиця 279-ї дівізії
28-ї Армії вулиця	вулиця 28-ї Армії
286-ї Дивізії вулиця	вулиця 286-ї Дивізії
3-ї Лікарні проїзд	проїзд 3-ї Лікарні
3-ї П’ятирічки вулиця	вулиця 3-ї Пʼятирічки
3-ї Роти вулиця	вулиця 3-ї Роти
301-ї Дивізії вулиця	вулиця 301-ї Дивізії
317-ї Дивізії вулиця	вулиця 317-ї Дивізії
333-ї Дивізії вулиця	вулиця 333-ї Дивізії
35-ї Дивізії вулиця	вулиця 35-ї Дивізії
353-ї Дивізії вулиця	вулиця 353-ї Дивізії
38-ї Армії вулиця	вулиця 38-ї Армії
4-ї П''ятирічки вулиця	вулиця 4-ї Пʼятирічки
4-ї П’ятирічки вулиця	вулиця 4-ї Пʼятирічки
411-ї Батареї вулиця	вулиця 411-ї Батареї
412-ї Дивізії вулиця	вулиця 412-ї Дивізії
50-ї Дивізії вулиця	вулиця 50-ї Дивізії
51-ї Армії вулиця	вулиця 51-ї Армії
62-ї Дивізії вулиця	вулиця 62-ї Дивізії
79-ї Бригади вулиця	вулиця 79-ї Бригади
9-ї Авіадивізії вулиця	вулиця 9-ї Авіадивізії
91-ї Дивізії вулиця	вулиця 91-ї Дивізії
95-ї бригади вулиця	вулиця 95-ї Бригади
