
1-а Матросова вулиця	1-ша вулиця Матросова
1-а Менделєєва вулиця	1-ша вулиця Менделєєва
1-а Ползунова вулиця	1-ша вулиця Ползунова
1-ая Пирогова вулиця	1-ша вулиця Пирогова
1-ий Захарченка провулок	1-й провулок Захарченка
1-ий Мазепи провулок	1-й провулок Мазепи
1-й Айвазовського провулок	1-й провулок Айвазовського
1-й Амундсена провулок	1-й провулок Амундсена
1-й Байрона в’їзд	1-й вʼїзд Байрона
1-й Бестужева провулок	1-й провулок Бестужева
1-й Блюхера провулок	1-й провулок Блюхера
1-й Бойка провулок	1-й провулок Бойка
1-й Будьонного провулок	1-й провулок Будьонного
1-й Ватутіна провулок	1-й провулок Ватутіна
1-й Вишневського провулок	1-й провулок Вишневського
1-й Воровського провулок	1-й провулок Воровського
1-й Ворошилова провулок	1-й провулок Ворошилова
1-й Гагаріна провулок	1-й провулок Гагаріна
1-й Гайдара провулок	1-й провулок Гайдара
1-й Герцена провулок	1-й провулок Герцена
1-й Глазунова провулок	1-й провулок Глазунова
1-й Глінки провулок	1-й провулок Глінки
1-й Гоголя провулок	1-й провулок Гоголя
1-й Горького провулок	1-й провулок Горького
1-й Грибоєдова провулок	1-й провулок Грибоєдова
1-й Громова провулок	1-й провулок Громова
1-й Грушевського провулок	1-й провулок Грушевського
1-й Дзержинського провулок	1-й провулок Дзержинського
1-й Димитрова провулок	1-й провулок Димитрова
1-й Добролюбова провулок	1-й провулок Добролюбова
1-й Довженка провулок	1-й провулок Довженка
1-й Докучаєва проїзд	1-й проїзд Докучаєва
1-й Достоєвського в’їзд	1-й вʼїзд Достоєвського
1-й Дубініна провулок	1-й провулок Дубініна
1-й Дудіна провулок	1-й провулок Дудіна
1-й Дунаєвського провулок	1-й провулок Дунаєвського
1-й Дундича провулок	1-й провулок Дундича
1-й Жукова провулок	1-й провулок Жукова
1-й Задніпровського провулок	1-й провулок Задніпровського
1-й Затонського провулок	1-й провулок Затонського
1-й Зелінського провулок	1-й провулок Зелінського
1-й І.Франка провулок	1-й провулок І. Франка
1-й Іванова провулок	1-й провулок Іванова
1-й Калініна провулок	1-й провулок Калініна
1-й Карбишева провулок	1-й провулок Карбишева
1-й Карбишева проїзд	1-й проїзд Карбишева
