700-річчя Львова площа	площа 700-річчя Львова
750-річчя Горохова вулиця	вулиця 750-річчя Горохова
900-річчя Буська площа	площа 900-річчя Буська
1-й Гайдара вулиця	1-ша вулиця Гайдара
10-а Абрикосова вулиця	10-та Абрикосова вулиця
11-а Абрикосова вулиця	11-та Абрикосова вулиця
12-а Абрикосова вулиця	12-та Абрикосова вулиця
2-а Абрикосова вулиця	2-га Абрикосова вулиця
2-а Бабушкіна вулиця	2-га вулиця Бабушкіна
2-а Коцюбинського вулиця	2-га вулиця Коцюбинського
2-а Матросова вулиця	2-га вулиця Матросова
2-а Міська вулиця	2-га Міська вулиця
2-а Новікова вулиця	2-га вулиця Новікова
2-а Ползунова вулиця	2-га вулиця Ползунова
2-а Русакова вулиця	2-га вулиця Русакова
2-а Свердлова вулиця	2-га вулиця Свердлова
4-а Абрикосова вулиця	4-та Абрикосова вулиця
5-а Абрикосова вулиця	5-та Абрикосова вулиця
6-а Абрикосова вулиця	6-та Абрикосова вулиця
7-а Абрикосова вулиця	7-ма Абрикосова вулиця
8-а Абрикосова вулиця	8-ма Абрикосова вулиця
9-а Абрикосова вулиця	9-та Абрикосова вулиця
