1-а Бузкова вулиця	1-ша Бузкова вулиця
1-а Висока вулиця	1-ша Висока вулиця
1-а Вітовська вулиця	1-ша Вітовська вулиця
1-а Воєнна вулиця	1-ша Воєнна вулиця
1-а Горіхова вулиця	1-ша Горіхова вулиця
1-а Горська вулиця	1-ша Горська вулиця
1-а Дамбова вулиця	1-ша Дамбова вулиця
1-а Крейдова вулиця	1-ша Крейдова вулиця
1-а Левада вулиця	1-ша Левада вулиця
1-а лінія вулиця	вулиця 1-ша Лінія
1-а Лінія вулиця	вулиця 1-ша Лінія
1-а Лінія провулок	провулок 1-ша Лінія
1-а Лугова вулиця	1-ша Лугова вулиця
1-а Мурейки вулиця	1-ша вулиця Мурейки
1-а Нова вулиця	1-ша Нова вулиця
1-а Олександрівка вулиця	1-ша вулиця Олександрівка
1-а Переселенці вулиця	1-ша вулиця Переселенці
1-а Повздовжня вулиця	1-ша Повздовжня вулиця
1-а Промислова вулиця	1-ша Промислова вулиця
1-а Річкова вулиця	1-ша Річкова вулиця
1-а Січова вулиця	1-ша Січова вулиця
1-а Сортовипробувальна вулиця	1-ша Сортовипробувальна вулиця
1-а Степова вулиця	1-ша Степова вулиця
1-а Товщ вулиця	1-ша вулиця Товщ
10-а Воєнна вулиця	10-та Воєнна вулиця
10-а Ентузіастів вулиця	10-та вулиця Ентузіастів
10-а лінія вулиця	вулиця 10-та Лінія
10-а Лінія вулиця	вулиця 10-та Лінія
10-а Лугова вулиця	10-та Лугова вулиця
10-а Олександрівка вулиця	10-та вулиця Олександрівка
10-а Повздовжня вулиця	10-та Повздовжня вулиця
10-а Степова вулиця	10-та Степова вулиця
11-а Воєнна вулиця	11-та Воєнна вулиця
11-а Ентузіастів вулиця	11-та вулиця Ентузіастів
11-а лінія вулиця	вулиця 11-та Лінія
11-а Лінія вулиця	вулиця 11-та Лінія
11-а Лугова вулиця	11-та Лугова вулиця
11-а Олександрівка вулиця	11-та вулиця Олександрівка
11-а Повздовжня вулиця	11-та Повздовжня вулиця
11-а Степова вулиця	11-та Степова вулиця
12-а Ентузіастів вулиця	12-та вулиця Ентузіастів
12-а лінія вулиця	вулиця 12-та Лінія
12-а Лінія вулиця	вулиця 12-та Лінія
12-а Лугова вулиця	12-та Лугова вулиця
12-а Повздовжня вулиця	12-та Повздовжня вулиця
13-а Воєнна вулиця	13-та Воєнна вулиця
13-а Ентузіастів вулиця	13-та вулиця Ентузіастів
13-а лінія вулиця	вулиця 13-та Лінія
13-а Лінія вулиця	вулиця 13-та Лінія
13-а Лугова вулиця	13-та Лугова вулиця
14-а Ентузіастів вулиця	14-та вулиця Ентузіастів
14-а лінія вулиця	вулиця 14-та Лінія
14-а Лінія вулиця	вулиця 14-та Лінія
14-а Лугова вулиця	14-та Лугова вулиця
15-а Ентузіастів вулиця	15-та вулиця Ентузіастів
15-а лінія вулиця	вулиця 15-та Лінія
15-а Лінія вулиця	вулиця 15-та Лінія
15-а Лугова вулиця	15-та Лугова вулиця
16-а Ентузіастів вулиця	16-та вулиця Ентузіастів
16-а Лінія вулиця	вулиця 16-та Лінія
16-а Лугова вулиця	16-та Лугова вулиця
17-а Лінія вулиця	вулиця 17-та Лінія
17-а Лугова вулиця	17-та Лугова вулиця
18-а Лінія вулиця	вулиця 18-та Лінія
19-а Лінія вулиця	вулиця 19-та Лінія
2-а Будівельників вулиця	2-га вулиця Будівельників
2-а Бузкова вулиця	2-га Бузкова вулиця
2-а Висока вулиця	2-га Висока вулиця
2-а Віли вулиця	2-га вулиця Віли
2-а Вірьовчина вулиця	2-га Вірьовчина вулиця
