
1-й Авіаторської тупик	1-й тупик Авіаторської
1-й Автомобілістів проїзд	1-й проїзд Автомобілістів
1-й Аптекарської провулок	1-й провулок Аптекарської
1-й Бадаєва провулок	1-й провулок Бадаєва
1-й Берегової провулок	1-й провулок Берегової
1-й Борисівки провулок	1-й провулок Борисівки
1-й Борисяка провулок	1-й провулок Борисяка
1-й Будівельників провулок	1-й провулок Будівельників
1-й Бульбенка провулок	1-й провулок Бульбенка
1-й Вахрамеєва провулок	1-й провулок Вахрамеєва
1-й Верейського проїзд	1-й проїзд Верейського
1-й Весніна провулок	1-й провулок Весніна
1-й Високовича провулок	1-й провулок Високовича
1-й Відпочинку провулок	1-й провулок Відпочинку
1-й Відродження провулок	1-й провулок Відродження
1-й Г.Морозової провулок	1-й провулок Г. Морозової
1-й Г.Морозової проїзд	1-й проїзд Г. Морозової
1-й Декабристів провулок	1-й провулок Декабристів
1-й Джамбула провулок	1-й провулок Джамбула
1-й Дружби провулок	1-й провулок Дружби
1-й Дружби тупик	1-й тупик Дружби
1-й Енергетиків провулок	1-й провулок Енергетиків
1-й Енергетиків проїзд	1-й проїзд Енергетиків
1-й Жилярді в’їзд	1-й вʼїзд Жилярді
1-й Журналістів проїзд	1-й проїзд Журналістів
1-й Загребелля провулок	1-й провулок Загребелля
1-й Злагоди провулок	1-й провулок Злагоди
1-й Зорге провулок	1-й провулок Зорге
1-й Кам’янопотіцької провулок	1-й провулок Камʼянопотіцької
1-й Карасика провулок	1-й провулок Карасика
1-й Ковалевської провулок	1-й провулок Ковалевської
1-й Комінтерну провулок	1-й провулок Комінтерну
1-й Комунарівської провулок	1-й провулок Комунарівської
1-й Константиновича провулок	1-й провулок Константиновича
1-й Константиновича проїзд	1-й проїзд Константиновича
1-й Космонавтів провулок	1-й провулок Космонавтів
1-й Костенюк провулок	1-й провулок Костенюк
1-й Круглицької провулок	1-й провулок Круглицької
1-й Крупської провулок	1-й провулок Крупської
1-й Леваневського провулок	1-й провулок Леваневського
1-й Лідової провулок	1-й провулок Лідової
1-й Макаренко провулок	1-й провулок Макаренко
1-й Максютова провулок	1-й провулок Максютова
1-й Меліораторів проїзд	1-й проїзд Меліораторів
1-й Механізаторів провулок	1-й провулок Механізаторів
1-й Мєчнікова провулок	1-й провулок Мєчнікова
1-й Миру провулок	1-й провулок Миру
