1 Головний провулок	1-й Головний провулок
1 Загребельний провулок	1-й Загребельний провулок
1 Ірпіньський провулок	1-й Ірпінський провулок
1 Московський провулок	1-й Московський провулок
1 Ніжинський проїзд	1-й Ніжинський проїзд
1 Покровський провулок	1-й Покровський провулок
1 провулок Першотравневий	1-й Першотравневий провулок
1 шахтерский тупик	1-й Шахтарський тупик
1-ий Колгоспний провулок	1-й Колгоспний провулок
1-ий Садовий провулок	1-й Садовий провулок
1-ий Садовий тупик	1-й Садовий тупик
1-й Абрикосовий провулок	1-й Абрикосовий провулок
1-й Авіаційний провулок	1-й Авіаційний провулок
1-й Аграрний тупик	1-й Аграрний тупик
1-й Аеродромний провулок	1-й Аеродромний провулок
1-й Алебастровий провулок	1-й Алебастровий провулок
1-й Амурський провулок	1-й Амурський провулок
1-й Ангарський проїзд	1-й Ангарський проїзд
1-й Андріївський провулок	1-й Андріївський провулок
1-й Аравійський в’їзд	1-й Аравійський вʼїзд
1-й Арктичний провулок	1-й Арктичний провулок
1-й Артилерійський провулок	1-й Артилерійський провулок
1-й Базарний провулок	1-й Базарний провулок
1-й Балтійський провулок	1-й Балтійський провулок
1-й Барвінковий проїзд	1-й Барвінковий проїзд
1-й Басейний провулок	1-й Басейний провулок
1-й Баштанський провулок	1-й Баштанський провулок
1-й Бердичівський провулок	1-й Бердичівський провулок
1-й Береговий провулок	1-й Береговий провулок
1-й Березівський провулок	1-й Березівський провулок
1-й Березовий провулок	1-й Березовий провулок
1-й Березовий проїзд	1-й Березовий проїзд
1-й Бібліотечний тупик	1-й Бібліотечний тупик
1-й Богунський провулок	1-й Богунський провулок
1-й Богунський проїзд	1-й Богунський проїзд
1-й Бойовий провулок	1-й Бойовий провулок
1-й Болгарський провулок	1-й Болгарський провулок
1-й Болгарський проїзд	1-й Болгарський проїзд
1-й Бортницький провулок	1-й Бортницький провулок
1-й Ботанічний провулок	1-й Ботанічний провулок
1-й Братський провулок	1-й Братський провулок
1-й Брестський провулок	1-й Брестський провулок
1-й Бузковий провулок	1-й Бузковий провулок
1-й Бузковий проїзд	1-й Бузковий проїзд
1-й Буковинський провулок	1-й Буковинський провулок
1-й Бульварний провулок	1-й Бульварний провулок
1-й Валовий провулок	1-й Валовий провулок
1-й Варшавський провулок	1-й Варшавський провулок
1-й Вербовий провулок	1-й Вербовий провулок
1-й Верстатний в’їзд	1-й Верстатний вʼїзд
1-й Верхній проїзд	1-й Верхній проїзд
1-й Веселий провулок	1-й Веселий провулок
1-й Весняний провулок	1-й Весняний провулок
1-й Вечірній провулок	1-й Вечірній провулок
1-й Виноградний провулок	1-й Виноградний провулок
1-й Винокурний провулок	1-й Винокурний провулок
1-й Високовольтний в’їзд	1-й Високовольтний вʼїзд
1-й Високогірний проїзд	1-й Високогірний проїзд
1-й Вишневий провулок	1-й Вишневий провулок
1-й Віденський провулок	1-й Віденський провулок
1-й Вільний провулок	1-й Вільний провулок
1-й Вінницький провулок	1-й Вінницький провулок
1-й Вовчанський провулок	1-й Вовчанський провулок
1-й Водопійний провулок	1-й Водопійний провулок
1-й Водопровідний провулок	1-й Водопровідний провулок
1-й Воздвиженський провулок	1-й Воздвиженський провулок
1-й Вокзальний провулок	1-й Вокзальний провулок
1-й Волгоградський провулок	1-й Волгоградський провулок
1-й Волочаївський провулок	1-й Волочаївський провулок
1-й Врожайний проїзд	1-й Врожайний проїзд
1-й Газетний провулок	1-й Газетний провулок
1-й Географічний проїзд	1-й Географічний проїзд
1-й Георгіївський в’їзд	1-й Георгіївський вʼїзд
1-й Гоголівський провулок	1-й Гоголівський провулок
1-й Горіхівський провулок	1-й Горіхівський провулок
1-й Горіховий проїзд	1-й Горіховий проїзд
1-й Горовий провулок	1-й Горовий провулок
1-й Госпітальний провулок	1-й Госпітальний провулок
1-й Гостинний в'їзд	1-й Гостинний вʼїзд
1-й Гранітний провулок	1-й Гранітний провулок
1-й Грідротехнічний проїзд	1-й Грідротехнічний проїзд
1-й Ґданський провулок	1-й Ґданський провулок
1-й Ґданський тупик	1-й Ґданський тупик
1-й Далекий провулок	1-й Далекий провулок
1-й Данилівський провулок	1-й Данилівський провулок
1-й Дачний провулок	1-й Дачний провулок
1-й Деповський провулок	1-й Деповський провулок
1-й Деповський тупик	1-й Деповський тупик
1-й Деревообробний провулок	1-й Деревообробний провулок
1-й Джерельний провулок	1-й Джерельний провулок
1-й Дніпровський провулок	1-й Дніпровський провулок
1-й Дніпровський проїзд	1-й Дніпровський проїзд
1-й Дружний провулок	1-й Дружний провулок
1-й Дунайський провулок	1-й Дунайський провулок
1-й Електронний провулок	1-й Електронний провулок
1-й Електронний проїзд	1-й Електронний проїзд
1-й Житловий провулок	1-й Житловий провулок
1-й Житній провулок	1-й Житній провулок
1-й Житомирський провулок	1-й Житомирський провулок
1-й Жовтневий в’їзд	1-й Жовтневий вʼїзд
1-й Жовтневий провулок	1-й Жовтневий провулок
1-й Заводський провулок	1-й Заводський провулок
