1 Воєнна вулиця	1-ша Воєнна вулиця
1-го Мая вулиця	вулиця 1 Травня
1-ша Лінія вулиця	вулиця 1-ша Лінія
10-та Лінія вулиця	вулиця 10-та Лінія
100-річчя Маневич вулиця	вулиця 100-річчя Маневич
1000-ліття Дубровиці вулиця	вулиця 1000-ліття Дубровиці
11-та Лінія вулиця	вулиця 11-та Лінія
1100-річчя Полтави вулиця	вулиця 1100-річчя Полтави
13-го Партз’їзду вулиця	вулиця Партзʼїзду
13-ти Розстріляних вулиця	вулиця 13-ти Розстріляних
15-річчя ЛКСМУ вулиця	вулиця 15-річчя ЛКСМУ
17-го Партз’їзду вулиця	вулиця XVII Партзʼїзду
17-го Партз’їзду провулок	провулок XVII Партзʼїзду
18-го Партз’їзду вулиця	вулиця XVIII Партзʼїзду
19-го Партз'їду вулиця	вулиця XIX Партзʼїду
19-го Партз’їзду вулиця	вулиця XIX Партзʼїзду
1905-го року вулиця	вулиця 1905 року
2-га Лінія вулиця	вулиця 2-га Лінія
2-ої П’ятирічки вулиця	вулиця 2-ї Пʼятирічки
20-го Артполка вулиця	вулиця 20-го Артполка
20-го Партз'їзду вулиця	вулиця XX Партзʼїзду
20-го Партз’їзду вулиця	вулиця XX Партзʼїзду
20-го Партз’їзду провулок	провулок XX Партзʼїзду
20-річчя Перемоги вулиця	вулиця 20-річчя Перемоги
200-річчя Херсона площа	площа 200-річчя Херсона
200-річчя Херсона проспект	проспект 200-річчя Херсона
200-річчя Яремча вулиця	вулиця 200-річчя Яремчі
200-річчя Яремче вулиця	вулиця 200-річчя Яремчі
200-річчя Яремчі вулиця	вулиця 200-річчя Яремчі
206-ої Дивізії вулиця	вулиця 206-ої Дивізії
21-го МЮДу вулиця	вулиця 21-го МЮДу
21-го Партз’їзду вулиця	вулиця XXI Партзʼїзду
21-ша Лінія вулиця	вулиця 21-ша Лінія
22-га Лінія вулиця	вулиця 22-га Лінія
22-го Партз’їзду вулиця	вулиця XXII Партзʼїзду
22-го Cічня майдан	майдан 22 Cічня
23-го З'їзду вулиця	вулиця XVIII Зʼїзду
23-го Партз’їзду вулиця	вулиця XXIII Партзʼїзду
23-ша Лінія вулиця	вулиця 23-ша Лінія
23-я Лінія вулиця	вулиця 23-тя Лінія
23-я Лінія провулок	провулок 23-тя Лінія
25-го Партз’їзду вулиця	вулиця 25-го Партзʼїзду
25-річчя РККА проспект	проспект 25-річчя РККА
250-річчя Донбасу проспект	проспект 250-річчя Донбасу
279-ої дівізії вулиця	вулиця 279-ї Дивізії
3-го Інтернаціонала вулиця	вулиця 3-го Інтернаціоналу
3-го Інтернаціоналу вулиця	вулиця 3-го Інтернаціоналу
3-го Тисячоліття вулиця	вулиця 3-го Тисячоліття
3-тя Лінія вулиця	вулиця 3-тя Лінія
