old_name	 new_name
 Коцюбинського вулиця	вулиця Коцюбинського
---Захисників України провулок	провулок Захисників України
---Кузнецова вулиця	вулиця Кузнецова


«Партизанської іскри» вулиця	вулиця Партизанської Іскри
«Правди» вулиця	вулиця Правди
\Незалежності вулиця	вулиця Незалежності














































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































