Абдалієва вулиця	вулиця Абдалієва
Авальяні вулиця	вулиця Авальяні
Августо Донніні вулиця	вулиця Августо Донніні
Авіамістечко вулиця	вулиця Авіамістечко
Авіаторів вулиця	вулиця Авіаторів
Авіації вулиця	вулиця Авіації
Автобуду вулиця	вулиця Автобуду
Автолюбителів вулиця	вулиця Автолюбителів
Агабек-Заде вулиця	вулиця Агабек-Заде
Агап’єва вулиця	вулиця Агапʼєва
Агнії Барто вулиця	вулиця Агнії Барто
Агнона вулиця	вулиця Агнона
Аграрана вулиця	Аграрна вулиця
Агромістечко вулиця	вулиця Агромістечко
Адермаха вулиця	вулиця Адермаха
Адмірала Завойка вулиця	вулиця Адмірала Завойка
Адмірала Траверсе вулиця	вулиця Адмірала Траверсе
Адягош вулиця	вулиця Адягош
Аеродром вулиця	вулиця Аеродром
Аеронавтів вулиця	вулиця Аеронавтів
Аерофлоту вулиця	вулиця Аерофлоту
Азєва вулиця	вулиця Азєва
Азовсталі вулиця	вулиця Азовсталі
Аіровое вулиця	вулиця Аіровое
Акац вулиця	вулиця Акац
Акацієва вулиця	вулиця Акацієва
Акації вулиця	вулиця Акації
Акацій вулиця	вулиця Акацій
Акацфа вулиця	вулиця Акацфа
Акіма вулиця	вулиця Акіма
Аккерман вулиця	вулиця Аккерман
Аксьонкіної вулиця	вулиця Аксьонкіної
Алвег вулиця	вулиця Алвег
Алеєва вулиця	вулиця Алеєва
Алеї вулиця	вулиця Алеї
Алея вулиця	вулиця Алея
Алея Миру вулиця	вулиця Алея Миру
Алєєксєєва вулиця	вулиця Алєєксєєва
Алих роз вулиця	вулиця Алих роз
Алімпія Галика вулиця	вулиця Алімпія Галика
Алфатар вулиця	вулиця Алфатар
Алчевських вулиця	вулиця Алчевських
Алшо Мікефалва вулиця	вулиця Алшо Мікефалва
Алшокерт вулиця	вулиця Алшокерт
Алюмінієва вулиця	вулиця Алюмінієва
Аляб’єва вулиця	вулиця Алябʼєва
Америка вулиця	вулиця Америка
Ананьїна вулиця	вулиця Ананьїна
Ангеліної вулиця	вулиця Ангеліної
Андруса вулиця	вулиця Андруса
Андрущишиних вулиця	вулиця Андрущишиних
Анжея Хцюка вулиця	вулиця Анжея Хцюка
Анруд вулиця	вулиця Анруд
Антонінка вулиця	вулиця Антонінка
Антоніо-Бланко вулиця	вулиця Антоніо-Бланко
Апша вулиця	вулиця Апша
Арвата вулиця	вулиця Арвата
Аргунових вулиця	вулиця Аргунових
Ардов вулиця	вулиця Ардов
Ареф’єва вулиця	вулиця Арефʼєва
Армії вулиця	вулиця Армії
Армії УНР вулиця	вулиця Армії УНР
Аросєва вулиця	вулиця Аросєва
Артозєєва вулиця	вулиця Артозєєва
Архитектора Кобелєва вулиця	вулиця Архитектора Кобелєва
Архітектора Бургіньйона вулиця	вулиця Архітектора Бургіньйона
Архітектора Дольніка вулиця	вулиця Архітектора Дольніка
Архітектора Кобелєва вулиця	вулиця Архітектора Кобелєва
Архітекторів вулиця	вулиця Архітекторів
Асало вулиця	вулиця Асало
