бул. Зоряний	Зоряний бульвар
Вул. Ак. Вільямса	вулиця Академіка Вільямса
вул. Артемова	вулиця Артемова
Вул. Давида Ойстраха	вулиця Давида Ойстраха
Вул. Державіна	вулиця Державіна
Вул. Комарова	вулиця Комарова
Вул. Корольова	вулиця Корольова
вул. Маяковського	вулиця Маяковського
вул. Павлика Морозова	вулиця Павлика Морозова
Вул. Паустовського	вулиця Паустовського
Вул. Чернишевського	вулиця Чернишевського
вул. Шевченка	вулиця Шевченка
Головачова вул.	вулиця Головачова
Грушевського вул.	вулиця Грушевського
Івана Мазепи вул.	вулиця Івана Мазепи
кв. Ворошилова	квартал Ворошилова
кв. Комарова	квартал Комарова
Коцюбинського вул.	вулиця Коцюбинського
Красіна вул.	вулиця Красіна
Лесі Українки вул.	вулиця Лесі Українки
Огієнка вул.	вулиця Огієнка
Пр.-т ак. Глушка	проспект Академіка Глушка
Пров. Пушкіна	провулок Пушкіна
пров. Щорса	провулок Щорса
Терешкової вул.	вулиця Терешкової
ул.Генерала Батюка	вулиця Генерала Батюка
Фурманова вуліця	вулиця Фурманова
 Коцюбинського вулиця	вулиця Коцюбинського
---Кузнецова вулиця	вулиця Кузнецова
«Партизанської іскри» вулиця	вулиця Партизанської Іскри
«Правди» вулиця	вулиця Правди
Богдана вулиця-	вулиця Богдана
Богдана Сахнюка прлвулок	провулок Богдана Сахнюка
В’ячеслава Чорновола вулицяь	вулиця Вʼячеслава Чорновола
Енгельса вулиця:Энгельса	вулиця Енгельса
І провулок Горького	1-й провулок Горького
ІІ провулок Горького	2-й провулок Горького
ІІІ провулок Горького	3-й провулок Горького
Калініна перевулок	провулок Калініна
Комарова вулиці	вулиця Комарова
Комарова вулмця	вулиця Комарова
Кравченка вулицяь	вулиця Кравченка
Мартина Небаби перевулок	провулок Мартина Небаби
Мирослави Кобилянської вулиці	вулиця Мирослави Кобилянської
Надії вулїца	Надії вулїца
Остапа Вишні вулиці	Остапа Вишні вулиці
Отамана Головатого вулицяь	Отамана Головатого вулицяь
Отамана Головатого провулокй	Отамана Головатого провулокй
Павлова рпровулок	Павлова рпровулок
Романа Шухевичавулиця	Романа Шухевичавулиця
Соломії Крушельницької вулиця (Войкова)	Соломії Крушельницької вулиця (Войкова)
Соціалістична вулиця (Василя Стуса)	Соціалістична вулиця (Василя Стуса)
Токарева вулицяь	Токарева вулицяь
Фурманова вуліця	Фурманова вуліця
Черняховського провулокй	Черняховського провулокй
Шляхова вулиця 	Шляхова вулиця 
Юрія Липи ровулок	Юрія Липи ровулок
Юрченка вуличя	Юрченка вуличя
Якубовського вулиц	Якубовського вулиц
Ⅱ Римського-Корсакова провулок	2-й провулок Римського-Корсакова
