
1 Красноградського Механічного Корпусу вулиця	вулиця 1-го Красноградського Механічного Корпусу
1-а Набережна р. Стрілка вулиця	1-ша Набережна р. Стрілка вулиця
1-й Григорія Сковороди вулиці провулок	1-й Григорія Сковороди вулиці провулок
1-й провулок Грушевського 	1-й провулок Грушевського 
1-й проезд Восточной  улицы	1-й проезд Восточной  улицы
10 лінія Сави Освященного вулиця	10 лінія Сави Освященного вулиця
10-а лінія 6-ї ст. Люстдорфської дороги вулиця	10-а лінія 6-ї ст. Люстдорфської дороги вулиця
10-а Лінія Дачі Ковалевського вулиця	10-а Лінія Дачі Ковалевського вулиця
10-ї Окремої Гірсько-Штурмової Бригади вулиця	10-ї Окремої Гірсько-Штурмової Бригади вулиця
10-ї річниці Незалежності України вулиця	10-ї річниці Незалежності України вулиця
10-ї річниця Незалежності України вулиця	10-ї річниця Незалежності України вулиця
100 років Червоного Хреста вулиця	100 років Червоного Хреста вулиця
11-а лінія 6-ї ст. Люстдорфської дороги вулиця	11-а лінія 6-ї ст. Люстдорфської дороги вулиця
110 б – 136 б	110 б – 136 б
12-а лінія 6-ї ст. Люстдорфської дороги вулиця	12-а лінія 6-ї ст. Люстдорфської дороги вулиця
128-ї Окремої Гірсько-Піхотної Бригади вулиця	128-ї Окремої Гірсько-Піхотної Бригади вулиця
13-я Станция Большого Фонтана пляж	13-я Станция Большого Фонтана пляж
14 Гвардійської Стрілецької Дивізії вулиця	14 Гвардійської Стрілецької Дивізії вулиця
14 героїв Соціалістичної праці вулиця	14 героїв Соціалістичної праці вулиця
14-ї Гвардійської Стрілецької Дивізії вулиця	14-ї Гвардійської Стрілецької Дивізії вулиця
14-ї ОМБ Князя Романа Великого вулиця	14-ї ОМБ Князя Романа Великого вулиця
14-ї ОМБ Князя Романа Великого провулок	14-ї ОМБ Князя Романа Великого провулок
2 лінія Сави Освященного вулиця	2 лінія Сави Освященного вулиця
2-а Набережна р. Стрілка вулиця	2-а Набережна р. Стрілка вулиця
2-й 30 років Перемоги провулок	2-й 30 років Перемоги провулок
2-й Григорія Сковороди вулиці провулок	2-й Григорія Сковороди вулиці провулок
2-й провулок Грушевського 	2-й провулок Грушевського 
20 років Незалежності України вулиця	20 років Незалежності України вулиця
21-ї бригади Національної гвардії України вулиця	21-ї бригади Національної гвардії України вулиця
210 б – 247 б	210 б – 247 б
26-й  квартал	26-й  квартал
268 б – 309 б	268 б – 309 б
295-ї Херсонської Стрілецької Дивізії вулиця	295-ї Херсонської Стрілецької Дивізії вулиця
30 - Років Перемоги вулиця	30 - Років Перемоги вулиця
330 б – 375 б	330 б – 375 б
36-ї Гвардійської Стрілецької Дивізії вулиця	36-ї Гвардійської Стрілецької Дивізії вулиця
39 б – 50 б	39 б – 50 б
4 ряд  Нижній Шувар	4 ряд  Нижній Шувар
4-го Гвардійського Кубанського Кавалерійського Козачого Корпусу вулиця	4-го Гвардійського Кубанського Кавалерійського Козачого Корпусу вулиця
40 років Визволення України вулиця	40 років Визволення України вулиця
40 років Радянської Армії вулиця	40 років Радянської Армії вулиця
40 років Радянської України вулиця	40 років Радянської України вулиця
44-ї Окремої Артилерійської Бригади вулиця	44-ї Окремої Артилерійської Бригади вулиця
