??? 2-й Чайковського провулок	2-й провулок Чайковського
??? 3-й Чайковського провулок	3-й провулок Чайковського
1 Воєнна вулиця	1-ша Воєнна вулиця
1 Головний провулок	1-й Головний провулок
1 Загребельний провулок	1-й Загребельний провулок
1 Ірпіньський провулок	1-й Ірпінський провулок
1 квартал	1-й квартал
1 Кірова вулиця	1-ша вулиця Кірова
1 Красноградського Механічного Корпусу вулиця	вулиця 1-го Красноградського Механічного Корпусу
1 лінія вулиця	вулиця 1-ша Лінія
1 лінія Сави Освященного вулиця	1-ша лінія Сави Освяченого
1 Махнівський провулок	1-й Махнівський провулок
1 Московський провулок	1-й Московський провулок
1 Набережна вулиця	1-ша Набережна вулиця
1 Нижня вулиця	1-ша Нижня вулиця
1 Ніжинський проїзд	1-й Ніжинський проїзд
1 Покровський провулок	1-й Покровський провулок
1 Поперечна вулиця	1-ша Поперечна вулиця
1 провулок Першотравневий	1-й Першотравневий провулок
1 ряд	1-й ряд
1 ряд Нижній Шувар	1-й ряд Нижній Шувар
1 шахтерский тупик	1-й Шахтарський тупик
1 Юрченків провулок	1-й провулок Юрченків
1- Набережна вулиця	1-ша Набережна вулиця
1-а «А» лінія	1-ша лінія А
1-а А Озерна вулиця	1-ша Озерна вулиця А
1-а Авангардна вулиця	1-ша Авангардна вулиця
1-а Азовська вулиця	1-ша Азовська вулиця
1-а аллея	1-ша алея
1-а Бабушкіна вулиця	1-ша вулиця Бабушкіна
1-а Берегова вулиця	1-ша Берегова вулиця
1-а Біломорська вулиця	1-ша Біломорська вулиця
1-а Будівельна вулиця	1-ша Будівельна вулиця
1-а Будівельників вулиця	1-ша вулиця Будівельників
1-а Бузкова вулиця	1-ша Бузкова вулиця
1-а Виноградна вулиця	1-ша Виноградна вулиця
1-а Висока вулиця	1-ша Висока вулиця
1-а Вишнева вулиця	1-ша Вишнева вулиця
1-а Віли вулиця	1-ша вулиця Віли
1-а Вінницька вулиця	1-ша Вінницька вулиця
1-а Вірьовчина вулиця	1-ша вулиця Вірьовчина
1-а Вітовська вулиця	1-ша Вітовська вулиця
1-а Водоп’янова вулиця	1-ша вулиця Водопʼянова
1-а Воєнна вулиця	1-ша Воєнна вулиця
1-а вулиця	1-ша вулиця
1-а Газопровідна вулиця	1-ша Газопровідна вулиця
1-а Галатовка вулиця	1-ша вулиця Галатовка
1-а Горіхова вулиця	1-ша Горіхова вулиця
1-а Горська вулиця	1-ша Горська вулиця
1-а Госпітальна вулиця	1-ша Госпітальна вулиця
1-а Дамбова вулиця	1-ша Дамбова вулиця
1-а Дачна вулиця	1-ша Дачна вулиця
1-а Деснянська вулиця	1-ша Деснянська вулиця
1-а Дзержинського вулиця	1-ша вулиця Дзержинського
1-а Дорожная	1-ша Дорожня вулиця
1-а Дорожня вулиця	1-ша Дорожня вулиця
1-а Екіпажна вулиця	1-ша Екіпажна вулиця
1-а Ентузіастів вулиця	1-ша вулиця Ентузіастів
1-а Житомирська вулиця	1-ша Житомирська вулиця
1-а Заводська вулиця	1-ша Заводська вулиця
1-а Закрупець вулиця	1-ша вулиця Закрупець
1-а Заливна вулиця	1-ша Заливна вулиця
1-а Залізнична вулиця	1-ша Залізнична вулиця
1-а Заміська вулиця	1-ша Заміська вулиця
1-а Замостянська вулиця	1-ша Замостянська вулиця
1-а Заозерна вулиця	1-ша Заозерна вулиця
1-а Західна вулиця	1-ша Західна вулиця
1-а Заярська вулиця	1-ша Заярська вулиця
1-а Зелена вулиця	1-ша Зелена вулиця
1-а Ізотова вулиця	1-ша вулиця Ізотова
1-а Інгульська вулиця	1-ша Інгульська вулиця
1-а Кальчик вулиця	1-ша вулиця Кальчик
1-а Канальна вулиця	1-ша Канальна вулиця
1-а Київська вулиця	1-ша Київська вулиця
1-а Кільцева вулиця	1-ша Кільцева вулиця
1-а Кожевна вулиця	1-ша Кожевна вулиця
1-а Козацька вулиця	1-ша Козацька вулиця
1-а Кооперативна вулиця	1-ша Кооперативна вулиця
1-а Кордівка вулиця	1-ша вулиця Кордівка
1-а Коротка вулиця	1-ша Коротка вулиця
1-а Крейдова вулиця	1-ша Крейдова вулиця
1-а Левада вулиця	1-ша Левада вулиця
1-а Лиманна вулиця	1-ша Лиманна вулиця
1-а лінія	1-а лінія
1-а лінія вулиця	1-ша лінія вулиця
1-а Лінія вулиця	1-ша Лінія вулиця
