Бульварно-Кудрявская вулиця	Бульварно-Кудрявская вулиця
Великий Берег вулиця	вулиця Великий Берег
Великий Боуц вулиця	вулиця Великий Боуц
Великий вал вулиця	вулиця Великий Вал
Великий Кінець вулиця	вулиця Великий Кінець
Великий Кут вулиця	вулиця Великий Кут
Великий провулок	Великий провулок
Великий шлях вулиця	вулиця Великий Шлях
Великий Шлях вулиця	вулиця Великий Шлях
Великий Яр вулиця	вулиця Великий Яр
Верховінская вулиця	Верховінская вулиця
Вєсьологоровская вулиця	Вєсьологоровская вулиця
Високий Замок вулиця	вулиця Високий Замок
Високий провулок	Високий провулок
Високий Хутір вулиця	вулиця Високий Хутір
Вчительский провулок	Вчительский провулок
Гагаринский спуск	Гагаринский спуск
Гвардейский квартал	Гвардейский квартал
Генуэзский тупик	Генуэзский тупик
Гераклейский бульвар	Гераклейский бульвар
Гіркий провулок	Гіркий провулок
Гладкий провулок	Гладкий провулок
Глибокий Кінець вулиця	вулиця Глибокий Кінець
Глибокий провулок	Глибокий провулок
Глибокий Яр вулиця	вулиця Глибокий Яр
Глубокий провулок	Глубокий провулок
Голопристанская вулиця	Голопристанская вулиця
Далекий провулок	Далекий провулок
Далекий проїзд	Далекий проїзд
Днепровский спуск	Днепровский спуск
Дніпровская вулиця	Дніпровская вулиця
Єнакіевская вулиця	Єнакіевская вулиця
Жаркий провулок	Жаркий провулок
Железногорская вулиця	Железногорская вулиця
Запорожская вулиця	Запорожская вулиця
Знаменская вулиця	Знаменская вулиця
Исторический бульвар	Исторический бульвар
Карельский провулок	Карельский провулок
Кас’янівский провулок	Касʼянівский провулок
Каспийский тупик	Каспийский тупик
Каховская вулиця	Каховская вулиця
Каховский провулок	Каховский провулок
Качинский тупик	Качинский тупик
Киевский тупик	Киевский тупик
Кимовский тупик	Кимовский тупик
Колосніковская вулиця	Колосніковская вулиця
Комсомольская вулиця	Комсомольская вулиця
Комсомольский провулок	Комсомольский провулок
Короткий перевулок	Короткий провулок
Короткий провулок	Короткий провулок
Короткий тупик	Короткий тупик
Красноводская вулиця	Красноводская вулиця
Краснооктябрьская вулиця	Краснооктябрьская вулиця
Крутенький провулок	Крутенький провулок
Ластовецкая вулиця	Ластовецкая вулиця
Лубенский провулок	Лубенский провулок
Луганский квартал	Луганский квартал
Марьинский тупик	Марьинский тупик
Матросский бульвар	Матросский бульвар
Мисхорский спуск	Мисхорский спуск
Митридатский тупик	Митридатский тупик
Миуссинская вулиця	Миуссинская вулиця
Морская вулиця	Морская вулиця
Московский проспект	Московский проспект
Нарвская вулиця	Нарвская вулиця
Нерсісянская вулиця	Нерсісянская вулиця
Нєжинская вулиця	Нєжинская вулиця
Никитский спуск	Никитский спуск
Ново-Московская вулиця	Ново-Московская вулиця
Октябрьская вулиця	Октябрьская вулиця
Октябрьский проспект	Октябрьский проспект
Ольховский квартал	Ольховский квартал
П’ятий українськиї провулок	5-й Український провулок
Парижский бульвар	Парижский бульвар
Первомайская вулиця	Первомайская вулиця
Петровский спуск	Петровский спуск
Пєдагогічєская вулиця	Пєдагогічєская вулиця
Плоский провулок	Плоский провулок
Подільский провулок	Подільский провулок
Полтавский Шлях вулиця	вулиця Полтавский Шлях
Полтавький проспект	Полтавький проспект
Приднепровский спуск	Приднепровский спуск
Приморский бульвар	Приморский бульвар
Рибальский провулок	Рибальский провулок
Святіщенская вулиця	Святіщенская вулиця
Сентябрьская вулиця	Сентябрьская вулиця
Синопский спуск	Синопский спуск
Слобжанский провулок	Слобжанский провулок
Советская площа	Советская площа
Солодкий провулок	Солодкий провулок
Ставропольская вулиця	Ставропольская вулиця
Столетовский проспект	Столетовский проспект
Стрелецкий спуск	Стрелецкий спуск
Стрімкий провулок	Стрімкий провулок
Стрімкий проїзд	Стрімкий проїзд
Стрімкий узвіз	Стрімкий узвіз
Суворовский спуск	Суворовский спуск
Судилковская вулиця	Судилковская вулиця
Сумская вулиця	Сумская вулиця
Таврический тупик	Таврический тупик
Тиритакский спуск	Тиритакский спуск
Тонкий провулок	Тонкий провулок
Третій Сальский провулок	3-й Сальский провулок
Троицкая вулиця	Троицкая вулиця
Троицкий провулок	Троицкий провулок
Тульчіановская вулиця	Тульчіановская вулиця
Федоровский тупик	Федоровский тупик
Фельштинский провулок	Фельштинский провулок
Форосский спуск	Форосский спуск
Французский бульвар	Французский бульвар
Хабаровская вулиця	Хабаровская вулиця
Холмогоровская вулиця	Холмогоровская вулиця
Цхакая вулиця	Цхакая вулиця
Черноморский тупик	Черноморский тупик
Широкий берег вулиця	вулиця Широкий Берег
Широкий План вулиця	вулиця Широкий План
Широкий провулок	Широкий провулок
Широкий Степ вулиця	вулиця Широкий Степ
Январская вулиця	Январская вулиця
