Ардовецька вулиця	Ардовецька вулиця
Базавлуцька вулиця	Базавлуцька вулиця
Базавлуцький провулок	Базавлуцький провулок
Байрацька вулиця	Байрацька вулиця
Байрацький провулок	Байрацький провулок
Барановіцький провулок	Барановіцький провулок
Бахмацька вулиця	Бахмацька вулиця
Бахмацький провулок	Бахмацький провулок
Бежецька вулиця	Бежецька вулиця
Безвірницька вулиця	Безвірницька вулиця
Бервицька вулиця	Бервицька вулиця
Бережницька вулиця	Бережницька вулиця
Березницька вулиця	Березницька вулиця
Березовицька вулиця	Березовицька вулиця
Берестецька вулиця	Берестецька вулиця
Берецька вулиця	Берецька вулиця
Берковецька вулиця	Берковецька вулиця
Бистрицька вулиця	Бистрицька вулиця
Битицька вулиця	Битицька вулиця
Битицький провулок	Битицький провулок
Білецька вулиця	Білецька вулиця
Білецький провулок	Білецький провулок
Білицька вулиця	Білицька вулиця
Білицький провулок	Білицький провулок
Білорецька вулиця	Білорецька вулиця
Білостоцька вулиця	Білостоцька вулиця
Білостоцький в’їзд	Білостоцький вʼїзд
Білостоцький провулок	Білостоцький провулок
Більшовицька вулиця	Більшовицька вулиця
Більшовицький провулок	Більшовицький провулок
Бісковицька вулиця	Бісковицька вулиця
Бобринецька вулиця	Бобринецька вулиця
Бобринецький провулок	Бобринецький провулок
Бобринецький тупик	Бобринецький тупик
Бобрицька вулиця	Бобрицька вулиця
Бобрицький провулок	Бобрицький провулок
Бобровицька вулиця	Бобровицька вулиця
Бобровицький провулок	Бобровицький провулок
Богородицька вулиця	Богородицька вулиця
Бориницька вулиця	Бориницька вулиця
Боровицька вулиця	Боровицька вулиця
Бортницька вулиця	Бортницька вулиця
Бортницький провулок	Бортницький провулок
Боцька вулиця	вулиця Боцька
Боцька провулок	провулок Боцька
Бродницька вулиця	Бродницька вулиця
Брусницька вулиця	Брусницька вулиця
Брюховицька вулиця	Брюховицька вулиця
Буда-Варовицька вулиця	Буда-Варовицька вулиця
Будацька вулиця	Будацька вулиця
Буденецька вулиця	Буденецька вулиця
Буджацька вулиця	Буджацька вулиця
Буджацький провулок	Буджацький провулок
Будницька вулиця	Будницька вулиця
Буньковицька вулиця	Буньковицька вулиця
Бурлацька вулиця	Бурлацька вулиця
Бурлацький провулок	Бурлацький провулок
Бурсацький узвіз	Бурсацький узвіз
Бурщицька вулиця	Бурщицька вулиця
Бучацька вулиця	Бучацька вулиця
Варовицька вулиця	Варовицька вулиця
Василицька вулиця	Василицька вулиця
Велико-Бурлуцька вулиця	Велико-Бурлуцька вулиця
Великолуцька вулиця	Великолуцька вулиця
Венецька вулиця	Венецька вулиця
Вербницька вулиця	Вербницька вулиця
Верхньо-Крем’янецька вулиця	Верхньо-Кремʼянецька вулиця
Верхньо-Наддонецька вулиця	Верхньо-Наддонецька вулиця
Вершницька вулиця	Вершницька вулиця
Видрівецький узвіз	Видрівецький узвіз
Видубицька вулиця	Видубицька вулиця
Вижницька вулиця	Вижницька вулиця
Винахідницька вулиця	Винахідницька вулиця
Витвицька вулиця	Витвицька вулиця
Вишненімецький провулок	Вишненімецький провулок
Вільнокозацька вулиця	Вільнокозацька вулиця
Вільховецька вулиця	Вільховецька вулиця
Вільшанецька вулиця	Вільшанецька вулиця
Вінницька вулиця	Вінницька вулиця
Вінницький провулок	Вінницький провулок
Вітовецька вулиця	Вітовецька вулиця
Вітовецький провулок	Вітовецький провулок
Вовковинецька вулиця	Вовковинецька вулиця
Вовчинецька вулиця	Вовчинецька вулиця
Волицька вулиця	Волицька вулиця
Волицький провулок	Волицький провулок
Воловецька вулиця	Воловецька вулиця
Володимирецька вулиця	Володимирецька вулиця
Воскобійницька вулиця	Воскобійницька вулиця
Воскобійницький провулок	Воскобійницький провулок
Воскресінецька вулиця	Воскресінецька вулиця
Вуглярецька вулиця	Вуглярецька вулиця
Вул. Градоначальницька	Градоначальницька вулиця
Вулецька вулиця	вулиця Вулецька
вулиця Боцька	вулиця Боцька
вулиця Дубковецька	Дубковецькавулиця
вулиця Клішковецька	Клішковецькавулиця
вулиця Козацька	Козацькавулиця
вулиця Новоселицька	Новоселицька вулиця
вулиця Придонецька	Придонецька вулиця
вулиця Солонецька	Солонецька вулиця
вулиця Шировецька	Шировецька вулиця
Вынницька вулиця	Вынницька вулиця
Вiнницький провулок	Вінницький провулок
Гадяцька вулиця	Гадяцька вулиця
Галицька вулиця	Галицька вулиця
Галицька площа	Галицька площа
Галицький майдан	Галицький майдан
Галицький міст	Галицький міст
Галицький провулок	Галицький провулок
Галицький проїзд	Галицький проїзд
Галицький шлях	Галицький шлях
Геленджицька вулиця	Геленджицька вулиця
Гірницька вулиця	Гірницька вулиця
Гірницький мікрорайон	Гірницький мікрорайон
Гірницький провулок	Гірницький провулок
Гірняцька вулиця	Гірняцька вулиця
Гірняцький мікрорайон	Гірняцький мікрорайон
Гірняцький провулок	Гірняцький провулок
Глещавецька вулиця	Глещавецька вулиця
Глибоко-Туницька вулиця	Глибоко-Туницька вулиця
Глибоцька вулиця	Глибоцька вулиця
Глибоцький провулок	Глибоцький провулок
Глибочицька вулиця	Глибочицька вулиця
Глибочицький проїзд	Глибочицький проїзд
Глиницька вулиця	Глиницька вулиця
Глиницький завулок	Глиницький завулок
Глинницька вулиця	Глинницька вулиця
Глубочицька вулиця	Глубочицька вулиця
