1 Грудня вулиця	вулиця 1 Грудня
1 Квітня вулиця	вулиця 1 Квітня
1 Листопада вулиця	вулиця 1 Листопада
1 Мая вулиця	вулиця 1 Травня
1 Мая провулок	провулок 1 Травня
1 Травня в'їзд	вʼїзд 1 Травня
1 Травня в’їзд	вʼїзд 1 Травня
1 Травня вулиця	вулиця 1 Травня
1 Травня провулок	провулок 1 Травня
1-го Грудня вулиця	вулиця 1 Грудня
1-го Грудня провулок	провулок 1 Грудня
1-го Листопада Бічна вулиця	Бічна вулиця 1 Листопада
1-го Листопада вулиця	вулиця 1 Листопада
1-го Січня провулок	провулок 1 Січня
1-го травня вулиця	вулиця 1 травня
1-го Травня вулиця	вулиця 1 Травня
1-го Травня площа	площа 1 Травня
1-го Травня провулок	провулок 1 Травня
1-го Травня проспект	проспект 1 Травня
1-го Травня тупик	тупик 1 Травня
1-й 1-го Травня провулок	1-й провулок 1 Травня
1-й 12-го Грудня провулок	1-й провулок 12 Грудня
1-й 23-го Вересня провулок	1-й провулок 23 Вересня
1-й 8 Травня провулок	1-й провулок 8 Травня
1-й 8-го Березня провулок	1-й провулок 8 Березня
1-й 9 Травня провулок	1-й провулок 9 Травня
1-Травня вулиця	вулиця 1 Травня
10 Квітня вулиця	вулиця 10 Квітня
10-го Квітня вулиця	вулиця 10 Квітня
10-го Квітня площа	площа 10 Квітня
10-го Липня вулиця	вулиця 10 Липня
10-го Лютого вулиця	вулиця 10 Лютого
10-річчя Жовтня вулиця	вулиця 10-річчя Жовтня
12 Грудня вулиця	вулиця 12 Грудня
12 Квітня провулок	провулок 12 Квітня
12-го Грудня вулиця	вулиця 12 Грудня
12-го Грудня провулок	провулок 12 Грудня
12-го Грудня проспект	проспект 12 Грудня
12-го Квітня вулиця	вулиця 12 Квітня
13 Років Жовтня вулиця	вулиця 13 років Жовтня
13-го Липня вулиця	вулиця 13 Липня
14-го Вересня вулиця	вулиця 14 Вересня
14-го Грудня вулиця	вулиця 14 Грудня
14-го Жовтня вулиця	вулиця 14 Жовтня
15 Квітня вулиця	вулиця 15 Квітня
16 Березня вулиця	вулиця 16 Березня
16 Вересня вулиця	вулиця 16 Вересня
16 Липня вулиця	вулиця 16 Липня
16-го Березня вулиця	вулиця 16 Березня
16-го Вересня вулиця	вулиця 16 Вересня
16-го Липня вулиця	вулиця 16 Липня
17 Березня вулиця	вулиця 17 Березня
17 вересня вулиця	вулиця 17 вересня
17 Вересня вулиця	вулиця 17 Вересня
17-вересня вулиця	вулиця 17 вересня
17-го Березня вулиця	вулиця 17 Березня
17-го Вересня вулиця	вулиця 17 Вересня
17-го Вересня провулок	провулок 17 Вересня
17-ого вересня вулиця	вулиця 17 Вересня
17-річчя Жовтня вулиця	вулиця 17-річчя Жовтня
