1-а Матросова вулиця	1-ша Матросова вулиця
1-а Менделєєва вулиця	1-ша Менделєєва вулиця
1-а Ползунова вулиця	1-ша Ползунова вулиця
1-ая Пирогова вулиця	1-ша Пирогова вулиця
1-ий Захарченка провулок	1-ий Захарченка провулок
1-ий Мазепи провулок	1-ий Мазепи провулок
1-й Айвазовського провулок	1-й Айвазовського провулок
1-й Амундсена провулок	1-й Амундсена провулок
1-й Байрона в’їзд	1-й Байрона вʼїзд
1-й Бестужева провулок	1-й Бестужева провулок
1-й Блюхера провулок	1-й Блюхера провулок
1-й Бойка провулок	1-й Бойка провулок
1-й Будьонного провулок	1-й Будьонного провулок
1-й Ватутіна провулок	1-й Ватутіна провулок
1-й Вишневського провулок	1-й Вишневського провулок
1-й Воровського провулок	1-й Воровського провулок
1-й Ворошилова провулок	1-й Ворошилова провулок
1-й Гагаріна провулок	1-й Гагаріна провулок
1-й Гайдара вулиця	1-й Гайдара вулиця
1-й Гайдара провулок	1-й Гайдара провулок
1-й Герцена провулок	1-й Герцена провулок
1-й Глазунова провулок	1-й Глазунова провулок
1-й Глінки провулок	1-й Глінки провулок
1-й Гоголя провулок	1-й Гоголя провулок
1-й Горького провулок	1-й Горького провулок
1-й Грибоєдова провулок	1-й Грибоєдова провулок
1-й Громова провулок	1-й Громова провулок
1-й Грушевського провулок	1-й Грушевського провулок
1-й Дзержинського провулок	1-й Дзержинського провулок
1-й Димитрова провулок	1-й Димитрова провулок
1-й Добролюбова провулок	1-й Добролюбова провулок
1-й Довженка провулок	1-й Довженка провулок
1-й Докучаєва проїзд	1-й Докучаєва проїзд
1-й Достоєвського в’їзд	1-й Достоєвського вʼїзд
1-й Дубініна провулок	1-й Дубініна провулок
1-й Дудіна провулок	1-й Дудіна провулок
1-й Дунаєвського провулок	1-й Дунаєвського провулок
1-й Дундича провулок	1-й Дундича провулок
1-й Жукова провулок	1-й Жукова провулок
1-й Задніпровського провулок	1-й Задніпровського провулок
1-й Затонського провулок	1-й Затонського провулок
1-й Зелінського провулок	1-й Зелінського провулок
1-й І.Франка провулок	1-й І.Франка провулок
1-й Іванова провулок	1-й Іванова провулок
1-й Калініна провулок	1-й Калініна провулок
