1 лінія Сави Освященного вулиця	1-ша лінія Сави Освяченого
1-а А Озерна вулиця	1-ша Озерна вулиця А
1-а ст. Люстдорфської дороги	1-ша станція Люстдорфської дороги
1-ий К. Цеткін провулок	1-й провулок К. Цеткін
1-ї Гвардійської Армії вулиця	вулиця 1-ї Гвардійської Армії
1-ї Кінної Армії вулиця	вулиця 1-ї Кінної Армії
10 років Жовтню вулиця	вулиця 10 років Жовтню
10 років Жовтню провулок	провулок 10 років Жовтню
10 років Жовтню проїзд	проїзд 10 років Жовтню
10-ї Гвардійської Дивізії вулиця	вулиця 10-ї Гвардійської Дивізії
10-р Незалежності України вулиця	вулиця 10-річчя Незалежності України
10-річчя Конституції України вулиця	вулиця 10-річчя Конституції України
100 років Нафтовиків вулиця	вулиця 100 років Нафтовиків
100-річчя Червоного Хреста вулиця	вулиця 100-річчя Червоного Хреста
107-ї Кременецької Дивізії вулиця	вулиця 107-ї Кременецької Дивізії
108-ї Гвардійської Дивізії вулиця	вулиця 108-ї Гвардійської Дивізії
11-а станція Люстдорфської дороги	11-та станція Люстдорфської дороги
11-я станция Люстдорфской дороги	11-та станція Люстдорфської дороги
116-ї Стрілкової Дивізії вулиця	вулиця 116-ї Стрілкової Дивізії
118 Полеглих Революціонерів вулиця	вулиця 118-ти Полеглих Революціонерів
12 Невідомих Героїв вулиця	вулиця 12-ти Невідомих Героїв
12-а ст. Фонтанської дороги	12-та станція Фонтанської дороги
12-ї Гвардійської Дивізії вулиця	вулиця 12-ї Гвардійської Дивізії
121-ї Стрілецької Дивізії вулиця	вулиця 121-ї Стрілецької Дивізії
13-а ст. Фонтанської дороги	13-та станція Фонтанської дороги
13-го З’їзду ВЛКСМ вулиця	вулиця XIII Зʼїзду ВЛКСМ
130-ї Стрілкової Дівізії вулиця	вулиця 130-ї Стрілкової Дивізії
130-ї Таганрогзької дивізії проспект	проспект 130-ї Таганрогзької Дивізії
130-ї Таганрозької дивізії вулиця	вулиця 130-ї Таганрозької Дивізії
14 Гвардійської дивізії вулиця	вулиця 14-ї Гвардійської Дивізії
14 Героїв соцпраці вулиця	вулиця 14-ти Героїв Соцпраці
14-ї гвардійської дивізії вулиця	вулиця 14-ї Гвардійської Дивізії
15-ї Стрілецької Дивізії вулиця	вулиця 15-ї Стрілецької Дивізії
150 років Курорту вулиця	вулиця 150 років Курорту
151-ї Стрілецької Дивізії вулиця	вулиця 151-ї Стрілецької Дивізії
152 Стрілецької дивізії вулиця	вулиця 152-ї Стрілецької Дивізії
152-ї Стрілецької дивізії вулиця	вулиця 152-ї Стрілецької Дивізії
17-го Партійного З'їзду вулиця	вулиця XVII Партійного Зʼїзду
18 Козацької Сотні вулиця	вулиця 18-ї Козацької Сотні
195 Стрілецької Дивізії вулиця	вулиця 195-ї Стрілецької Дивізії
195-ї Стрілецької Дивізії вулиця	вулиця 195-ї Стрілецької Дивізії
2 проезд 21 мюда	2-й проїзд 21-го МЮДу
2-а Архипа Тесленка вулиця	2-га вулиця Архипа Тесленка
2-а Лесі Українки вулиця	2-га вулиця Лесі Українки
2-а лінія вулиці Громова	2-га лінія вулиці Громова
2-го Українського Фронту вулиця	вулиця 2-го Українського Фронту
2-ої Гвардійської Армії вулиця	вулиця 2-ої Гвардійської Армії
20 Гвардійської дивізії вулиця	вулиця 20-ї Гвардійської Дивізії
20 років Жовтню вулиця	вулиця 20 років Жовтню
20 років Жовтню провулок	провулок 20 років Жовтню
20 років Міліції вулиця	вулиця 20 років Міліції
20 років Незалежності вулиця	вулиця 20 років Незалежності
20 років Перемоги провулок	провулок 20 років Перемоги
20-го з'їзду ВЛКСМ вулиця	вулиця XX Зʼїзду ВЛКСМ
20-го З'їзду КПРС вулиця	вулиця XX Зʼїзду КПРС
20-го З’їзду Партії вулиця	вулиця XX Зʼїзду Партії
200 річчя Херсона вулиця	вулиця 200 річчя Херсона
200 років Станіславу вулиця	вулиця 200 років Станіславу
200-річчя Голої Пристані вулиця	вулиця 200-річчя Голої Пристані
200-річчя Кривого Рога проспект	проспект 200-річчя Кривого Рога
200-річчя Кривого Рогу проспект	проспект 200-річчя Кривого Рогу
2000-ліття Різдва Христового вулиця	вулиця 2000-ліття Різдва Христового
2000-річчя Різдва Христового вулиця	вулиця 2000-річчя Різдва Христового
203-ї Стрілецької Дивізії вулиця	вулиця 203-ї Стрілецької Дивізії
