---Захисників України провулок	провулок Захисників України
Авіабудівників вулиця	Авіабудівників вулиця
Авіабудівників провулок	Авіабудівників провулок
Автоагрегатчиків вулиця	Автоагрегатчиків вулиця
Автобудівельників проїзд	Автобудівельників проїзд
Авторемонтників вулиця	Авторемонтників вулиця
Автотранспортників вулиця	Автотранспортників вулиця
Академіків Линників вулиця	Академіків Линників вулиця
Алея пам’яті полеглих захисників України	Алея памʼяті полеглих захисників України
Атомників вулиця	Атомників вулиця
Більшовиків вулиця	Більшовиків вулиця
Бобровників вулиця	Бобровників вулиця
Братів Василиків вулиця	Братів Василиків вулиця
Братів Лисиків вулиця	Братів Лисиків вулиця
Братів Мельників вулиця	Братів Мельників вулиця
Братів Сварників вулиця	Братів Сварників вулиця
Братів Стадників вулиця	Братів Стадників вулиця
Братів Тютюнників вулиця	Братів Тютюнників вулиця
Будівельників бульвар	Будівельників бульвар
Будівельників в'їзд	Будівельників вʼїзд
Будівельників вулиця	Будівельників вулиця
Будівельників квартал	Будівельників квартал
Будівельників мікрорайон	Будівельників мікрорайон
Будівельників провулок	Будівельників провулок
Будівельників проспект	Будівельників проспект
Будівельників шосе	Будівельників шосе
Будівників вулиця	Будівників вулиця
Будіівельників вулиця	Будівельників вулиця
Будывельників вулиця	Будывельників вулиця
Будiвельникiв вулиця	Будівельників вулиця
Буревісників вулиця	Буревісників вулиця
Буревісників провулок	Буревісників провулок
Буровиків вулиця	Буровиків вулиця
Верстатників провулок	Верстатників провулок
Верстатобудівників вулиця	Верстатобудівників вулиця
Верстатобудівників провулок	Верстатобудівників провулок
Винахідників Бикових провулок	Винахідників Бикових провулок
Винахідників вулиця	Винахідників вулиця
Винахідників провулок	Винахідників провулок
Військових будівельників вулиця	Військових будівельників вулиця
Військових Залізничників вулиця	Військових Залізничників вулиця
Водників вулиця	Водників вулиця
Водників провулок	Водників провулок
Водоочисників вулиця	Водоочисників вулиця
Вугільників вулиця	Вугільників вулиця
Вуглерозвідників вулиця	Вуглерозвідників вулиця
Газовиків вулиця	Газовиків вулиця
