Аблимитский мост	Аблимитский мост
Адмиральский бульвар	Адмиральский бульвар
Английский бульвар	Английский бульвар
Аполлоновский тоннель	Аполлоновский тоннель
Апрєльская вулиця	Апрєльская вулиця
Аптекарская балка вулиця	Аптекарская балка вулиця
Аральская вулиця	Аральская вулиця
Астрономический перелок	Астрономический перелок
Бакинский тупик	Бакинский тупик
Бахмутская вулиця	Бахмутская вулиця
Бєсємєровская вулиця	Бєсємєровская вулиця
Биюк-Янкойская дорога	Биюк-Янкойская дорога
Бойкий провулок	Бойкий провулок
Бойкинский Кулуар	Бойкинский Кулуар
Большая Митридатская лестница	Большая Митридатская лестница
Братская вулиця	Братская вулиця
Будишевская вулиця	Будишевская вулиця
Бульварно-Кудрявская вулиця	Бульварно-Кудрявская вулиця
Великий Берег вулиця	Великий Берег вулиця
Великий Боуц вулиця	Великий Боуц вулиця
Великий вал вулиця	Великий вал вулиця
Великий вивіз	Великий вивіз
Великий Кінець вулиця	Великий Кінець вулиця
Великий Кут вулиця	Великий Кут вулиця
Великий провулок	Великий провулок
Великий шлях вулиця	Великий шлях вулиця
Великий Шлях вулиця	Великий Шлях вулиця
Великий Яр вулиця	Великий Яр вулиця
Верховінская вулиця	Верховінская вулиця
Веселовская бухта	Веселовская бухта
Вєсьологоровская вулиця	Вєсьологоровская вулиця
Високий Замок вулиця	Високий Замок вулиця
Високий провулок	Високий провулок
Високий Хутір вулиця	Високий Хутір вулиця
Вчительский провулок	Вчительский провулок
Гагаринский спуск	Гагаринский спуск
Гвардейский квартал	Гвардейский квартал
Генуэзский тупик	Генуэзский тупик
Гераклейский бульвар	Гераклейский бульвар
Гіркий провулок	Гіркий провулок
Гладкий провулок	Гладкий провулок
Глибокий Кінець вулиця	Глибокий Кінець вулиця
Глибокий провулок	Глибокий провулок
Глибокий Яр вулиця	Глибокий Яр вулиця
Глубокий провулок	Глубокий провулок
Голландский трап	Голландский трап
Голопристанская вулиця	Голопристанская вулиця
Горняцкий микрорайон	Горняцкий микрорайон
Горняцкий мкрн	Горняцкий мкрн
Графская пристань	Графская пристань
Далекий провулок	Далекий провулок
Далекий проїзд	Далекий проїзд
Детский картинг	Детский картинг
Днепровский спуск	Днепровский спуск
Дніпровская вулиця	Дніпровская вулиця
Еникальская дорога	Еникальская дорога
Єнакіевская вулиця	Єнакіевская вулиця
Жаркий провулок	Жаркий провулок
Железногорская вулиця	Железногорская вулиця
Запорожская вулиця	Запорожская вулиця
Звенигородская (Бойко)	Звенигородская (Бойко)
Знаменская вулиця	Знаменская вулиця
Зозуляцкая петля	Зозуляцкая петля
Исторический бульвар	Исторический бульвар
Карельский провулок	Карельский провулок
Кас’янівский провулок	Касʼянівский провулок
Каспийский тупик	Каспийский тупик
Каховская вулиця	Каховская вулиця
Каховский провулок	Каховский провулок
Качинский тупик	Качинский тупик
Киевский тупик	Киевский тупик
Кимовский тупик	Кимовский тупик
Колосніковская вулиця	Колосніковская вулиця
Комсомольская вулиця	Комсомольская вулиця
Комсомольский провулок	Комсомольский провулок
Константиновская лестница	Константиновская лестница
Короткий перевулок	Короткий перевулок
Короткий провулок	Короткий провулок
Короткий тупик	Короткий тупик
Красноводская вулиця	Красноводская вулиця
Краснооктябрьская вулиця	Краснооктябрьская вулиця
Крошенский массив	Крошенский массив
Крутенький провулок	Крутенький провулок
Ластовецкая вулиця	Ластовецкая вулиця
Лубенский провулок	Лубенский провулок
Луганский квартал	Луганский квартал
Люстдорская дорога	Люстдорская дорога
Люстдорфская дорога	Люстдорфская дорога
Майданский шлях	Майданский шлях
Манштейновская дорога	Манштейновская дорога
мартеновский массив	мартеновский массив
Марьинский тупик	Марьинский тупик
Матросский бульвар	Матросский бульвар
Маякская дорога	Маякская дорога
Мисхорский спуск	Мисхорский спуск
Митридатский тупик	Митридатский тупик
Миуссинская вулиця	Миуссинская вулиця
Мордвиновская дорога	Мордвиновская дорога
Морская вулиця	Морская вулиця
Московский проспект	Московский проспект
Нарвская вулиця	Нарвская вулиця
Нерсісянская вулиця	Нерсісянская вулиця
Нєжинская вулиця	Нєжинская вулиця
Нижнегорская 	Нижнегорская 
Никитский спуск	Никитский спуск
Николаевская дорога	Николаевская дорога
Ново-Московская вулиця	Ново-Московская вулиця
Октябрьская вулиця	Октябрьская вулиця
Октябрьский массив	Октябрьский массив
Октябрьский проспект	Октябрьский проспект
Ольховский квартал	Ольховский квартал
Орловский мост	Орловский мост
П’ятий українськиї провулок	5-й Український провулок
Парижский бульв.	Парижский бульв.
Парижский бульвар	Парижский бульвар
Первомайская вулиця	Первомайская вулиця
Петровская балка	Петровская балка
Петровский спуск	Петровский спуск
Пєдагогічєская вулиця	Пєдагогічєская вулиця
Плоский провулок	Плоский провулок
Подільский провулок	Подільский провулок
Полтава – Великий Тростянець	Полтава – Великий Тростянець
Полтавский Шлях вулиця	Полтавский Шлях вулиця
Полтавький проспект	Полтавький проспект
Полудикая (надо чистить)	Полудикая (надо чистить)
Поповская дорога	Поповская дорога
Президентская дорога	Президентская дорога
Приднепровский спуск	Приднепровский спуск
Приморский бульвар	Приморский бульвар
Приморский парк	Приморский парк
Путейский пер.	Путейский пер.
Пушкинская аллея	Пушкинская аллея
Рибальский провулок	Рибальский провулок
Римская дорога	Римская дорога
Романовская дорога	Романовская дорога
С Великий Скнит	С Великий Скнит
Святіщенская вулиця	Святіщенская вулиця
Сентябрьская вулиця	Сентябрьская вулиця
Синопский спуск	Синопский спуск
Скельская пещера	Скельская пещера
Слобжанский провулок	Слобжанский провулок
Слобожанская (Ленина)	Слобожанская (Ленина)
Советская (Гірнична)	Советская (Гірнична)
Советская балка	Советская балка
Советская площа	Советская площа
Солодкий провулок	Солодкий провулок
Ставропольская вулиця	Ставропольская вулиця
Столетовский проспект	Столетовский проспект
Стрелецкий спуск	Стрелецкий спуск
Стрімкий провулок	Стрімкий провулок
Стрімкий проїзд	Стрімкий проїзд
Стрімкий узвіз	Стрімкий узвіз
Суворовский спуск	Суворовский спуск
Судилковская вулиця	Судилковская вулиця
Сумская вулиця	Сумская вулиця
Таврическая лестница	Таврическая лестница
Таврический тупик	Таврический тупик
Тельмановский РЭС	Тельмановский РЭС
территория Севастопольская зона ЮБК	территория Севастопольская зона ЮБК
технический спуск к ставку	технический спуск к ставку
Технический съезд	Технический съезд
Тиритакский спуск	Тиритакский спуск
Тонкий провулок	Тонкий провулок
Третій Сальский провулок	Третій Сальский провулок
Троицкая / Телмана	Троицкая / Телмана
Троицкая вулиця	Троицкая вулиця
Троицкий провулок	Троицкий провулок
Трояновская дорога	Трояновская дорога
Тульчіановская вулиця	Тульчіановская вулиця
Федоровский тупик	Федоровский тупик
Фельштинский провулок	Фельштинский провулок
Финский дом	Финский дом
Форосский спуск	Форосский спуск
Французская дорога	Французская дорога
Французский бульвар	Французский бульвар
Хабаровская вулиця	Хабаровская вулиця
Херсонесский маяк	Херсонесский маяк
Херсонская область	Херсонская область
хлипкий переход	хлипкий переход
Холмогоровская вулиця	Холмогоровская вулиця
Цхакая вулиця	Цхакая вулиця
Черноморская дорога	Черноморская дорога
Черноморский тупик	Черноморский тупик
Чкаловский пляж	Чкаловский пляж
Широкий берег вулиця	Широкий берег вулиця
Широкий План вулиця	Широкий План вулиця
Широкий провулок	Широкий провулок
Широкий Степ вулиця	Широкий Степ вулиця
Ялтинская объездная	Ялтинская объездная
Январская вулиця	Январская вулиця
