Автовокзальний провулок	Автовокзальний провулок
Автомобільна вулиця	Автомобільна вулиця
Агробудівельна вулиця	Агробудівельна вулиця
Акварельна вулиця	Акварельна вулиця
Артельна вулиця	Артельна вулиця
Артільна вулиця	Артільна вулиця
Артільний провулок	Артільний провулок
Баскетбольна вулиця	Баскетбольна вулиця
Батальна вулиця	Батальна вулиця
Бічна Джерельна вулиця	Бічна Джерельна вулиця
Бічна Індустріальна вулиця	Бічна Індустріальна вулиця
Бічна Кібельна вулиця	Бічна Кібельна вулиця
Бічна шкільна вулиця	Бічна шкільна вулиця
Бічна Шкільна вулиця	Бічна Шкільна вулиця
Будвільний провулок	Будвільний провулок
Будівельна Бічна вулиця	Будівельна Бічна вулиця
Будівельна вулиця	Будівельна вулиця
Будівельний бульвар	Будівельний бульвар
Будівельний в’їзд	Будівельний вʼїзд
Будівельний провулок	Будівельний провулок
Будівельний проїзд	Будівельний проїзд
Будівельний тупик	Будівельний тупик
Буровугільна вулиця	Буровугільна вулиця
Велика Магістральна вулиця	Велика Магістральна вулиця
Вертикальна вулиця	Вертикальна вулиця
Верхнепродольная вулиця	Верхнепродольная вулиця
Верхньовокзальна вулиця	Верхньовокзальна вулиця
Верхньоторгівельна вулиця	Верхньоторгівельна вулиця
Верхня Вокзальна вулиця	Верхня Вокзальна вулиця
Верхня Шкільна вулиця	Верхня Шкільна вулиця
Весільна вулиця	Весільна вулиця
Визвольна вулиця	Визвольна вулиця
Визвольний провулок	Визвольний провулок
Вирішальна вулиця	Вирішальна вулиця
Вільна вулиця	Вільна вулиця
Вільна Україна вулиця	Вільна Україна вулиця
Вільний в'їзд	Вільний вʼїзд
Вільний Гай вулиця	Вільний Гай вулиця
Вільний Лужок вулиця	Вільний Лужок вулиця
Вільний провулок	Вільний провулок
Вільний проїзд	Вільний проїзд
Вітрильна вулиця	Вітрильна вулиця
Водолікувальна вулиця	Водолікувальна вулиця
Возкальна вулиця	Возкальна вулиця
Вокзальна вулиця	Вокзальна вулиця
Вокзальна площа	Вокзальна площа
Вокзальний провулок	Вокзальний провулок
Вокзальний спуск	Вокзальний спуск
Волейбольна вулиця	Волейбольна вулиця
Вольний провулок	Вольний провулок
Вугільна вулиця	Вугільна вулиця
Вугільний провулок	Вугільний провулок
Вуглебудівельна вулиця	Вуглебудівельна вулиця
вулиця Джерельна	вулиця Джерельна
вулиця Комунальна	вулиця Комунальна
вулиця Надпільна	вулиця Надпільна
вулиця Центральна	вулиця Центральна
вулиця Шкільна	вулиця Шкільна
Вулиця Шкільна	Вулиця Шкільна
Гвоздильна вулиця	Гвоздильна вулиця
Геологорозвідувальний провулок	Геологорозвідувальний провулок
Гірничорятувальна вулиця	Гірничорятувальна вулиця
Гірничорятувальний провулок	Гірничорятувальний провулок
Горноспасательна вулиця	Горноспасательна вулиця
Госпітальна вулиця	Госпітальна вулиця
Госпітальний провулок	Госпітальний провулок
Готельна вулиця	Готельна вулиця
Готельний провулок	Готельний провулок
Гребельна вулиця	Гребельна вулиця
Гребельний провулок	Гребельний провулок
Джерельна вулиця	Джерельна вулиця
Джерельная вулиця	Джерельная вулиця
Джерельний в’їзд	Джерельний вʼїзд
Джерельний провулок	Джерельний провулок
Джерельний проїзд	Джерельний проїзд
Джерельний тупик	Джерельний тупик
Дзержинского (Магистральная)	Дзержинского (Магистральная)
Дзеркальна вулиця	Дзеркальна вулиця
Дизельна вулиця	Дизельна вулиця
Дирижабельна вулиця	Дирижабельна вулиця
Діагональна вулиця	Діагональна вулиця
Діагональний провулок	Діагональний провулок
Добровільна вулиця	Добровільна вулиця
Дозвільна вулиця	Дозвільна вулиця
Дольна вулиця	Дольна вулиця
Домбудівельна вулиця	Домбудівельна вулиця
Домобудівельна вулиця	Домобудівельна вулиця
Дробильна вулиця	Дробильна вулиця
Друга Вільна вулиця	Друга Вільна вулиця
Друга Привокзальна вулиця	Друга Привокзальна вулиця
Другий Цегельний провулок	Другий Цегельний провулок
Екологічно-пізнавальна стежка Лісова пісня	Екологічно-пізнавальна стежка Лісова пісня
Експерементальна вулиця	Експерементальна вулиця
Експериментальна вулиця	Експериментальна вулиця
Експериментальний провулок	Експериментальний провулок
Електроінструментальний провулок	Електроінструментальний провулок
Єпархіальна вулиця	Єпархіальна вулиця
Ждерельна вулиця	Ждерельна вулиця
Журнальна вулиця	Журнальна вулиця
З'єднувальна вулиця	Зʼєднувальна вулиця
Забайкальний провулок	Забайкальний провулок
Завальна вулиця	Завальна вулиця
Завокзальна вулиця	Завокзальна вулиця
Завокзальний провулок	Завокзальний провулок
Заготівельний провулок	Заготівельний провулок
Загребельна вулиця	Загребельна вулиця
Загребельний провулок	Загребельний провулок
Загрибельна вулиця	Загрибельна вулиця
Заперевальна вулиця	Заперевальна вулиця
Зашкільний провулок	Зашкільний провулок
Зашкольна вулиця	Зашкольна вулиця
Збагачувальна вулиця	Збагачувальна вулиця
