Адмірала Басистого вулиця	Адмірала Басистого вулиця
Адмірала Щасного вулиця	Адмірала Щасного вулиця
Академіка Белецького вулиця	Академіка Белецького вулиця
Андрузького вулиця	Андрузького вулиця
Архітектора Метельницького вулиця	Архітектора Метельницького вулиця
Багрицкого вулиця	Багрицкого вулиця
Безгребельного вулиця	Безгребельного вулиця
Бездворного вулиця	Бездворного вулиця
Бездільного вулиця	Бездільного вулиця
Безкаравайного вулиця	Безкаравайного вулиця
Безроднього вулиця	Безроднього вулиця
Безценного вулиця	Безценного вулиця
Белецького вулиця	Белецького вулиця
Бережницького вулиця	Бережницького вулиця
Березневого Повстання вулиця	Березневого Повстання вулиця
Блакитного вулиця	Блакитного вулиця
Блакитного провулок	Блакитного провулок
Борлуцького провулок	Борлуцького провулок
Боровіцького вулиця	Боровіцького вулиця
Броніцького вулиця	Броніцького вулиця
Брязького вулиця	Брязького вулиця
Будьоннного вулиця	Будьоннного вулиця
Будьоного вулиця	Будьоного вулиця
Будьоного провулок	Будьоного провулок
Бузького Козацтва вулиця	Бузького Козацтва вулиця
Бузького полку вулиця	Бузького полку вулиця
Бурлуцького вулиця	Бурлуцького вулиця
Бурлуцького провулок	Бурлуцького провулок
Бiлецького вулиця	Білецького вулиця
Василенького вулиця	Василенького вулиця
Великого Жовтня вулиця	Великого Жовтня вулиця
Вербовецького вулиця	Вербовецького вулиця
Вирового провулок	Вирового провулок
Висоцкого вулиця	Висоцкого вулиця
Вишиваного вулиця	Вишиваного вулиця
Вишневького вулиця	Вишневького вулиця
Вишнивецького вулиця	Вишнивецького вулиця
Вільного козацтва вулиця	Вільного козацтва вулиця
Вільного Козацтва вулиця	Вільного Козацтва вулиця
Вітряного вулиця	Вітряного вулиця
Віце-адмірала Синецького вулиця	Віце-адмірала Синецького вулиця
Вольного вулиця	Вольного вулиця
Воровского вулиця	Воровского вулиця
Воротного вулиця	Воротного вулиця
Восьмого Березня вулиця	Восьмого Березня вулиця
Восьмого Березня провулок	Восьмого Березня провулок
Восьмого з’їзду Рад вулиця	Восьмого зʼїзду Рад вулиця
Вугільного Путі вулиця	Вугільного Путі вулиця
Гадяцького Договору вулиця	Гадяцького Договору вулиця
Гаевого квартал	Гаевого квартал
Гаєвого вулиця	Гаєвого вулиця
Генерала Горішного вулиця	Генерала Горішного вулиця
Генерала Грушевого вулиця	Генерала Грушевого вулиця
Героїв Зимового Походу провулок	Героїв Зимового Походу провулок
Геруцького вулиця	Геруцького вулиця
Гижицького вулиця	Гижицького вулиця
Гнідого вулиця	Гнідого вулиця
Говорецького вулиця	Говорецького вулиця
Горішного вулиця	Горішного вулиця
Горовецького вулиця	Горовецького вулиця
Горовецького провулок	Горовецького провулок
Грабовсьеого вулиця	Грабовсьеого вулиця
Грушевского вулиця	Грушевского вулиця
Грязного провулок	Грязного провулок
Далекого вулиця	Далекого вулиця
Даргомизкого вулиця	Даргомизкого вулиця
Дачі Песецького вулиця	Дачі Песецького вулиця
Двадцять Другого Січня в’їзд	Двадцять Другого Січня вʼїзд
Двадцять Третього Серпня вулиця	Двадцять Третього Серпня вулиця
Двадцять Третього Серпня провулок	Двадцять Третього Серпня провулок
Дванадцятого Квітня вулиця	Дванадцятого Квітня вулиця
Дверницького вулиця	Дверницького вулиця
Двухбабного вулиця	Двухбабного вулиця
Дзержинcкого квартал	Дзержинского квартал
Добровольского вулиця	Добровольского вулиця
Доброго дуба вулиця	Доброго дуба вулиця
Доброго шляху вулиця	Доброго шляху вулиця
Добродецького вулиця	Добродецького вулиця
Добродецького перевулок	Добродецького перевулок
Дражевского вулиця	Дражевского вулиця
Дробоцького алея	Дробоцького алея
Дрогобицького Повстання вулиця	Дрогобицького Повстання вулиця
Дубецького вулиця	Дубецького вулиця
Дубинецького вулиця	Дубинецького вулиця
Дубовецького вулиця	Дубовецького вулиця
Дужого вулиця	Дужого вулиця
Еміліана Невицького вулиця	Еміліана Невицького вулиця
Желєзного в'їзд	Желєзного вʼїзд
Желєзного вулиця	Желєзного вулиця
Жжоного вулиця	Жжоного вулиця
Жирного вулиця	Жирного вулиця
Заборного вулиця	Заборного вулиця
Загайного вулиця	Загайного вулиця
Загуменного вулиця	Загуменного вулиця
Загуменного провулок	Загуменного провулок
Закоршм'яного вулиця	Закоршмʼяного вулиця
Заливчого вулиця	Заливчого вулиця
Заливчого провулок	Заливчого провулок
Залозецького вулиця	Залозецького вулиця
Залозецького провулок	Залозецького провулок
Залотоцького вулиця	Залотоцького вулиця
Заможного вулиця	Заможного вулиця
Заплішнього вулиця	Заплішнього вулиця
Запорізького Козацтва вулиця	Запорізького Козацтва вулиця
Запорізького Козацтва провулок	Запорізького Козацтва провулок
Зацного вулиця	Зацного вулиця
Зачорного вулиця	Зачорного вулиця
Зенітного Полку вулиця	Зенітного Полку вулиця
Зерваницького вулиця	Зерваницького вулиця
Злоцького вулиця	Злоцького вулиця
Інтернаціонального легіону вулиця	Інтернаціонального легіону вулиця
Камишного вулиця	Камишного вулиця
Карбівничого провулок	Карбівничого провулок
Карбулицького вулиця	Карбулицького вулиця
Карпенко-Карого вулиця	Карпенко-Карого вулиця
Кибального вулиця	Кибального вулиця
Княгиницького вулиця	Княгиницького вулиця
Ковшевацького вулиця	Ковшевацького вулиця
Кодацького вулиця	Кодацького вулиця
Комнацького вулиця	Комнацького вулиця
Коноплястого вулиця	Коноплястого вулиця
Корвацького проїзд	Корвацького проїзд
Коренецького вулиця	Коренецького вулиця
Котляревского вулиця	Котляревского вулиця
Котлярєвского вулиця	Котлярєвского вулиця
Котовского вулиця	Котовского вулиця
Котовсього вулиця	Котовсього вулиця
Кошевого вулиця	Кошевого вулиця
Красницького повіту вулиця	Красницького повіту вулиця
Красносельского проспект	Красносельского проспект
Кудрявицького вулиця	Кудрявицького вулиця
Кузенного вулиця	Кузенного вулиця
Курячого вулиця	Курячого вулиця
Кутвицького вулиця	Кутвицького вулиця
Лавицького вулиця	Лавицького вулиця
Ланецького вулиця	Ланецького вулиця
Лейтенанта Попружного вулиця	Лейтенанта Попружного вулиця
Ленинского комсомола	Ленинского комсомола
Ленинского Комсомола	Ленинского Комсомола
Ленинского комсомола квартал	Ленинского комсомола квартал
Леуцького вулиця	Леуцького вулиця
Леуцького тупік	Леуцького тупік
Листопадового Чину вулиця	Листопадового Чину вулиця
Лихого вулиця	Лихого вулиця
