Авіаторний провулок	Авіаторний провулок
Автотракторна вулиця	Автотракторна вулиця
Автотракторний в’їзд	Автотракторний вʼїзд
Автотракторний провулок	Автотракторний провулок
Акумуляторна вулиця	Акумуляторна вулиця
Амбулаторна вулиця	Амбулаторна вулиця
Амбулаторний провулок	Амбулаторний провулок
Аудиторна вулиця	Аудиторна вулиця
Бугорна вулиця	Бугорна вулиця
Бугорний провулок	Бугорний провулок
Виборна вулиця	Виборна вулиця
Виборний провулок	Виборний провулок
Водозаборна вулиця	Водозаборна вулиця
вулиця Соборна	вулиця Соборна
вулиця Соборна/площа Соборна	вулиця Соборна/площа Соборна
Генераторна вулиця	Генераторна вулиця
Горний провулок	Горний провулок
Екваторна вулиця	Екваторна вулиця
Екваторний провулок	Екваторний провулок
Екскаваторна вулиця	Екскаваторна вулиця
Елеваторна вулиця	Елеваторна вулиця
Елеваторний провулок	Елеваторний провулок
Ізоляторна вулиця	Ізоляторна вулиця
Інкубаторна вулиця	Інкубаторна вулиця
Інкубаторний провулок	Інкубаторний провулок
Кокорна вулиця	Кокорна вулиця
Колекторна вулиця	Колекторна вулиця
Колекторний провулок	Колекторний провулок
Компресорна вулиця	Компресорна вулиця
Компресорний провулок	Компресорний провулок
Конденсаторна вулиця	Конденсаторна вулиця
Конденсаторний провулок	Конденсаторний провулок
Корнакова провулок	Корнакова провулок
Крутогорна вулиця	Крутогорна вулиця
Крутогорний провулок	Крутогорний провулок
Купорна вулиця	Купорна вулиця
Купорний провулок	Купорний провулок
Лабораторна вулиця	Лабораторна вулиця
Лабораторний провулок	Лабораторний провулок
Майдан Соборний	Майдан Соборний
Мала Колекторна вулиця	Мала Колекторна вулиця
Медоборна вулиця	Медоборна вулиця
Медоборний провулок	Медоборний провулок
Моторна вулиця	Моторна вулиця
Моторний провулок	Моторний провулок
Мраморний провулок	Мраморний провулок
мусорная тропа	мусорная тропа
Нагорна вулиця	Нагорна вулиця
Нагорний провулок	Нагорний провулок
Напорна вулиця	Напорна вулиця
Нижньособорна вулиця	Нижньособорна вулиця
Ногорний в'їзд	Ногорний вʼїзд
Обзорний провулок	Обзорний провулок
Обсерваторна вулиця	Обсерваторна вулиця
Обсерваторний провулок	Обсерваторний провулок
Опорна вулиця	Опорна вулиця
Орна вулиця	Орна вулиця
Південносанаторний провулок	Південносанаторний провулок
Підборний провулок	Підборний провулок
Підгорна вулиця	Підгорна вулиця
Підгорний в'їзд	Підгорний вʼїзд
Підгорний провулок	Підгорний провулок
Пл. Соборная	Пл. Соборная
Площа Соборна	Площа Соборна
Подборна вулиця	Подборна вулиця
Подгорна вулиця	Подгорна вулиця
Помідорна вулиця	Помідорна вулиця
Правохоморна вулиця	Правохоморна вулиця
Прапорна вулиця	Прапорна вулиця
Прапорний провулок	Прапорний провулок
Прожекторна вулиця	Прожекторна вулиця
Прожекторний провулок	Прожекторний провулок
Просторна вулиця	Просторна вулиця
Радіаторна вулиця	Радіаторна вулиця
Радіаторний провулок	Радіаторний провулок
Регенераторна вулиця	Регенераторна вулиця
Роторна вулиця	Роторна вулиця
Сагаторна вулиця	Сагаторна вулиця
Світлофорна вулиця	Світлофорна вулиця
Світлофорний провулок	Світлофорний провулок
Сепараторний проїзд	Сепараторний проїзд
Соборна (Жовтнева) вулиця	Соборна (Жовтнева) вулиця
Соборна вулиця	Соборна вулиця
Соборна площа	Соборна площа
Соборна провулок	Соборна провулок
Соборна Україна вулиця	Соборна Україна вулиця
Соборний майдан	Соборний майдан
Соборний провулок	Соборний провулок
Соборний проспект	Соборний проспект
Соборний узвіз	Соборний узвіз
Старособорний узвіз	Старособорний узвіз
Таборний провулок	Таборний провулок
Тракторна вулиця	Тракторна вулиця
Тракторная улиця	Тракторная улиця
Тракторний в’їзд	Тракторний вʼїзд
Тракторний вʼїзд	Тракторний вʼїзд
Тракторний провулок	Тракторний провулок
Тракторний тупик	Тракторний тупик
Трансформаторна вулиця	Трансформаторна вулиця
Трансформаторний провулок	Трансформаторний провулок
Трансформаторний проїзд	Трансформаторний проїзд
Третій Соборний провулок	Третій Соборний провулок
Турбогенераторна вулиця	Турбогенераторна вулиця
Узорна вулиця	Узорна вулиця
Упорна вулиця	Упорна вулиця
Упорний провулок	Упорний провулок
Фосфорна вулиця	Фосфорна вулиця
Хуторна вулиця	Хуторна вулиця
Червонопрапорна вулиця	Червонопрапорна вулиця
Червонопрапорний провулок	Червонопрапорний провулок
Чорна вулиця	Чорна вулиця
Чорна дорога	Чорна дорога
Чорний Яр провулок	Чорний Яр провулок
Cоборна вулиця	Соборна вулиця
Coборна вулиця	Соборна вулиця
