\Незалежності вулиця	вулиця Незалежності
Бадьорості вулиця	Бадьорості вулиця
Вірності вулиця	Вірності вулиця
Гідності вулиця	Гідності вулиця
Державності вулиця	Державності вулиця
Єдності вулиця	Єдності вулиця
Єдності площа	Єдності площа
Єдності провулок	Єдності провулок
Єдності проспект	Єдності проспект
Єдностi вулиця	Єдності вулиця
Молодості вулиця	Молодості вулиця
Молодості провулок	Молодості провулок
Мудрості вулиця	Мудрості вулиця
Мужності вулиця	Мужності вулиця
Мужності провулок	Мужності провулок
Незалежності бульвар	Незалежності бульвар
Незалежності в’їзд	Незалежності вʼїзд
Незалежності вулиця	Незалежності вулиця
Незалежності вулиця 	Незалежності вулиця 
Незалежності майдан	Незалежності майдан
Незалежності площа	Незалежності площа
Незалежності провулок	Незалежності провулок
Незалежності проспект	Незалежності проспект
Незалежностi вулиця	Незалежності вулиця
Незележності провулок	Незележності провулок
Незламності вулиця	Незламності вулиця
Радості вулиця	Радості вулиця
Революції Гідності вулиця	Революції Гідності вулиця
Рівності вулиця	Рівності вулиця
Рівності провулок	Рівності провулок
Соборності вулиця	Соборності вулиця
Соборності вулиця (Колгоспна)	Соборності вулиця (Колгоспна)
Соборності площа	Соборності площа
Соборності провулок	Соборності провулок
Соборності проспект	Соборності проспект
Солідарності вулиця	Солідарності вулиця
Співдружності вулиця	Співдружності вулиця
Справедливості вулиця	Справедливості вулиця
Толерантності вулиця	Толерантності вулиця
Юності вулиця	Юності вулиця
Юності провулок	Юності провулок
Юності проїзд	Юності проїзд
Юності проспект	Юності проспект
Hезалежності вулиця	Незалежності вулиця
