Альпійска вулиця	Альпійська вулиця
Анадольска вулиця	Анадольска вулиця
Вчительска вулиця	Вчительска вулиця
Гвардійска вулиця	Гвардійска вулиця
Дільска вулиця	Дільска вулиця
І Комсомольска вулиця	І Комсомольска вулиця
Кагульска вулиця	Кагульска вулиця
Колоска вулиця	Колоска вулиця
Комсомольска вулиця	Комсомольска вулиця
Краснооктябрьска вулиця	Краснооктябрьска вулиця
Красноуральска вулиця	Красноуральска вулиця
Малошпаківска вулиця	Малошпаківска вулиця
Маріупольска вулиця	Маріупольска вулиця
Мелітопольска вулиця	Мелітопольска вулиця
Микільска вулиця	Микільска вулиця
Новоберезівска вулиця	Новоберезівска вулиця
Новооскольска вулиця	Новооскольска вулиця
Новосільска вулиця	Новосільска вулиця
Нямешаска вулиця	Нямешаска вулиця
Октябрьска вулиця	Октябрьска вулиця
Павлодарьска вулиця	Павлодарьска вулиця
Первомайска вулиця	Первомайска вулиця
Плоска вулиця	Плоска вулиця
Подільска вулиця	Подільська вулиця
Покільска вулиця	Покільска вулиця
Придніпровсьска вулиця	Придніпровська вулиця
Пулковска вулиця	Пулковска вулиця
Рибальска вулиця	Рибальска вулиця
Ровиска вулиця	Ровиска вулиця
Сентябрьска вулиця	Сентябрьска вулиця
Старосільска вулиця	Старосільська вулиця
Татарбунарьска вулиця	Татарбунарьска вулиця
Федуска вулиця	Федуска вулиця
Циска вулиця	Циска вулиця
Червоноармійска вулиця	Червоноармійска вулиця
Январьска вулиця	Январьска вулиця
