
Балківський I провулок	Балківський I провулок
Банський	Банський
Великий Данилівський провулок	Великий Данилівський провулок
Вербівський	Вербівський
Ворочовський підвісний міст	Ворочовський підвісний міст
Ворочовський пішохідний міст	Ворочовський пішохідний міст
Вул. Левітана - Іверський монастир	Вул. Левітана - Іверський монастир
вулиця Київський Шлях	вулиця Київський Шлях
Галиновільський фельдшерсько-акушерський пункт	Галиновільський фельдшерсько-акушерський пункт
Дорога до водоспаду Підгуркало та Ріпненський камінь	Дорога до водоспаду Підгуркало та Ріпненський камінь
Другий Володимирівський провулок	Другий Володимирівський провулок
Другий Проскурівський провулок	Другий Проскурівський провулок
Другий Чуднівський брід	Другий Чуднівський брід
Екостежка Брадульський заказник	Екостежка Брадульський заказник
житловий масив Крошенський	житловий масив Крошенський
Затокський розвідний міст	Затокський розвідний міст
Київ - Харків - Довжанський	Київ - Харків - Довжанський
Колишній Вишівський брід	Колишній Вишівський брід
Куликівський шлях провулок	Куликівський шлях провулок
Малий Гончарівський провулок	Малий Гончарівський провулок
Малинський дослідно-експериментальний ливарно-механічний завод	Малинський дослідно-експериментальний ливарно-механічний завод
Мар’ янівський провулок	Марʼ янівський провулок
Межирічський брід біля мосту	Межирічський брід біля мосту
На Березківський брід	На Березківський брід
На Джуринський водоспад	На Джуринський водоспад
На другий Чуднівський брід	На другий Чуднівський брід
На Кухарський брід	На Кухарський брід
На Лутівський брід	На Лутівський брід
На Ріпненський Камінь стежка	На Ріпненський Камінь стежка
На Чуднівський брід	На Чуднівський брід
Ніженський шлях провулок	Ніженський шлях провулок
Новий Ковельський провулок	Новий Ковельський провулок
Обухівський ключ мікрорайон	Обухівський ключ мікрорайон
Оноківський підвісний міст	Оноківський підвісний міст
Орільський	Орільський
П'ятий Проскурівський провулок	Пʼятий Проскурівський провулок
Панський Шлях (друга лінія)	Панський Шлях (друга лінія)
Панський Шлях (п'ята лінія)	Панський Шлях (пʼята лінія)
Панський Шлях (перша лінія)	Панський Шлях (перша лінія)
Панський Шлях (сьома лінія)	Панський Шлях (сьома лінія)
Панський Шлях (третя лінія)	Панський Шлях (третя лінія)
Панський Шлях (четверта лінія)	Панський Шлях (четверта лінія)
Панський Шлях (шоста лінія)	Панський Шлях (шоста лінія)
Перший Олімпійський провулок	Перший Олімпійський провулок
Перший Проскурівський провулок	Перший Проскурівський провулок
Пішохідно-велосипедний міст через Володимирський узвіз	Пішохідно-велосипедний міст через Володимирський узвіз
Подільський мостовий перехід	Подільський мостовий перехід
Подільський Узвіз провулок	Подільський Узвіз провулок
Покровський житловий масив	Покровський житловий масив
Полтавський шлях (Жовтнева вулиця)	Полтавський шлях (Жовтнева вулиця)
Посульський Узвіз провулок	Посульський Узвіз провулок
Пушкінський спуск провулок	Пушкінський спуск провулок
Рибальський вантовий міст	Рибальський вантовий міст
Рудківський фельдшерсько-акушерський пункт	Рудківський фельдшерсько-акушерський пункт
Спаський  провулок	Спаський  провулок
Старшинський (Шмідта) провулок	Старшинський (Шмідта) провулок
Тисянський тупик провулок	Тисянський тупик провулок
Третій Дніпровський провулок	Третій Дніпровський провулок
Третій Проскурівський провулок	Третій Проскурівський провулок
Третій Український провулок	Третій Український провулок
Цванський	Цванський
Четвертий Проскурівський провулок	Четвертий Проскурівський провулок
Шаповалiвський	Шаповалiвський
Шостий Проскурівський провулок	Шостий Проскурівський провулок
I-й Благовіщенський провулок	I-й Благовіщенський провулок
II-й Благовіщенський провулок	II-й Благовіщенський провулок
