Адмірала Лозівського вулиця	Адмірала Лозівського вулиця
Азовського козацтва вулиця	Азовського козацтва вулиця
Азовської воєнної флотилії вулиця	Азовської воєнної флотилії вулиця
Айвозовського вулиця	Айвозовського вулиця
Академіка Байраківського вулиця	Академіка Байраківського вулиця
Академіка Белелюбського вулиця	Академіка Белелюбського вулиця
Академіка Дністрянського вулиця	Академіка Дністрянського вулиця
Академіка Кисловського вулиця	Академіка Кисловського вулиця
Академіка Кононського вулиця	Академіка Кононського вулиця
Академіка Лавровського вулиця	Академіка Лавровського вулиця
Академіка Михайлевського вулиця	Академіка Михайлевського вулиця
Академіка Неговського вулиця	Академіка Неговського вулиця
Академіка Омелянського проїзд	Академіка Омелянського проїзд
Алея ім. Ленінського Комсомолу	Алея ім. Ленінського Комсомолу
Альвінського вулиця	Альвінського вулиця
Ананіївського Полку вулиця	Ананіївського Полку вулиця
Анджиєвського вулиця	Анджиєвського вулиця
Андреєвського вулиця	Андреєвського вулиця
Андрели Оросвиговського вулиця	Андрели Оросвиговського вулиця
Антіна Кущинського провулок	Антіна Кущинського провулок
Антокольського вулиця	Антокольського вулиця
Антокольського провулок	Антокольського провулок
Аренського вулиця	Аренського вулиця
Арженевського вулиця	Арженевського вулиця
Архітектора Лишневського вулиця	Архітектора Лишневського вулиця
Атамановського вулиця	Атамановського вулиця
Атамановського провулок	Атамановського провулок
Атаманського вулиця	Атаманського вулиця
Бабанського вулиця	Бабанського вулиця
Бабинського вулиця	Бабинського вулиця
Бажанського вулиця	Бажанського вулиця
Бакуринського вулиця	Бакуринського вулиця
Балавенського провулок	Балавенського провулок
Балудянського вулиця	Балудянського вулиця
Балудянського провулок	Балудянського провулок
Баратинського вулиця	Баратинського вулиця
Бахмутського вулиця	Бахмутського вулиця
Бахмутського Козацтва вулиця	Бахмутського Козацтва вулиця
Безименського провулок	Безименського провулок
Бельського вулиця	Бельського вулиця
Бельського проїзд	Бельського проїзд
Бернадського провулок	Бернадського провулок
Бєлелюбського вулиця	Бєлелюбського вулиця
Бичковського вулиця	Бичковського вулиця
Білль-Білоцерківського вулиця	Білль-Білоцерківського вулиця
Біловодського вулиця	Біловодського вулиця
Біловського вулиця	Біловського вулиця
Білозерського вулиця	Білозерського вулиця
Білопольського вулиця	Білопольського вулиця
Білошкурського вулиця	Білошкурського вулиця
Бобинського вулиця	Бобинського вулиця
Богінського провулок	Богінського провулок
Богучарського вулиця	Богучарського вулиця
Бодаревського провулок	Бодаревського провулок
Боємського вулиця	Боємського вулиця
Божанського вулиця	Божанського вулиця
Боклевського вулиця	Боклевського вулиця
Болудянського вулиця	Болудянського вулиця
Боричевського вулиця	Боричевського вулиця
Боровіковського бульвар	Боровіковського бульвар
Бочневського вулиця	Бочневського вулиця
Бочневського провулок	Бочневського провулок
Брагінського вулиця	Брагінського вулиця
Бразульського вулиця	Бразульського вулиця
Бразульського провулок	Бразульського провулок
Бринського вулиця	Бринського вулиця
Брусилівського вулиця	Брусилівського вулиця
Брусиловського вулиця	Брусиловського вулиця
Бруховського проїзд	Бруховського проїзд
Бугорської вулиця	Бугорської вулиця
Будзинського вулиця	Будзинського вулиця
Будинського вулиця	Будинського вулиця
Бузовського вулиця	Бузовського вулиця
Буковинського Віче вулиця	Буковинського Віче вулиця
Буського Братства вулиця	Буського Братства вулиця
Бутовського провулок	Бутовського провулок
В’яземського вулиця	Вʼяземського вулиця
Венгеровського вулиця	Венгеровського вулиця
Венгеровського провулок	Венгеровського провулок
Вердовського вулиця	Вердовського вулиця
Верейського вулиця	Верейського вулиця
Верейського провулок	Верейського провулок
Верстовського вулиця	Верстовського вулиця
Верстовського провулок	Верстовського провулок
Вигодовського вулиця	Вигодовського вулиця
Видинівського вулиця	Видинівського вулиця
Винявського вулиця	Винявського вулиця
Вишнеградського вулиця	Вишнеградського вулиця
Вікторовського вулиця	Вікторовського вулиця
Віленського вулиця	Віленського вулиця
Вільшанського вулиця	Вільшанського вулиця
Вітошинського вулиця	Вітошинського вулиця
Вознесенського вулиця	Вознесенського вулиця
Вознесенського провулок	Вознесенського провулок
Воробйовського вулиця	Воробйовського вулиця
Воронянського вулиця	Воронянського вулиця
Вороського вулиця	Вороського вулиця
вулиця Хотинського Повстання	вулиця Хотинського Повстання
Галанського провулок	Галанського провулок
Галковського вулиця	Галковського вулиця
Галущинського вулиця	Галущинського вулиця
Гальчевського провулок	Гальчевського провулок
Ганської вулиця	Ганської вулиця
Гвоздовського вулиця	Гвоздовського вулиця
Генерала Гвоздовського вулиця	Генерала Гвоздовського вулиця
Генерала Радієвського вулиця	Генерала Радієвського вулиця
Гербенського вулиця	Гербенського вулиця
Героїв Брестської Крепості квартал	Героїв Брестської Крепості квартал
Героїв Брестської Фортеці вулиця	Героїв Брестської Фортеці вулиця
Героїв Малинського Підпілля вулиця	Героїв Малинського Підпілля вулиця
Героїв Миколаєва вулиця / Дзівінського вулиця	Героїв Миколаєва вулиця / Дзівінського вулиця
Гірського вулиця	Гірського вулиця
Главинського вулиця	Главинського вулиця
Глимбовського вулиця	Глимбовського вулиця
Гнаровської вулиця	Гнаровської вулиця
Гнезненського повіту вулиця	Гнезненського повіту вулиця
Гніровського вулиця	Гніровського вулиця
Гожельського вулиця	Гожельського вулиця
Гойської вулиця	Гойської вулиця
Голімбієвського вулиця	Голімбієвського вулиця
Головського вулиця	Головського вулиця
Горлівської Дивізії вулиця	Горлівської Дивізії вулиця
Городнянського в’їзд	Городнянського вʼїзд
Гославського провулок	Гославського провулок
Гошинського вулиця	Гошинського вулиця
Грабівського вулиця	Грабівського вулиця
Графа Ілінського вулиця	Графа Ілінського вулиця
Графа Ілінського провулок	Графа Ілінського провулок
Гренджі-Донського вулиця	Гренджі-Донського вулиця
Григорівського Десанту проспект	Григорівського Десанту проспект
Гродзиського повіту вулиця	Гродзиського повіту вулиця
Гродського вулиця	Гродського вулиця
Грущинського вулиця	Грущинського вулиця
