Будьоного 3-й провулок	Будьоного 3-й провулок
Вахрамеєва 4-й провулок	Вахрамеєва 4-й провулок
Військове містечко-2 вулиця	Військове містечко-2 вулиця
Вознесенської 1-й провулок	Вознесенської 1-й провулок
Всіхсвятської 1-й провулок	Всіхсвятської 1-й провулок
Вчительської 2-й вулиця	2-й провулок Вчительської вулиці
Дальницький 1-й провулок	Дальницький 1-й провулок
Дальницький 2-й провулок	Дальницький 2-й провулок
Дальницький 3-й провулок	Дальницький 3-й провулок
Дальницький 4-й провулок	Дальницький 4-й провулок
Дальницький 5-й провулок	Дальницький 5-й провулок
Дзержинського 1-й провулок	Дзержинського 1-й провулок
Дзержинського 2-й провулок	Дзержинського 2-й провулок
Дзержинського 3-й провулок	Дзержинського 3-й провулок
Дзержинського 4-й провулок	Дзержинського 4-й провулок
Западинської 1-й провулок	Западинської 1-й провулок
Западинської 2-й провулок	Западинської 2-й провулок
Імені 105-ти вулиця	Імені 105-ти вулиця
Кірова 1-й провулок	Кірова 1-й провулок
Клубної 1-й провулок	Клубної 1-й провулок
Комінтерна 1-й провулок	Комінтерна 1-й провулок
Комінтерна 2-й провулок	Комінтерна 2-й провулок
Комсомольський 1-й провулок	Комсомольський 1-й провулок
Комсомольської 1-й провулок	Комсомольської 1-й провулок
Комсомольської 2-й провулок	Комсомольської 2-й провулок
Крупської 1-й провулок	Крупської 1-й провулок
Крупської 2-й провулок	Крупської 2-й провулок
Леніна 1-й провулок	Леніна 1-й провулок
Леніна 2-й провулок	Леніна 2-й провулок
Луценка 1-й провулок	Луценка 1-й провулок
Луценка 2-й провулок	Луценка 2-й провулок
Матеріальний 2-й провулок	Матеріальний 2-й провулок
Матеріальний 3-й провулок	Матеріальний 3-й провулок
Маяковського 6-й провулок	Маяковського 6-й провулок
Маякський 1-й провулок	Маякський 1-й провулок
Маякський 2-й провулок	Маякський 2-й провулок
Маякський 3-й провулок	Маякський 3-й провулок
Маякський 4-й провулок	Маякський 4-й провулок
Мирошниченка 1-й в'їзд	Мирошниченка 1-й вʼїзд
Мирошниченко 2-й в'їзд	Мирошниченко 2-й вʼїзд
Мирошниченко 3-й в'їзд	Мирошниченко 3-й вʼїзд
Пересипський 2-й провулок	Пересипський 2-й провулок
Постишева 1-й провулок	Постишева 1-й провулок
Приміський 5-й проїзд	Приміський 5-й проїзд
Садова 2-га вулиця	Садова 2-га вулиця
Свердлова 1-й провулок	Свердлова 1-й провулок
Тираспольский 1-й провулок	Тираспольский 1-й провулок
Фрунзе 1-й провулок	Фрунзе 1-й провулок
Фрунзе 3-й провулок	Фрунзе 3-й провулок
Центральної 1-й провулок	Центральної 1-й провулок
Центральної 4-й провулок	Центральної 4-й провулок
Чапаєва 1-й провулок	Чапаєва 1-й провулок
Щорса 1-й провулок	Щорса 1-й провулок
Щорса 4-й провулок	Щорса 4-й провулок
