
1 Воєнна вулиця	1-ша Воєнна вулиця
1 Махнівський провулок	1-й Махнівський провулок
1-а Бузкова вулиця	1-ша Бузкова вулиця
1-а Висока вулиця	1-ша Висока вулиця
1-а Вітовська вулиця	1-ша Вітовська вулиця
1-а Воєнна вулиця	1-ша Воєнна вулиця
1-а Горіхова вулиця	1-ша Горіхова вулиця
1-а Горська вулиця	1-ша Горська вулиця
1-а Дамбова вулиця	1-ша Дамбова вулиця
1-а Крейдова вулиця	1-ша Крейдова вулиця
1-а Левада вулиця	1-ша Левада вулиця
1-а лінія вулиця	1-ша лінія вулиця
1-а Лінія вулиця	1-ша Лінія вулиця
1-а Лінія провулок	1-а Лінія провулок
1-а Лугова вулиця	1-ша Лугова вулиця
1-а Мурейки вулиця	1-ша Мурейки вулиця
1-а Нова вулиця	1-ша Нова вулиця
1-а Олександрівка вулиця	1-ша Олександрівка вулиця
1-а Переселенці вулиця	1-ша Переселенці вулиця
1-а Повздовжня вулиця	1-ша Повздовжня вулиця
1-а Промислова вулиця	1-ша Промислова вулиця
1-а Річкова вулиця	1-ша Річкова вулиця
1-а Січова вулиця	1-ша Січова вулиця
1-а Сортовипробувальна вулиця	1-ша Сортовипробувальна вулиця
1-а Степова вулиця	1-ша Степова вулиця
1-а Товщ вулиця	1-ша Товщ вулиця
1-го Мая вулиця	1-го Мая вулиця
1-ї Лікарні проїзд	1-ї Лікарні проїзд
1-ї П’ятирічки вулиця	1-ї Пʼятирічки вулиця
1-ї Ради провулок	1-ї Ради провулок
1-й Авіаторської тупик	1-й Авіаторської тупик
1-й Автомобілістів проїзд	1-й Автомобілістів проїзд
1-й Аеропортівський провулок	1-й Аеропортівський провулок
1-й Альтинський провулок	1-й Альтинський провулок
1-й Аптекарської провулок	1-й Аптекарської провулок
1-й Бадаєва провулок	1-й Бадаєва провулок
1-й Балтський провулок	1-й Балтський провулок
1-й Барашівський провулок	1-й Барашівський провулок
1-й Барський провулок	1-й Барський провулок
1-й Берегової провулок	1-й Берегової провулок
1-й Берегометський провулок	1-й Берегометський провулок
1-й Бережинський провулок	1-й Бережинський провулок
1-й Бірюковський провулок	1-й Бірюковський провулок
1-й Богунівський провулок	1-й Богунівський провулок
1-й Борисівки провулок	1-й Борисівки провулок
1-й Борисяка провулок	1-й Борисяка провулок
1-й Будівельників провулок	1-й Будівельників провулок
1-й Бульбенка провулок	1-й Бульбенка провулок
1-й Вапняковий провулок	1-й Вапняковий провулок
1-й Вахрамеєва провулок	1-й Вахрамеєва провулок
1-й Верейського проїзд	1-й Верейського проїзд
1-й Весніна провулок	1-й Весніна провулок
1-й Вижницький провулок	1-й Вижницький провулок
1-й Високовича провулок	1-й Високовича провулок
1-й Відпочинку провулок	1-й Відпочинку провулок
1-й Відродження провулок	1-й Відродження провулок
1-й Військоматський провулок	1-й Військоматський провулок
1-й Вільський провулок	1-й Вільський провулок
1-й Возненський провулок	1-й Возненський провулок
1-й Володимирівський провулок	1-й Володимирівський провулок
1-й Волчанський провулок	1-й Волчанський провулок
1-й Г.Морозової провулок	1-й Г.Морозової провулок
1-й Г.Морозової проїзд	1-й Г.Морозової проїзд
1-й Гайдамацький провулок	1-й Гайдамацький провулок
1-й Генетичний провулок	1-й Генетичний провулок
1-й Глинський провулок	1-й Глинський провулок
1-й Груньський провулок	1-й Груньський провулок
1-й Декабристів провулок	1-й Декабристів провулок
1-й Джамбула провулок	1-й Джамбула провулок
1-й Димківський провулок	1-й Димківський провулок
1-й Дорошенківський в’їзд	1-й Дорошенківський вʼїзд
1-й Дорошенківський провулок	1-й Дорошенківський провулок
1-й Дробильний провулок	1-й Дробильний провулок
1-й Дружби провулок	1-й Дружби провулок
1-й Дружби тупик	1-й Дружби тупик
1-й Евенський провулок	1-й Евенський провулок
1-й Енергетиків провулок	1-й Енергетиків провулок
1-й Енергетиків проїзд	1-й Енергетиків проїзд
1-й Жилярді в’їзд	1-й Жилярді вʼїзд
1-й Журавський провулок	1-й Журавський провулок
1-й Журналістів проїзд	1-й Журналістів проїзд
1-й Загребелля провулок	1-й Загребелля провулок
1-й Заорільський провулок	1-й Заорільський провулок
1-й Засульський провулок	1-й Засульський провулок
1-й Злагоди провулок	1-й Злагоди провулок
1-й Зорге провулок	1-й Зорге провулок
1-й Інтернатський провулок	1-й Інтернатський провулок
1-й Казнівський провулок	1-й Казнівський провулок
1-й Кам’янопотіцької провулок	1-й Камʼянопотіцької провулок
1-й Капітульний провулок	1-й Капітульний провулок
1-й Каракульний провулок	1-й Каракульний провулок
1-й Карасика провулок	1-й Карасика провулок
1-й Кипарисний провулок	1-й Кипарисний провулок
1-й Кирпичний тупик	1-й Кирпичний тупик
1-й Китобійний провулок	1-й Китобійний провулок
1-й Кільченський провулок	1-й Кільченський провулок
1-й Ключевий провулок	1-й Ключевий провулок
1-й Книжковецький проїзд	1-й Книжковецький проїзд
1-й Ковалевської провулок	1-й Ковалевської провулок
1-й Колеусівський провулок	1-й Колеусівський провулок
1-й Колісниченківський провулок	1-й Колісниченківський провулок
1-й Колонний провулок	1-й Колонний провулок
1-й Комінтерну провулок	1-й Комінтерну провулок
1-й Комунарівської провулок	1-й Комунарівської провулок
1-й Константиновича провулок	1-й Константиновича провулок
1-й Константиновича проїзд	1-й Константиновича проїзд
1-й Космонавтів провулок	1-й Космонавтів провулок
1-й Костенюк провулок	1-й Костенюк провулок
1-й Котеджний проїзд	1-й Котеджний проїзд
1-й Котласький проїзд	1-й Котласький проїзд
1-й Крошенський провулок	1-й Крошенський провулок
1-й Круглицької провулок	1-й Круглицької провулок
1-й Крупської провулок	1-й Крупської провулок
1-й Лазаретний провулок	1-й Лазаретний провулок
1-й Левадний тупик	1-й Левадний тупик
1-й Леваневського провулок	1-й Леваневського провулок
1-й Легпромівський провулок	1-й Легпромівський провулок
1-й Лелеківський провулок	1-й Лелеківський провулок
1-й Лелечий проїзд	1-й Лелечий проїзд
1-й Лідової провулок	1-й Лідової провулок
1-й Лірницький провулок	1-й Лірницький провулок
1-й Лісопарківський провулок	1-й Лісопарківський провулок
1-й Лузанівський провулок	1-й Лузанівський провулок
1-й Луковецький провулок	1-й Луковецький провулок
1-й Магазинний провулок	1-й Магазинний провулок
1-й Макаренко провулок	1-й Макаренко провулок
1-й Максютова провулок	1-й Максютова провулок
1-й Малоомелянівський провулок	1-й Малоомелянівський провулок
1-й Маршовий провулок	1-й Маршовий провулок
1-й Матеріальний провулок	1-й Матеріальний провулок
1-й Меліораторів проїзд	1-й Меліораторів проїзд
1-й Механізаторів провулок	1-й Механізаторів провулок
1-й Механізаторський провулок	1-й Механізаторський провулок
1-й Мєчнікова провулок	1-й Мєчнікова провулок
1-й Миру провулок	1-й Миру провулок
1-й Монастирської провулок	1-й Монастирської провулок
1-й Мрії проїзд	1-й Мрії проїзд
1-й Надії провулок	1-й Надії провулок
1-й Налічний провулок	1-й Налічний провулок
1-й Насосный тупик	1-й Насосный тупик
1-й Незалежності в’їзд	1-й Незалежності вʼїзд
1-й Незалежності провулок	1-й Незалежності провулок
1-й Незнайка провулок	1-й Незнайка провулок
1-й Немишлянський в’їзд	1-й Немишлянський вʼїзд
1-й Нескучний в'їзд	1-й Нескучний вʼїзд
1-й Нижньогиївський узвіз	1-й Нижньогиївський узвіз
1-й Нижньодністровський провулок	1-й Нижньодністровський провулок
1-й Нижньосадовий провулок	1-й Нижньосадовий провулок
1-й Низгірецький провулок	1-й Низгірецький провулок
1-й Новогоголівський провулок	1-й Новогоголівський провулок
1-й Новогоголівський проїзд	1-й Новогоголівський проїзд
1-й Нової провулок	1-й Нової провулок
1-й Новонерубайський провулок	1-й Новонерубайський провулок
1-й Новопівнічний провулок	1-й Новопівнічний провулок
1-й Новоселецької провулок	1-й Новоселецької провулок
1-й Носівський провулок	1-й Носівський провулок
1-й Озаринецький тупик	1-й Озаринецький тупик
1-й Орджонікідзе провулок	1-й Орджонікідзе провулок
1-й Оружейний провулок	1-й Оружейний провулок
1-й Осипенко провулок	1-й Осипенко провулок
1-й Павликівський провулок	1-й Павликівський провулок
1-й Паравозний провулок	1-й Паравозний провулок
1-й Перемоги провулок	1-й Перемоги провулок
1-й Петренківський в’їзд	1-й Петренківський вʼїзд
1-й Петренківський провулок	1-й Петренківський провулок
1-й Петренківський проїзд	1-й Петренківський проїзд
1-й Північно-Кільцевої провулок	1-й Північно-Кільцевої провулок
1-й Пічугінський провулок	1-й Пічугінський провулок
1-й Полубудкіна провулок	1-й Полубудкіна провулок
1-й Постніковський провулок	1-й Постніковський провулок
1-й Праці провулок	1-й Праці провулок
1-й Придунайський провулок	1-й Придунайський провулок
1-й приуданський провулок	1-й приуданський провулок
1-й проєктний провулок	1-й проєктний провулок
1-й Проїзд проїзд	1-й Проїзд проїзд
1-й Проспект вулиця	1-й Проспект вулиця
1-й Просужого провулок	1-й Просужого провулок
1-й Протипохилий провулок	1-й Протипохилий провулок
1-й Професійний провулок	1-й Професійний провулок
1-й Прудний провулок	1-й Прудний провулок
1-й Раднаркомівський провулок	1-й Раднаркомівський провулок
1-й Раскової провулок	1-й Раскової провулок
1-й Рахматуліна провулок	1-й Рахматуліна провулок
1-й Рембудівський проїзд	1-й Рембудівський проїзд
1-й Розумовський провулок	1-й Розумовський провулок
1-й Рятувальників провулок	1-й Рятувальників провулок
1-й Саговський провулок	1-й Саговський провулок
1-й Садово-проїзний провулок	1-й Садово-проїзний провулок
1-й Садової провулок	1-й Садової провулок
1-й Сарнавської провулок	1-й Сарнавської провулок
1-й Свободи провулок	1-й Свободи провулок
1-й Сирітський провулок	1-й Сирітський провулок
1-й Сільскогосподарський провулок	1-й Сільскогосподарський провулок
1-й Скляний провулок	1-й Скляний провулок
1-й Скнилівський провулок	1-й Скнилівський провулок
1-й Смоківський провулок	1-й Смоківський провулок
1-й Старовський в’їзд	1-й Старовський вʼїзд
1-й Староленківський провулок	1-й Староленківський провулок
