1 ряд Нижній Шувар	1-й ряд Нижній Шувар
1-й Адмірала Лозівського провулок	1-й провулок Адмірала Лозівського
1-й Академіка Вернадського проїзд	1-й проїзд Академіка Вернадського
1-й Академіка Корольова провулок	1-й провулок Академіка Корольова
1-й Академіка Пирогова провулок	1-й провулок Академіка Пирогова
1-й Антона Турчановича провулок	1-й провулок Антона Турчановича
1-й Аріадни Стебельської провулок	1-й провулок Аріадни Стебельської
1-й Б. Хмельницького провулок	1-й провулок Богдана Хмельницького
1-й Бадаєва Павла провулок	1-й провулок Павла Бадаєва
1-й Бахмацьких дивізій провулок	1-й провулок Бахмацьких Дивізій
1-й Богдана Хмельницького провулок	1-й провулок Богдана Хмельницького
1-й Бориса Гмирі провулок	1-й провулок Бориса Гмирі
1-й Бориса Грінченка провулок	1-й провулок Бориса Грінченка
1-й Бориса Шкляра провулок	1-й провулок Бориса Шкляра
1-й В’ячеслава Чорновола провулок	1-й провулок Вʼячеслава Чорновола
1-й Вадима Пузирьова провулок	1-й провулок Вадима Пузирьова
1-й Василенкове Поле провулок	1-й провулок Василенкове Поле
1-й Василя Кандинського провулок	1-й провулок Василя Кандинського
1-й Василя Сліпака провулок	1-й провулок Василя Сліпака
1-й Василя Стефаника провулок	1-й провулок Василя Стефаника
1-й Васіле Александрі провулок	1-й провулок Васіле Александрі
1-й Верхній Вокзальний провулок	1-й провулок Верхній Вокзальний
1-й Віктора Блащука проїзд	1-й Віктора Блащука проїзд
1-й Віктора Горіна провулок	1-й Віктора Горіна провулок
1-й Віктора Мирутенка провулок	1-й Віктора Мирутенка провулок
1-й Володимира Великого провулок	1-й Володимира Великого провулок
1-й Володимира Івасюка провулок	1-й Володимира Івасюка провулок
1-й Володимира Свідзінського провулок	1-й Володимира Свідзінського провулок
1-й Генерала Арабея проїзд	1-й Генерала Арабея проїзд
1-й Героїв України провулок	1-й Героїв України провулок
1-й Героїв Чорнобиля провулок	1-й Героїв Чорнобиля провулок
1-й Гетьмана Дорошенка провулок	1-й Гетьмана Дорошенка провулок
1-й Гетьмана Сагайдачного провулок	1-й Гетьмана Сагайдачного провулок
1-й Гетьмана Скоропадського провулок	1-й Гетьмана Скоропадського провулок
1-й Гната Танцюри провулок	1-й Гната Танцюри провулок
1-й Гната Юри проїзд	1-й Гната Юри проїзд
1-й Гніванське шосе провулок	1-й Гніванське шосе провулок
1-й Григорія Чупринки провулок	1-й Григорія Чупринки провулок
1-й Данила Галицького провулок	1-й Данила Галицького провулок
1-й Данила Нечая провулок	1-й Данила Нечая провулок
1-й Дениса Квітковського провулок	1-й Дениса Квітковського провулок
1-й Другої П'ятирічки провулок	1-й Другої Пʼятирічки провулок
1-й Євгена Чикаленка провулок	1-й Євгена Чикаленка провулок
1-й Івана Богуна провулок	1-й Івана Богуна провулок
1-й Івана Виговського провулок	1-й Івана Виговського провулок
1-й Івана Липи провулок	1-й Івана Липи провулок
1-й Івана Мазепи провулок	1-й Івана Мазепи провулок
1-й Івана Підкови провулок	1-й Івана Підкови провулок
1-й Івана Пулюя проїзд	1-й Івана Пулюя проїзд
1-й Івана Франка провулок	1-й Івана Франка провулок
1-й Івана Хоменка провулок	1-й Івана Хоменка провулок
1-й Івана Чирки провулок	1-й Івана Чирки провулок
1-й Ігоря Костецького провулок	1-й Ігоря Костецького провулок
1-й Ігоря Муратова провулок	1-й Ігоря Муратова провулок
1-й Ігоря Сікорського провулок	1-й Ігоря Сікорського провулок
1-й Іларія Карбулицького провулок	1-й Іларія Карбулицького провулок
1-й Іллі Рєпіна в'їзд	1-й Іллі Рєпіна вʼїзд
1-й Карла Маркса провулок	1-й Карла Маркса провулок
1-й Каті Зеленко провулок	1-й Каті Зеленко провулок
1-й км Новомиколаївської дороги	1-й км Новомиколаївської дороги
1-й Козацької Слави провулок	1-й Козацької Слави провулок
1-й Кривий Брід провулок	1-й Кривий Брід провулок
1-й Левка Симиренка в’їзд	1-й Левка Симиренка вʼїзд
1-й Леоніда Каденюка провулок	1-й Леоніда Каденюка провулок
1-й Леоніда Мосендза провулок	1-й Леоніда Мосендза провулок
1-й Лесі Українки провулок	1-й Лесі Українки провулок
1-й Лесі УКраїнки провулок	1-й Лесі УКраїнки провулок
1-й Леся Курбаса провулок	1-й Леся Курбаса провулок
1-й Лубенського Полку провулок	1-й Лубенського Полку провулок
1-й Луї Пастера в’їзд	1-й Луї Пастера вʼїзд
1-й Льва Толстого провулок	1-й Льва Толстого провулок
1-й Людмили Борисової провулок	1-й Людмили Борисової провулок
1-й Лялі Убийвовк провулок	1-й Лялі Убийвовк провулок
1-й Максима Рильського провулок	1-й Максима Рильського провулок
1-й Максима Шаповала провулок	1-й Максима Шаповала провулок
1-й Марії Литвиненко-Вольгемут провулок	1-й Марії Литвиненко-Вольгемут провулок
1-й Марії Примаченко провулок	1-й Марії Примаченко провулок
1-й Миколи Костомарова провулок	1-й Миколи Костомарова провулок
1-й Миколи Леонтовича провулок	1-й Миколи Леонтовича провулок
1-й Миколи Міхновського провулок	1-й Миколи Міхновського провулок
1-й Миколи Римського-Корсакова провулок	1-й Миколи Римського-Корсакова провулок
1-й Миколи Романенка провулок	1-й Миколи Романенка провулок
1-й Миколи Хвильового провулок	1-й Миколи Хвильового провулок
1-й Мирослава Скорика провулок	1-й Мирослава Скорика провулок
1-й Михайла Грищенка провулок	1-й Михайла Грищенка провулок
1-й Михайла Грушевського провулок	1-й Михайла Грушевського провулок
1-й Моріса Тореза провулок	1-й Моріса Тореза провулок
1-й Н. Сосніної провулок	1-й Н. Сосніної провулок
1-й Насті Присяжнюк провулок	1-й Насті Присяжнюк провулок
1-й Немирівське шосе провулок	1-й Немирівське шосе провулок
1-й Нове Життя провулок	1-й Нове Життя провулок
1-й Овчаренка Дмитра в’їзд	1-й Овчаренка Дмитра вʼїзд
1-й Олександра Герцена провулок	1-й Олександра Герцена провулок
