Артилеристів Кременчука вулиця	Артилеристів Кременчука вулиця
Бенчука вулиця	Бенчука вулиця
Букатчука вулиця	Букатчука вулиця
Горенчука вулиця	Горенчука вулиця
Дем’янчука вулиця	Демʼянчука вулиця
Запорожчука вулиця	Запорожчука вулиця
Запорожчука провулок	Запорожчука провулок
Клевчука вулиця	Клевчука вулиця
Коломийчука вулиця	Коломийчука вулиця
Конищука вулиця	Конищука вулиця
Конищука провулок	Конищука провулок
Кулявчука вулиця	Кулявчука вулиця
Лимарчука вулиця	Лимарчука вулиця
Макійчука провулок	Макійчука провулок
Маковейчука вулиця	Маковейчука вулиця
Макiйчука провулок	Макійчука провулок
Марищука вулиця	Марищука вулиця
Невеличука вулиця	Невеличука вулиця
Охрончука вулиця	Охрончука вулиця
П'ятанчука провулок	Пʼятанчука провулок
Пампощука вулиця	Пампощука вулиця
Патрійчука вулиця	Патрійчука вулиця
Пілипчука вулиця	Пілипчука вулиця
Померанчука вулиця	Померанчука вулиця
Пташенчука вулиця	Пташенчука вулиця
Саварчука вулиця	Саварчука вулиця
Сліпенчука вулиця	Сліпенчука вулиця
Теліщука вулиця	Теліщука вулиця
Телячука вулиця	Телячука вулиця
Толощука вулиця	Толощука вулиця
Хамчука вулиця	Хамчука вулиця
