А. Бондаренка вулиця	вулиця А. Бондаренка
А. Головка вулиця	вулиця А. Головка
А. Горбача вулиця	вулиця А. Горбача
А. Грубого вулиця	вулиця А. Грубого
А. Добраня вулиця	вулиця А. Добраня
А. Є. Фещенко вулиця	вулиця А. Є. Фещенко
А. Затуряна вулиця	вулиця А. Затуряна
А. Й. Філя вулиця	вулиця А. Й. Філя
А. Карпюк вулиця	вулиця А. Карпюк
А. Карташова	А. Карташова
А. Кирилюка вулиця	вулиця А. Кирилюка
А. Ковбля вулиця	вулиця А. Ковбля
А. Комка вулиця	вулиця А. Комка
А. Корнєва вулиця	вулиця А. Корнєва
А. Корольова вулиця	вулиця А. Корольова
А. Кренца вулиця	вулиця А. Кренца
А. Кренца провулок	провулок А. Кренца
А. Кривуляка вулиця	вулиця А. Кривуляка
А. М. Барановського вулиця	вулиця А. М. Барановського
А. Маслакова вулиця	вулиця А. Маслакова
А. Мельника вулиця	вулиця А. Мельника
А. Мікояна вулиця	вулиця А. Мікояна
А. О. Граговського вулиця	вулиця А. О. Грановського
А. Пелладі вулиця	вулиця А. Пелладі
А. Слюсаря вулиця	вулиця А. Слюсаря
А. Солов’яненка вулиця	вулиця А. Соловʼяненка
А. Співака вулиця	вулиця А. Співака
А. Стрілка вулиця	вулиця А. Стрілка
А. Тисленка вулиця	вулиця А. Тисленка
А. Трощілової вулиця	вулиця А. Трощілової
А. Цветкова вулиця	вулиця А. Цветкова
А. Чехов вулиця	вулиця А. Чехов
А. Чубарова вулиця	вулиця А. Чубарова
А.Джусова вулиця	вулиця А. Джусова
А.Джусова провулок	провулок А. Джусова
А.І.Коваля провулок	провулок А. І.Коваля
А.Комара вулиця	вулиця А. Комара
А.Кухара вулиця	вулиця А. Кухара
А.Молодана вулиця	вулиця А. Молодана
А.П. Семенюка вулиця	вулиця А. П. Семенюка
А.Пасічника вулиця	вулиця А. Пасічника
А.Семиволоса вулиця	вулиця А. Семиволоса
А.Солов’яненка вулиця	вулиця А. Соловʼяненка
А.Шептицького вулиця	вулиця А. Шептицького
Б. Герасимовича вулиця	вулиця Б. Герасимовича
Б. Грінченка вулиця	вулиця Б. Грінченка
Б. Завади	Б. Завади
Б. Калуша вулиця	вулиця Б. Калуша
Б. Козубського вулиця	вулиця Б. Козубського
