Алея Підгірна вулиця	Алея Підгірна вулиця
Білозірна вулиця	Білозірна вулиця
Великогірна вулиця	Великогірна вулиця
Великогірний провулок	Великогірний провулок
Верхня Нагірна вулиця	Верхня Нагірна вулиця
Високогірна вулиця	Високогірна вулиця
Високогірний в'їзд	Високогірний вʼїзд
Високогірний провулок	Високогірний провулок
Високогірний проїзд	Високогірний проїзд
Вірний провулок	Вірний провулок
Водозбірний провулок	Водозбірний провулок
Водонапірна вулиця	Водонапірна вулиця
Водонапірний провулок	Водонапірний провулок
вулиця Нагірна	вулиця Нагірна
Гірна вулиця	Гірна вулиця
Гірний провулок	Гірний провулок
Двогірна вулиця	Двогірна вулиця
Ефірний провулок	Ефірний провулок
Загірна вулиця	Загірна вулиця
Загірний провулок	Загірний провулок
Задвірна вулиця	Задвірна вулиця
Задвірний провулок	Задвірний провулок
Землемірний провулок	Землемірний провулок
Косогірна вулиця	Косогірна вулиця
Косогірний провулок	Косогірний провулок
Крутогірна вулиця	Крутогірна вулиця
Крутогірний узвіз	Крутогірний узвіз
Медобірна вулиця	Медобірна вулиця
Міжгірна вулиця	Міжгірна вулиця
Мірна вулиця	Мірна вулиця
Мірний квартал	Мірний квартал
Нагірна вулиця	Нагірна вулиця
Нагірна Вулиця	Нагірна Вулиця
Нагірний в’їзд	Нагірний вʼїзд
Нагірний провулок	Нагірний провулок
Нагірний тупик	Нагірний тупик
Нагiрний провулок	Нагірний провулок
Надбірна вулиця	Надбірна вулиця
Надбірний в’їзд	Надбірний вʼїзд
Надбірний провулок	Надбірний провулок
Надвірна вулиця	Надвірна вулиця
Надгірна вулиця	Надгірна вулиця
Надгірний провулок	Надгірний провулок
Напірна вулиця	Напірна вулиця
Напірний провулок	Напірний провулок
Нижня Нагірна вулиця	Нижня Нагірна вулиця
Новогірна вулиця	Новогірна вулиця
Озірна вулиця	Озірна вулиця
Озірний провулок	Озірний провулок
П’ятидвірний провулок	Пʼятидвірний провулок
Підбірна вулиця	Підбірна вулиця
Підбірний провулок	Підбірний провулок
Підгірна вулиця	Підгірна вулиця
Підгірний в’їзд	Підгірний вʼїзд
Підгірний провулок	Підгірний провулок
Підпірна дамба (гребля)	Підпірна дамба (гребля)
Сувенірна вулиця	Сувенірна вулиця
Сувенірний провулок	Сувенірний провулок
Табірна вулиця	Табірна вулиця
Табірний провулок	Табірний провулок
Табірний проїзд	Табірний проїзд
Тригірна вулиця	Тригірна вулиця
Трьохгірна вулиця	Трьохгірна вулиця
Трьохгірний провулок	Трьохгірний провулок
Турнірна вулиця	Турнірна вулиця
Хутірна вулиця	Хутірна вулиця
Хутірний провулок	Хутірний провулок
Червоногірна вулиця	Червоногірна вулиця
Ювелірна вулиця	Ювелірна вулиця
Ювелірний провулок	Ювелірний провулок
Явірна вулиця	Явірна вулиця
Явірний провулок	Явірний провулок
Якірна вулиця	Якірна вулиця
Якірний провулок	Якірний провулок
