 Коцюбинського вулиця	вулиця Коцюбинського
---Кузнецова вулиця	вулиця Кузнецова
«Партизанської іскри» вулиця	вулиця Партизанської Іскри
«Правди» вулиця	вулиця Правди
Алея Героїв Небесної Сотні	алея Героїв Небесної Сотні
Алея Козацької Слави	алея Козацької Слави
Алея Кохання	алея Кохання
Богдана вулиця-	вулиця Богдана
Богдана Сахнюка прлвулок	провулок Богдана Сахнюка
бул. Зоряний	Зоряний бульвар
В’ячеслава Чорновола вулицяь	вулиця Вʼячеслава Чорновола
Вул. Ак. Вільямса	вулиця Академіка Вільямса
вул. Артемова	вулиця Артемова
Вул. Давида Ойстраха	вулиця Давида Ойстраха
Вул. Державіна	вулиця Державіна
Вул. Комарова	вулиця Комарова
Вул. Корольова	вулиця Корольова
вул. Маяковського	вулиця Маяковського
вул. Павлика Морозова	вулиця Павлика Морозова
Вул. Паустовського	вулиця Паустовського
Вул. Чернишевського	вулиця Чернишевського
вул. Шевченка	вулиця Шевченка
Головачова вул.	вулиця Головачова
Грушевського вул.	вулиця Грушевського
Енгельса вулиця:Энгельса	вулиця Енгельса
І провулок Горького	1-й провулок Горького
Івана Ловги вилиця	вулиця Івана Ловги
Івана Мазепи вул.	вулиця Івана Мазепи
Івашковець-Довжки урочище	урочище Івашковець-Довжки
ІІ провулок Горького	2-й провулок Горького
ІІІ провулок Горького	3-й провулок Горького
Калініна перевулок	провулок Калініна
кв Гагаріна	квартал Гагаріна
кв-л Гагаріна	квартал Гагаріна
кв. Ворошилова	квартал Ворошилова
кв. Комарова	квартал Комарова
квартал Волкова	квартал Волкова
квартал Ворошилова	квартал Ворошилова
квартал Димитрова	квартал Димитрова
квартал Жукова	квартал Жукова
квартал Комарова	квартал Комарова
Квартал Комарова	квартал Комарова
квартал Леваневского	квартал Леваневского
квартал Шевченка	квартал Шевченка
квартал Щербакова	квартал Щербакова
Комарова вулиці	вулиця Комарова
Комарова вулмця	вулиця Комарова
Котовського містечко	містечко Котовського
Коцюбинського вул.	вулиця Коцюбинського
Кравченка вулицяь	вулиця Кравченка
Красіна вул.	вулиця Красіна
Куйбишева містечко	містечко Куйбишева
Леніна містечко	містечко Леніна
Лесі Українки вул.	вулиця Лесі Українки
Мартина Небаби перевулок	провулок Мартина Небаби
Мирослави Кобилянської вулиці	вулиця Мирослави Кобилянської
містечко Нова Сергія	містечко Нова Сергія
містечко Щорса	містечко Щорса
Надії вулїца	вулиця Надії
Огієнка вул.	вулиця Огієнка
Остапа Вишні вулиці	вулиця Остапа Вишні
Отамана Головатого вулицяь	вулиця Отамана Головатого
Отамана Головатого провулокй	провулок Отамана Головатого
Павлова рпровулок	провулок Павлова
Пархоменка містечко	містечко Пархоменка
Пр.-т ак. Глушка	проспект Академіка Глушка
Пров. Пушкіна	провулок Пушкіна
пров. Щорса	провулок Щорса
Романа Шухевичавулиця	вулиця Романа Шухевича
Стара Сергія містечко	містечко Стара Сергія
Терешкової вул.	вулиця Терешкової
Токарева вулицяь	вулиця Токарева
ул.Генерала Батюка	вулиця Генерала Батюка
Фурманова вуліця	вулиця Фурманова
Черняховського провулокй	провулок Черняховського
Шляхова вулиця 	Шляхова вулиця 
Юрія Липи ровулок	провулок Юрія Липи
Юрченка вуличя	вулиця Юрченка
Якубовського вулиц	вулиця Якубовського
Ⅱ Римського-Корсакова провулок	2-й провулок Римського-Корсакова
Маркіяна Шашкевича урочище	урочище Маркіяна Шашкевича
Маяковського в''їзд	вʼїзд Маяковського
мікрорайон Діброва	мікрорайон Діброва
Площа Волоха	площа Волоха
площа Івана Кирія	площа Івана Кирія
Площа Івана Франка	площа Івана Франка
Площа Кропивницького	площа Кропивницького
Площа Роксолани	площа Роксолани
Площа Толбухіна	площа Толбухіна
Площа Шевченка	площа Шевченка
Поповича улиця	вулиця Поповича
Коцюбинського улиця	вулиця Коцюбинського
Сенатосенка улиця	вулиця Сенатосенка
шосе В'ячеслава Чорновола	шосе Вʼячеслава Чорновола
