
10 лінія вулиця	вулиця 10-та Лінія
10а Ірпінська вулиця	10-та Ірпінська вулиця А
10б Ірпінська вулиця	10-та Ірпінська вулиця Б
11 лінія вулиця	вулиця 11-та Лінія
116 Дивізії вулиця	вулиця 116-ї Дивізії
13 Десантників вулиця	вулиця 13-ти Десантників
14 Підпільників вулиця	вулиця 14-ти Підпільників
1905 року вулиця	вулиця 1905 року
1905 Року вулиця	вулиця 1905 року
1905 року провулок	провулок 1905 року
1941 Року алея	алея 1941 року
2 Ірпіньський провулок	2-й Ірпіньський провулок
2 й квартал	2-й квартал
2 Кірова провулок	2-й провулок Кірова
2 лінія вулиця	вулиця 2-га Лінія
2 Махнівський провулок	2-й Махнівський провулок
2 Московський провулок	2-й Московський провулок
2 Нижня вулиця	2-га Нижня вулиця
2 Ніжинський проїзд	2-й Ніжинський проїзд
2 Піонерська вулиця	2-га Піонерська вулиця
2 Піщана вулиця	2-га Піщана вулиця
2 Покровський провулок	2-й Покровський провулок
2 Поперечна вулиця	2-га Поперечна вулиця
2 Юрченків провулок	2-й провулок Юрченків
22 Cічня вулиця	вулиця 22 Cічня
23 Августа вулиця	вулиця 23 Августа
28 Армії вулиця	вулиця 28 Армії
28 Панфіловців вулиця	вулиця 28-ми Панфіловців 
3 Загребельний провулок	3-й Загребельний провулок
3 Інтернаціоналу вулиця	вулиця 3-го Інтернаціоналу
3 Кірова вулиця	3-тя вулиця Кірова
3 лінія вулиця	вулиця 3-тя Лінія
3 Махнівський провулок	3-й Махнівський провулок
3 Покровський провулок	3-й Покровський провулок
3 Поперечна вулиця	3-тя Поперечна вулиця
3 Яснополянський провулок	3-й Яснополянський провулок
35 Дивізії вулиця	вулиця 35-ї Дивізії
3й Маяковського провулок	3-й провулок Маяковського
3й Маякський провулок	3-й Маякський провулок
40+річчя Перемоги вулиця	вулиця 40-річчя Перемоги
49А Садова вулиця	49-та Садова вулиця А
5 А квартал	5-й квартал А
5 Б квартал	5-й квартал Б
5 лінія вулиця	вулиця 5-та Лінія
6 лінія вулиця	вулиця 6-та Лінія
7 лінія вулиця	вулиця 7-ма Лінія
8 лінія вулиця	вулиця 8-ма Лінія
8 Марта вулиця	вулиця 8 Березня
9 лінія вулиця	вулиця 9-та Лінія
9 Поздовжня вулиця	9-та Поздовжня вулиця
9 Cічня вулиця	вулиця 9 Cічня
96 квартал вулиця	вулиця 96-й Квартал
Військове містечко №11	Військове Містечко 11
Військове містечко №35	Військове Містечко 35
Віли 1 вулиця	1-ша вулиця Віли
Дача 55 вулиця	вулиця Дача-55
Комітета 103 вулиця	вулиця Комітет-103
Лінія 9 вулиця	вулиця 9-та Лінія
Мурейки 1 вулиця	1-ша вулиця Мурейки
Мурейки 2 вулиця	2-га вулиця Мурейки
Нагірний 3б провулок	3-й Нагірний провулок Б
Оріон 1 вулиця	1-ша вулиця Оріон
Оріон 2 вулиця	2-га вулиця Оріон
Оріон 3 вулиця	3-тя вулиця Оріон
Оріон 4 вулиця	4-та вулиця Оріон
Південна 1 вулиця	1-ша Південна вулиця
Польова 2 вулиця	2-га Польова вулиця
Садова 1 провулок	1-й Садовий провулок
Смілянський 1 провулок	1-й Смілянський провулок
Тельмана 1 провулок	1-й провулок Тельмана
Тельмана 2 провулок	2-й провулок Тельмана
Товщ 1 вулиця	1-ша вулиця Товщ
Товщ 2 вулиця	2-га вулиця Товщ
19 Партз'їзду вулиця	вулиця XIX Партзʼїзду
20 Партз'їзду вулиця	вулиця XX Партзʼїзду
21 з'їзду вулиця	вулиця XXI Зʼїзду
21 з’їзду вулиця	вулиця XXI Зʼїзду
21 Партзʼїзду вулиця	вулиця XXI Партзʼїзду
23 з'їзду вулиця	вулиця XXIII Зʼїзду
23 з’їзду вулиця	вулиця XXIII Зʼїзду
23 Партз'їзду вулиця	вулиця XXIII Партзʼїзду
24 Партз'їзду вулиця	вулиця XXIV Партзʼїзду
25 Партз'їзду вулиця	вулиця XXV Партзʼїзду
