Адмірала Басистого вулиця	вулиця Адмірала Басистого
Адмірала Щасного вулиця	вулиця Адмірала Щасного
Академіка Белецького вулиця	вулиця Академіка Белецького
Андрузького вулиця	вулиця Андрузького
Архітектора Метельницького вулиця	вулиця Архітектора Метельницького
Багрицкого вулиця	вулиця Багрицкого
Безгребельного вулиця	вулиця Безгребельного
Бездворного вулиця	вулиця Бездворного
Бездільного вулиця	вулиця Бездільного
Безкаравайного вулиця	вулиця Безкаравайного
Безроднього вулиця	вулиця Безроднього
Безценного вулиця	вулиця Безценного
Белецького вулиця	вулиця Белецького
Бережницького вулиця	вулиця Бережницького
Березневого Повстання вулиця	вулиця Березневого Повстання
Блакитного вулиця	вулиця Блакитного
Блакитного провулок	провулок Блакитного
Борлуцького провулок	провулок Борлуцького
Боровіцького вулиця	вулиця Боровіцького
Броніцького вулиця	вулиця Броніцького
Брязького вулиця	вулиця Брязького
Будьоннного вулиця	вулиця Будьоннного
Будьоного вулиця	вулиця Будьоного
Будьоного провулок	провулок Будьоного
Бузького Козацтва вулиця	вулиця Бузького Козацтва
Бузького полку вулиця	вулиця Бузького полку
Бурлуцького вулиця	вулиця Бурлуцького
Бурлуцького провулок	провулок Бурлуцького
Бiлецького вулиця	вулиця Білецького
Василенького вулиця	вулиця Василенького
Великого Жовтня вулиця	вулиця Великого Жовтня
Вербовецького вулиця	вулиця Вербовецького
Вирового провулок	провулок Вирового
Висоцкого вулиця	вулиця Висоцького
Вишиваного вулиця	вулиця Вишиваного
Вишневького вулиця	вулиця Вишневького
Вишнивецького вулиця	вулиця Вишнивецького
Вільного козацтва вулиця	вулиця Вільного Козацтва
Вільного Козацтва вулиця	вулиця Вільного Козацтва
Вітряного вулиця	вулиця Вітряного
Віце-адмірала Синецького вулиця	вулиця Віце-адмірала Синецького
Вольного вулиця	вулиця Вольного
Воровского вулиця	вулиця Воровского
Воротного вулиця	вулиця Воротного
Восьмого Березня вулиця	вулиця 8 Березня
Восьмого Березня провулок	провулок 8 Березня
Восьмого з’їзду Рад вулиця	вулиця VIII Зʼїзду Рад
Вугільного Путі вулиця	вулиця Вугільного Путі
Гадяцького Договору вулиця	вулиця Гадяцького Договору
Гаевого квартал	квартал Гаевого
Гаєвого вулиця	вулиця Гаєвого
Генерала Горішного вулиця	вулиця Генерала Горішного
Генерала Грушевого вулиця	вулиця Генерала Грушевого
Героїв Зимового Походу провулок	провулок Героїв Зимового Походу
Геруцького вулиця	вулиця Геруцького
Гижицького вулиця	вулиця Гижицького
Гнідого вулиця	вулиця Гнідого
Говорецького вулиця	вулиця Говорецького
Горішного вулиця	вулиця Горішного
Горовецького вулиця	вулиця Горовецького
Горовецького провулок	провулок Горовецького
Грабовсьеого вулиця	вулиця Грабовсьеого
Грушевского вулиця	вулиця Грушевского
Грязного провулок	провулок Грязного
Далекого вулиця	вулиця Далекого
Даргомизкого вулиця	вулиця Даргомизкого
Дачі Песецького вулиця	вулиця Дачі Песецького
Двадцять Другого Січня в’їзд	вʼїзд 22 Січня
Двадцять Третього Серпня вулиця	вулиця 23 Серпня
Двадцять Третього Серпня провулок	провулок 23 Серпня
Дванадцятого Квітня вулиця	вулиця 12 Квітня
Дверницького вулиця	вулиця Дверницького
Двухбабного вулиця	вулиця Двухбабного
Дзержинcкого квартал	квартал Дзержинского
Добровольского вулиця	вулиця Добровольского
Доброго дуба вулиця	вулиця Доброго Дуба
Доброго шляху вулиця	вулиця Доброго Шляху
Добродецького вулиця	вулиця Добродецького
Добродецького перевулок	провулок Добродецького
Дражевского вулиця	вулиця Дражевского
Дробоцького алея	алея Дробоцького
Дрогобицького Повстання вулиця	вулиця Дрогобицького Повстання
Дубецького вулиця	вулиця Дубецького
Дубинецького вулиця	вулиця Дубинецького
Дубовецького вулиця	вулиця Дубовецького
Дужого вулиця	вулиця Дужого
Еміліана Невицького вулиця	вулиця Еміліана Невицького
Желєзного в'їзд	вʼїзд Желєзного
Желєзного вулиця	вулиця Желєзного
Жжоного вулиця	вулиця Жжонова
Жирного вулиця	вулиця Жирного
Заборного вулиця	вулиця Заборного
Загайного вулиця	вулиця Загайного
Загуменного вулиця	вулиця Загуменного
Загуменного провулок	провулок Загуменного
Закоршм'яного вулиця	вулиця Закоршмʼяного
Заливчого вулиця	вулиця Заливчого
Заливчого провулок	провулок Заливчого
Залозецького вулиця	вулиця Залозецького
Залозецького провулок	провулок Залозецького
