Алея артилеристів	алея Артилеристів
Алея Афганців	алея Афганців
Алея Ветеранів	алея Ветеранів
Алея визволителів міста	алея Визволителів Міста
Алея героїв	алея Героїв
Алея Героїв	алея Героїв
Алея Героїв АТО	алея Героїв АТО
Алея закоханих	алея Закоханих
Алея казок	алея Казок
алея лікарських трав	алея Лікарських Трав
Алея ліхтарів	алея Ліхтарів
Алея миру і єдності	алея Миру і Єдності
Алея муз	алея Муз
Алея мучеників	алея Мучеників
Алея Пам’яті	алея Памʼяті
Алея парасольок	алея Парасольок
Алея письменників	алея Письменників
Алея праведників	алея Праведників
Алея Путейка	алея Путейка
Алея Сакур	алея Сакур
Алея скульптур	алея Скульптур
Алея слави	алея Слави
Алея художників	алея Художників
Браво урочище	урочище Браво
бульв. Будівельників	бульвар Будівельників
Бульвар Золотий берег	бульвар Золотий Берег
бульвар Ленина	бульвар Леніна
бульвар Миру	бульвар Миру
Давниця урочище	урочище Давниця
За Парканом урочище	урочище За Парканом
Калинка урочище	урочище Калинка
мкр Ювілейний	Ювілейний мікрорайон
мкрн. Гірник	мікрорайон Гірник
мкрн. Лазурний	Лазурний мікрорайон
мкрн. Південний	Південний мікрорайон
Млин урочище	урочище Млин
Нове урочище	Нове урочище
Павлів Потік урочище	урочище Павлів Потік
Площа Героїв	площа Героїв
Площа Героїв Майдану	площа Героїв Майдану
Площа здорової логіки	площа Здорової Логіки
Площа знань НТУУ «КПІ»	площа Знань
Площа Кононенко	площа Кононенко
Площа Незалежності	площа Незалежності
Площа Партизан	площа Партизан
Площа Перемоги	площа Перемоги
Площа Соборності	площа Соборності
площа Суднобудівельників	площа Суднобудівельників
площа Ювілейна	Ювілейна площа
проспект Героїв Сталінграда	проспект Героїв Сталінграду
Проспект науки	проспект Науки
Проспект Науки	проспект Науки
Проспект Перемоги	проспект Перемоги
проспект Фрунзе	проспект Фрунзе
проспект Шахтарів	проспект Шахтарів
Трикутник урочище	урочище Трикутник
тупик Фрунзе	тупик Фрунзе
ур. Перед Ґаджиною	урочище Перед Ґаджиною
Урочище Береги	урочище Береги
урочище Біля Башні	урочище Біля Башні
урочище Вишня	урочище Вишня
урочище водоканал	урочище Водоканал
Урочище Довгий Грунь	урочище Довгий Грунь
Урочище Женець	урочище Женець
урочище Йозифсталь	урочище Йозифсталь
Урочище Кам'янка	урочище Камʼянка
урочище Лан	урочище Лан
урочище Могилянське	Могилянське урочище
урочище Новопроектний	урочище Новопроектний
урочище Під Танком	урочище Під Танком
урочище Сад	урочище Сад
Урочище святе	Святе урочище
